Accession	>=0.9	>=0.75	>=0.5	>=0.25	>0	=0
Q9ERZ3	1	2	2	14	306	5971
Q9BDS8	0	1	5	19	291	5986
P35383	0	1	1	6	225	6052
P04274	1	5	5	17	344	5933
Q5KSK8	0	1	3	25	313	5964
Q923Y9	0	2	2	9	309	5968
P20789	0	2	2	5	302	5975
Q63371	0	1	1	7	254	6023
P52702	5	5	5	10	299	5978
P69332	0	0	0	0	222	6055
P51436	0	1	2	11	266	6011
P48974	0	1	1	7	252	6025
P30552	0	1	3	7	323	5954
O54814	1	1	12	18	332	5945
Q5DUB1	3	4	7	10	353	5924
O08565	0	1	1	19	295	5982
P06199	3	3	6	15	279	5998
Q96G91	0	0	0	0	201	6076
Q61614	2	3	7	7	272	6005
P48302	1	3	7	7	304	5973
Q9MYW9	3	4	8	25	376	5901
P30555	6	6	6	13	341	5936
Q61224	2	3	6	28	305	5972
P30680	2	2	3	31	377	5900
P97520	0	0	1	2	270	6007
O54798	1	2	2	5	339	5938
Q8K418	1	2	2	5	339	5938
Q8K5E0	0	1	1	6	160	6117
Q99527	0	0	0	0	260	6017
Q8MJ89	2	3	3	4	340	5937
O08858	0	1	4	27	378	5899
P30873	1	1	3	27	375	5902
P30875	2	2	3	31	378	5899
P49660	0	1	3	26	377	5900
Q01717	2	2	2	2	306	5971
P21761	2	2	2	2	308	5969
P34981	2	2	2	2	304	5973
P46002	0	2	2	2	179	6098
P22888	0	0	0	1	38	6239
P46092	0	0	0	9	268	6009
P33766	0	0	1	2	247	6030
P30728	1	2	2	8	300	5977
Q8BLD9	1	2	2	7	308	5969
O08556	1	6	11	21	313	5964
Q1ZY22	0	4	11	21	318	5959
P02699	1	1	1	1	302	5975
O95665	0	0	2	5	150	6127
P13501	0	0	1	2	3	6274
P51686	0	0	0	22	268	6009
