#,SID,CID,BioAssay_Source,RankScore,Outcome,Xref,URL,Comment,DepositDate,"Activity Outcome","Activity Score","p450-cyp2c19-Potency_&#956;M","p450-cyp2c19-Curve_Description","p450-cyp2c19-Fit_LogAC50","p450-cyp2c19-Fit_HillSlope","p450-cyp2c19-Fit_R2","p450-cyp2c19-Fit_InfiniteActivity_%","p450-cyp2c19-Fit_ZeroActivity_%","p450-cyp2c19-Fit_CurveClass","p450-cyp2c19-Excluded_Points","p450-cyp2c19-Max_Response","p450-cyp2c19-Activity at 0.0007 uM_%","p450-cyp2c19-Activity at 0.00160 uM_%","p450-cyp2c19-Activity at 0.00368 uM_%","p450-cyp2c19-Activity at 0.00820 uM_%","p450-cyp2c19-Activity at 0.018 uM_%","p450-cyp2c19-Activity at 0.041 uM_%","p450-cyp2c19-Activity at 0.091 uM_%","p450-cyp2c19-Activity at 0.204 uM_%","p450-cyp2c19-Activity at 0.457 uM_%","p450-cyp2c19-Activity at 1.022 uM_%","p450-cyp2c19-Activity at 2.286 uM_%","p450-cyp2c19-Activity at 5.111 uM_%","p450-cyp2c19-Activity at 11.43 uM_%","p450-cyp2c19-Activity at 25.56 uM_%","p450-cyp2c19-Activity at 57.14 uM_%"
11,26751148,6636404,"NCGC",,Unspecified,,,"",2009/07/08,2,45,3.16228,Partial curve; partial efficacy,-5.5,1.1341,0.9043,-100.033,12.9025,-2.2,0 0 0 0 0 0 0,-79.49,6.416,,23.73,,23.15,,-10.84,,7.358,,-32.67,,-79.49,,
12,26751147,16758558,"NCGC",,Unspecified,,,"",2009/07/08,2,43,5.01187,Partial curve; partial efficacy,-5.3,1.331,0.8856,-97.0717,-4.1954,-2.2,0 0 0 0 0 0 0,-77.27,-0.7063,,-7.836,,-6.207,,9.684,,-24.7,,-22.89,,-77.27,,
13,26751146,16758557,"NCGC",,Unspecified,,,"",2009/07/08,2,56,0.1,Partial curve; high efficacy,-7,0.3,0.8787,-131.139,46.8895,-2.1,0 0 0 0 0 0 0,-103.7,30.27,,-22.15,,-28.43,,-14.69,,-67.64,,-83.19,,-103.7,,
14,26751145,16758556,"NCGC",,Unspecified,,,"",2009/07/08,2,48,1,Partial curve; high efficacy,-6,1,0.8223,-111.245,-10.915,-2.1,0 0 0 0 0 0 0,-101.8,-26.56,,-23.03,,-25.08,,7.35,,-54.19,,-73.9,,-101.8,,
15,26751144,6636173,"NCGC",,Unspecified,,,"",2009/07/08,2,45,1,Partial curve; partial efficacy,-6,1,0.8857,-67.3464,24.8724,-2.2,1 0 0 0 0 0 0,-62.89,-4.203,,22.66,,11.02,,38.63,,-16.16,,-32.42,,-62.89,,
16,26751142,16758554,"NCGC",,Unspecified,,,"",2009/07/08,2,48,1,Partial curve; high efficacy,-6,0.8,0.9552,-109.591,-3.0631,-2.1,0 0 0 0 0 0 0,-95.58,-4.802,,6.524,,-22,,-9.684,,-41.64,,-74.43,,-95.58,,
17,26751140,16758553,"NCGC",,Unspecified,,,"",2009/07/08,2,94,0.0630957,Complete curve; high efficacy,-7.2,0.7,0.9213,-110.127,6.1888,-1.1,0 0 0 0 0 0 0,-104.9,-3.581,,7.623,,-48.98,,-43.43,,-94.89,,-101.6,,-104.9,,
18,26751139,16758552,"NCGC",,Unspecified,,,"",2009/07/08,2,44,3.98107,Partial curve; high efficacy,-5.4,1,0.9242,-109.646,-0.0983,-2.1,0 0 0 0 0 0 0,-83.79,3.274,,7.193,,-15.13,,5.8,,-20.56,,-34.11,,-83.79,,
19,26751138,16758551,"NCGC",,Unspecified,,,"",2009/07/08,2,95,0.0630957,Complete curve; high efficacy,-7.2,0.5,0.9614,-118.232,26.1139,-1.1,0 0 0 0 0 0 0,-104.6,16.86,,-4.458,,-34.32,,-35.89,,-89.82,,-98.77,,-104.6,,
20,26751136,6636349,"NCGC",,Unspecified,,,"",2009/07/08,2,48,0.501187,Partial curve; high efficacy,-6.3,0.7,0.9822,-92.1783,-0.6213,-2.1,0 0 0 0 0 0 0,-85.07,-1.013,,-2.599,,-12.97,,-17.1,,-51.07,,-62.99,,-85.07,,
21,26751110,16758539,"NCGC",,Unspecified,,,"",2009/07/08,2,45,1.99526,Partial curve; high efficacy,-5.7,0.9,0.8863,-93.2941,-7.7678,-2.1,0 0 0 0 0 0 0,-81.19,-7.944,,-23.91,,1.488,,-2.851,,-34.33,,-46.61,,-81.19,,
22,26751109,16758538,"NCGC",,Unspecified,,,"",2009/07/08,2,66,0.398107,Complete curve; partial efficacy,-6.4,3.5117,0.8518,-65.0046,5.6342,-1.2,1 0 0 0 0 0 0,-78.5,68.21,,5.656,,-13.16,,23.94,,-39.12,,-51.27,,-78.5,,
23,26751107,16758536,"NCGC",,Unspecified,,,"",2009/07/08,2,44,3.98107,Partial curve; partial efficacy,-5.4,1.2475,0.9654,-99.7207,3.0354,-2.2,0 0 0 0 0 0 0,-79.38,-0.7325,,8.635,,-1.11,,9.913,,-11.1,,-26.79,,-79.38,,
24,26751105,16758534,"NCGC",,Unspecified,,,"",2009/07/08,2,89,0.398107,Complete curve; high efficacy,-6.4,1.2876,0.9856,-97.5624,-5.3732,-1.1,0 0 0 0 0 0 0,-101.8,-11.31,,-5.29,,-3.812,,-14.05,,-58.57,,-81.91,,-101.8,,
25,26751103,9548050,"NCGC",,Unspecified,,,"",2009/07/08,2,43,3.98107,Partial curve; partial efficacy,-5.4,1.2876,0.8652,-82.2325,4.8035,-2.2,0 0 0 0 0 0 0,-65.03,-11.34,,15.95,,-0.6977,,18.9,,-4.885,,-24.29,,-65.03,,
26,26751094,25081988,"NCGC",,Unspecified,,,"",2009/07/08,2,49,0.630957,Partial curve; high efficacy,-6.2,0.9,0.9783,-106.105,7.5483,-2.1,1 0 0 0 0 0 0,-101.9,43.43,,5.933,,-2.349,,0.3351,,-47.69,,-72.91,,-101.9,,
27,26751072,16758506,"NCGC",,Unspecified,,,"",2009/07/08,2,43,5.01187,Partial curve; partial efficacy,-5.3,1.5095,0.9189,-80.376,-14.9128,-2.2,0 0 0 0 0 0 0,-66.98,-7.468,,-22,,-23.4,,-15.02,,-18.18,,-29.72,,-66.98,,
28,26751071,16758505,"NCGC",,Unspecified,,,"",2009/07/08,2,46,1.58489,Partial curve; high efficacy,-5.8,1.111,0.9485,-101.308,-4.6239,-2.1,0 0 0 0 0 0 0,-92.86,-17.83,,-2.142,,-1.148,,3.379,,-30.49,,-59.22,,-92.86,,
29,26751068,9556131,"NCGC",,Unspecified,,,"",2009/07/08,2,44,1.58489,Partial curve; partial efficacy,-5.8,1.5579,0.9409,-63.278,-3.6307,-2.2,0 0 0 0 0 0 0,-62.27,-9.529,,2.657,,-10.96,,4.037,,-12.32,,-39.51,,-62.27,,
30,26751056,9556120,"NCGC",,Unspecified,,,"",2009/07/08,2,88,0.251189,Complete curve; high efficacy,-6.6,2.3531,0.974,-80.5283,14.5522,-1.1,1 0 0 0 0 0 0,-86.23,38.24,,3.392,,25.71,,5.354,,-59.75,,-76.63,,-86.23,,
31,26751041,9556106,"NCGC",,Unspecified,,,"",2009/07/08,2,48,1.25893,Partial curve; high efficacy,-5.9,0.6,0.9966,-117.579,2.2511,-2.1,1 0 0 0 0 0 0,-94.13,-36.07,,-1.669,,-4.028,,-20.36,,-41.95,,-65.97,,-94.13,,
32,26751027,16758483,"NCGC",,Unspecified,,,"",2009/07/08,2,43,3.16228,Partial curve; partial efficacy,-5.5,2.2526,0.8563,-66.299,-19.762,-2.2,1 0 0 0 0 0 0,-64.08,39.97,,-12.14,,-29.31,,-28.12,,-14.8,,-34.97,,-64.08,,
33,26751010,16758470,"NCGC",,Unspecified,,,"",2009/07/08,2,46,2.51189,Partial curve; high efficacy,-5.6,1.8265,0.9614,-109.664,-32.608,-2.1,0 1 0 0 0 0 0,-100.1,-29.95,,18.31,,-40.94,,-31.81,,-29.22,,-71.92,,-100.1,,
34,26750994,16758456,"NCGC",,Unspecified,,,"",2009/07/08,2,47,1.58489,Partial curve; high efficacy,-5.8,0.9,0.9939,-112.232,-7.9502,-2.1,0 0 0 0 0 0 0,-98.28,-7.976,,-4.202,,-13.93,,-14.91,,-35.26,,-65.97,,-98.28,,
35,26750991,16758453,"NCGC",,Unspecified,,,"",2009/07/08,2,46,1.99526,Partial curve; partial efficacy,-5.7,0.7,0.9204,-101.681,19.1159,-2.2,0 0 0 0 0 0 0,-76.35,24.26,,23.23,,11.4,,-12.91,,2.299,,-46.92,,-76.35,,
36,26750990,16758452,"NCGC",,Unspecified,,,"",2009/07/08,2,47,1.58489,Partial curve; high efficacy,-5.8,0.8,0.9593,-118.226,10.1558,-2.1,1 0 0 0 0 0 0,-103.5,51.64,,15.98,,-3.938,,5.016,,-32.05,,-53.71,,-103.5,,
37,26750986,16758450,"NCGC",,Unspecified,,,"",2009/07/08,2,46,1.58489,Partial curve; high efficacy,-5.8,1.111,0.8921,-95.3715,10.2681,-2.1,0 0 0 0 0 0 0,-84.23,29.86,,-11.04,,19.79,,-4.079,,-7.311,,-54.95,,-84.23,,
38,26750980,16758444,"NCGC",,Unspecified,,,"",2009/07/08,2,46,1.58489,Partial curve; high efficacy,-5.8,0.8,0.9777,-100.516,3.739,-2.1,0 1 0 0 0 0 0,-84.18,11.04,,97.37,,-6.526,,-9.429,,-20.92,,-54.76,,-84.18,,
39,26750979,16758443,"NCGC",,Unspecified,,,"",2009/07/08,2,89,0.501187,Complete curve; high efficacy,-6.3,1.331,0.9466,-100.398,-11.978,-1.1,0 0 0 0 0 0 0,-100.2,-1.78,,-23.91,,-20.98,,-10.37,,-61.15,,-85.83,,-100.2,,
40,26750976,16758440,"NCGC",,Unspecified,,,"",2009/07/08,2,45,1.58489,Partial curve; partial efficacy,-5.8,0.7,0.9208,-90.032,37.2768,-2.2,0 1 0 0 0 0 0,-70.32,29.01,,-36.93,,42.64,,27.4,,-17.92,,-21.29,,-70.32,,
41,26750975,16758439,"NCGC",,Unspecified,,,"",2009/07/08,2,43,3.16228,Partial curve; partial efficacy,-5.5,1.331,0.8112,-77.746,-7.154,-2.2,1 0 0 0 0 0 0,-67.16,22,,-18.78,,-13.17,,14.38,,-16.99,,-34.43,,-67.16,,
42,26750965,16758430,"NCGC",,Unspecified,,,"",2009/07/08,2,44,3.16228,Partial curve; high efficacy,-5.5,1.8265,0.852,-88.8521,-8.1321,-2.1,1 0 0 0 0 0 0,-80.6,-30.86,,-20.58,,-21.41,,-18.61,,0.721,,-40.75,,-80.6,,
43,26750964,16758429,"NCGC",,Unspecified,,,"",2009/07/08,2,51,0.398107,Partial curve; high efficacy,-6.4,0.4,0.9889,-123.102,-16.868,-2.1,0 0 0 0 0 0 0,-102.3,-26.38,,-25.46,,-44.27,,-56.14,,-71.37,,-85.06,,-102.3,,
44,26750963,16758428,"NCGC",,Unspecified,,,"",2009/07/08,2,44,3.16228,Partial curve; partial efficacy,-5.5,0.9,0.9804,-96.997,19.0399,-2.2,0 0 1 0 0 0 0,-72.48,27.73,,14.36,,77.83,,13.2,,-2.113,,-27.32,,-72.48,,
45,26750959,6518269,"NCGC",,Unspecified,,,"",2009/07/08,2,44,3.98107,Partial curve; partial efficacy,-5.4,1,0.8209,-100.115,0.479,-2.2,0 0 0 0 0 0 0,-79.67,-16.71,,10.54,,6.111,,8.312,,-28.12,,-22.89,,-79.67,,
46,26750954,16758424,"NCGC",,Unspecified,,,"",2009/07/08,2,46,0.630957,Partial curve; partial efficacy,-6.2,1,0.9927,-81.4441,7.208,-2.2,1 0 0 0 0 0 0,-78.46,-34.4,,1.784,,7.381,,-1.727,,-31.12,,-59.75,,-78.46,,
47,26750949,16758420,"NCGC",,Unspecified,,,"",2009/07/08,2,93,0.0501187,Complete curve; high efficacy,-7.3,0.8,0.958,-97.1035,-13.764,-1.1,0 0 0 0 0 0 0,-93.04,-21.8,,-11.47,,-48.5,,-60.88,,-83.92,,-98.46,,-93.04,,
48,26750934,9556008,"NCGC",,Unspecified,,,"",2009/07/08,2,89,0.398107,Complete curve; high efficacy,-6.4,1.1341,0.9784,-96.1276,-4.9458,-1.1,0 0 0 0 0 0 0,-98.89,-3.688,,-4.113,,-13.36,,-12.52,,-60.26,,-77.52,,-98.89,,
49,26750919,9555994,"NCGC",,Unspecified,,,"",2009/07/08,2,45,2.51189,Partial curve; high efficacy,-5.6,1,0.9637,-93.4238,-10.0916,-2.1,0 0 0 0 0 0 0,-81.16,-11.54,,-1.796,,-19.91,,-13.06,,-23.2,,-49.65,,-81.16,,
50,26750904,16758393,"NCGC",,Unspecified,,,"",2009/07/08,2,48,0.794328,Partial curve; high efficacy,-6.1,0.7,0.9369,-100.238,-1.354,-2.1,0 0 0 0 0 0 0,-87.88,-1.492,,-0.06,,-19.81,,-4.493,,-50.57,,-64.94,,-87.88,,
51,26750899,16758388,"NCGC",,Unspecified,,,"",2009/07/08,2,44,3.98107,Partial curve; high efficacy,-5.4,1.3437,0.9256,-110.249,0,-2.1,1 0 0 0 0 0 0,-88.77,34.38,,-2.563,,-12.6,,17.67,,-8.816,,-35.55,,-88.77,,
52,26750893,16758383,"NCGC",,Unspecified,,,"",2009/07/08,2,43,3.16228,Partial curve; partial efficacy,-5.5,4.9549,0.9881,-65.3965,-13.257,-2.2,1 0 0 0 0 0 0,-65.59,28.38,,-13.24,,-17.25,,-13.78,,-10.18,,-21.44,,-65.59,,
53,26750888,16758378,"NCGC",,Unspecified,,,"",2009/07/08,2,43,3.98107,Partial curve; partial efficacy,-5.4,1.01,0.8341,-80.871,0.901,-2.2,0 0 0 0 0 0 0,-61.06,14.93,,-6.186,,-15.31,,10.21,,-11.34,,-26.76,,-61.06,,
54,26750887,16758377,"NCGC",,Unspecified,,,"",2009/07/08,2,44,1.58489,Partial curve; partial efficacy,-5.8,1.9887,0.9302,-76.23,-0.208,-2.2,0 0 0 0 0 0 0,-74.41,12.67,,-11.35,,7.965,,-9.278,,-6.014,,-52.55,,-74.41,,
55,26750886,16758376,"NCGC",,Unspecified,,,"",2009/07/08,2,47,1,Partial curve; high efficacy,-6,0.5,0.981,-101.853,-11.2559,-2.1,0 0 0 0 0 0 0,-80.6,-17.24,,-9.269,,-25.43,,-32.71,,-47,,-66.99,,-80.6,,
56,26750885,16758375,"NCGC",,Unspecified,,,"",2009/07/08,2,90,0.1,Complete curve; high efficacy,-7,0.6,0.9914,-86.1494,-2.3456,-1.1,0 0 0 0 0 0 0,-82.4,-8.795,,-7.788,,-28.23,,-42.77,,-62.66,,-73.01,,-82.4,,
57,26750884,16758374,"NCGC",,Unspecified,,,"",2009/07/08,2,49,0.630957,Partial curve; high efficacy,-6.2,0.6,0.969,-113.301,-11.7096,-2.1,0 0 0 0 0 0 0,-98.29,-5.346,,-20.23,,-31.64,,-28.89,,-59.27,,-82.14,,-98.29,,
58,26750883,16758374,"NCGC",,Unspecified,,,"",2009/07/08,2,93,0.0630957,Complete curve; high efficacy,-7.2,0.8,0.9883,-100.858,5.2401,-1.1,1 0 0 0 0 0 0,-105.2,43.81,,-3.671,,-23.66,,-55.56,,-83.57,,-87.78,,-105.2,,
59,26750882,16758373,"NCGC",,Unspecified,,,"",2009/07/08,2,45,2.51189,Partial curve; high efficacy,-5.6,1.21,0.9612,-93.5801,-5.7921,-2.1,0 0 0 0 0 0 0,-81.49,-16.55,,-2.884,,-5.742,,1.431,,-18.06,,-46.88,,-81.49,,
60,26750881,16758372,"NCGC",,Unspecified,,,"",2009/07/08,2,46,1.99526,Partial curve; high efficacy,-5.7,0.8,0.8836,-106.298,-9.5359,-2.1,0 0 0 0 0 0 0,-86.67,-21.49,,-27.63,,-0.7899,,-20.67,,-31.59,,-60.89,,-86.67,,
61,26750880,16758371,"NCGC",,Unspecified,,,"",2009/07/08,2,86,1.25893,Complete curve; high efficacy,-5.9,1.4787,0.9222,-87.82,-23.1,-1.1,0 0 1 0 0 0 0,-85.41,-13.69,,-36.73,,9.91,,-18.69,,-36.82,,-68.8,,-85.41,,
62,26750879,16758370,"NCGC",,Unspecified,,,"",2009/07/08,2,95,0.00501187,Complete curve; high efficacy,-8.3,0.5,0.8179,-82.3392,57.6542,-1.1,0 0 0 0 0 0 0,-88.05,41.51,,-33.57,,-45.32,,-30.38,,-66.71,,-77.44,,-88.05,,
63,26750878,16758369,"NCGC",,Unspecified,,,"",2009/07/08,2,44,3.16228,Partial curve; high efficacy,-5.5,1.6604,0.9627,-88.449,-14.942,-2.1,0 0 0 1 0 0 0,-80.7,-8.52,,-12.35,,-24.35,,49.02,,-17.56,,-41.51,,-80.7,,
64,26750877,16758368,"NCGC",,Unspecified,,,"",2009/07/08,2,43,5.01187,Partial curve; partial efficacy,-5.3,1.1,0.9137,-94.512,-27.795,-2.2,0 0 0 0 0 0 0,-78.76,-33.02,,-21.29,,-24.38,,-27.36,,-41.77,,-43.96,,-78.76,,
65,26750876,16758367,"NCGC",,Unspecified,,,"",2009/07/08,2,89,0.398107,Complete curve; high efficacy,-6.4,0.7,0.9617,-104.289,-23.186,-1.1,0 0 0 0 0 0 0,-101,-32.3,,-18.26,,-30.1,,-45.85,,-69.79,,-79.07,,-101,,
66,26750874,16758365,"NCGC",,Unspecified,,,"",2009/07/08,2,90,0.1,Complete curve; high efficacy,-7,1.3723,0.9938,-87.51,-3.63,-1.1,0 1 0 0 0 0 0,-90.91,-7.03,,32.98,,-7.604,,-43.71,,-75.39,,-85.29,,-90.91,,
67,26750873,16758364,"NCGC",,Unspecified,,,"",2009/07/08,2,46,1.25893,Partial curve; high efficacy,-5.9,0.9,0.9876,-99.5323,-3.4155,-2.1,1 0 0 0 0 0 0,-90.81,-26.66,,-6.449,,-7.407,,-6.413,,-33.94,,-59.56,,-90.81,,
68,26750872,16758363,"NCGC",,Unspecified,,,"",2009/07/08,2,48,0.501187,Partial curve; high efficacy,-6.3,0.9,0.8937,-94.1523,16.7206,-2.1,1 0 0 0 0 0 0,-92.93,46.82,,-3.543,,35.69,,-7.505,,-42.62,,-61.79,,-92.93,,
69,26750870,16758361,"NCGC",,Unspecified,,,"",2009/07/08,2,48,1,Partial curve; high efficacy,-6,0.6,0.954,-107.566,42.041,-2.1,0 0 0 0 0 0 0,-80.88,41.4,,28.57,,42.77,,-1.428,,-2.942,,-53.47,,-80.88,,
70,26750869,16758360,"NCGC",,Unspecified,,,"",2009/07/08,2,47,1.25893,Partial curve; high efficacy,-5.9,0.8,0.9123,-101.64,11.016,-2.1,0 0 0 0 0 0 0,-89.29,-3.887,,20.87,,6.272,,11.59,,-38.25,,-48.16,,-89.29,,
71,26750860,6636171,"NCGC",,Unspecified,,,"",2009/07/08,2,45,1.25893,Partial curve; partial efficacy,-5.9,0.6,0.8866,-80.861,22.6435,-2.2,0 0 1 0 0 0 0,-60.36,22.85,,23.93,,63.12,,-12.33,,4.452,,-45.81,,-60.36,,
72,26750818,16758317,"NCGC",,Unspecified,,,"",2009/07/08,2,44,2.51189,Partial curve; partial efficacy,-5.6,1,0.8582,-79.908,-2.28,-2.2,0 0 0 1 0 0 0,-65.94,-11.33,,16.86,,-13.45,,29.03,,-12.92,,-39.1,,-65.94,,
73,26750801,16758302,"NCGC",,Unspecified,,,"",2009/07/08,2,46,1.58489,Partial curve; partial efficacy,-5.8,0.7,0.9261,-94.394,2.094,-2.2,0 0 0 0 0 0 0,-76.24,11.88,,-2.83,,-16.42,,-0.1827,,-29.45,,-49.93,,-76.24,,
74,17416397,875154,"NCGC",,Unspecified,,,"",2009/07/08,2,43,12.5893,Partial curve; high efficacy,-4.9,1.8265,0.9304,-169.809,-23.4526,-2.1,0 0 0 0 0 0 0,-161.5118,,,-22.5218,,-51.6454,,-6.6376,,-33.2199,,-22.6152,,-89.889,,-161.512
75,17416395,5729338,"NCGC",,Unspecified,,,"",2009/07/08,2,43,8.91251,Partial curve; high efficacy,-5.05,0.6,0.9693,-136.887,15.9964,-2.1,0 0 0 0 0 0 0,-103.8185,,,3.2289,,19.2308,,17.2556,,-11.2002,,-32.8215,,-60.0997,,-103.818
76,17416371,973038,"NCGC",,Unspecified,,,"",2009/07/08,2,84,5.01187,Complete curve; high efficacy,-5.3,1.4781,0.9953,-108.755,-5.7885,-1.1,0 0 0 0 0 0 0,-106.0305,,,-9.5726,,-6.3219,,-0.4235,,-10.4517,,-29.0396,,-85.6452,,-106.031
77,17416367,1242706,"NCGC",,Unspecified,,,"",2009/07/08,2,87,2.51189,Complete curve; high efficacy,-5.6,1.8851,0.9892,-127.807,-15.6058,-1.1,0 0 0 0 0 0 0,-126.9151,,,-25.578,,-13.3786,,-13.0048,,-13.0485,,-70.0913,,-121.445,,-126.915
78,17416351,2962400,"NCGC",,Unspecified,,,"",2009/07/08,2,90,2.23872,Complete curve; high efficacy,-5.65,0.9,0.9814,-187.859,-20.9084,-1.1,0 0 0 0 0 0 0,-169.4909,,,-25.5429,,-14.1882,,-41.1144,,-42.3359,,-110.625,,-157.678,,-169.491
79,17416346,1184355,"NCGC",,Unspecified,,,"",2009/07/08,2,88,0.707946,Complete curve; high efficacy,-6.15,0.9,0.9691,-108.75,-5.249,-1.1,0 0 0 0 0 0 0,-103.7476,,,-8.8319,,1.2332,,-31.5164,,-39.4919,,-88.2005,,-101.257,,-103.748
80,17416339,2962131,"NCGC",,Unspecified,,,"",2009/07/08,2,63,4.46684,Complete curve; partial efficacy,-5.35,1.5386,0.9016,-77.4438,7,-1.2,0 0 0 0 0 0 0,-77.7862,,,-11.4325,,19.2211,,0.8873,,21.2097,,-20.0929,,-58.2951,,-77.7862
81,17416338,1367993,"NCGC",,Unspecified,,,"",2009/07/08,2,84,3.54813,Complete curve; high efficacy,-5.45,2.0937,0.9873,-99.7465,13.8546,-1.1,0 1 0 0 0 0 0,-97.1774,,,23.2974,,-47.2863,,13.1796,,3.2082,,-17.9451,,-93.0429,,-97.1774
82,17416337,1368253,"NCGC",,Unspecified,,,"",2009/07/08,2,88,1,Complete curve; high efficacy,-6,1,0.9951,-111.991,19.3187,-1.1,0 0 0 0 0 0 0,-107.759,,,25.4732,,10.8151,,7.2437,,-21.8484,,-71.1424,,-103.586,,-107.759
83,17416335,2884390,"NCGC",,Unspecified,,,"",2009/07/08,2,44,6.30957,Partial curve; high efficacy,-5.2,1.21,0.9982,-132.178,-2.9586,-2.1,0 0 0 0 0 0 0,-119.9373,,,-3.0561,,-2.9374,,-2.4655,,-10.5415,,-31.1731,,-91.1851,,-119.937
84,17416326,2840784,"NCGC",,Unspecified,,,"",2009/07/08,2,42,14.1254,Partial curve; high efficacy,-4.85,1,0.9855,-118.713,11.1899,-2.1,0 0 0 0 0 0 0,-98.9275,,,12.9712,,8.0095,,12.1191,,8.7447,,-13.592,,-39.8174,,-98.9275
85,17416324,2964786,"NCGC",,Unspecified,,,"",2009/07/08,2,98,0.177828,Complete curve; high efficacy,-6.75,1.331,0.9983,-163.326,4.2463,-1.1,1 0 0 0 0 0 0,-165.7879,,,50.9373,,-3.8821,,-44.0264,,-128.187,,-152.651,,-164.273,,-165.788
86,17416322,2215226,"NCGC",,Unspecified,,,"",2009/07/08,2,87,3.54813,Complete curve; high efficacy,-5.45,4.095,0.9322,-166.916,-9.6913,-1.1,0 0 0 0 0 0 0,-176.2467,,,6.4539,,-23.3251,,17.5802,,-42.6377,,-30.2615,,-157.229,,-176.247
87,17416301,2889688,"NCGC",,Unspecified,,,"",2009/07/08,2,87,2.23872,Complete curve; high efficacy,-5.65,1.1,0.9926,-133.992,20.3729,-1.1,0 0 0 0 0 0 0,-131.249,,,16.7669,,25.4657,,10.7653,,4.0099,,-63.5048,,-106.077,,-131.249
