#,SID,CID,BioAssay_Source,RankScore,Outcome,Xref,URL,Comment,DepositDate,"Activity Outcome","Activity Score","p450-cyp2c9-Potency_&#956;M","p450-cyp2c9-Curve_Description","p450-cyp2c9-Fit_LogAC50","p450-cyp2c9-Fit_HillSlope","p450-cyp2c9-Fit_R2","p450-cyp2c9-Fit_InfiniteActivity_%","p450-cyp2c9-Fit_ZeroActivity_%","p450-cyp2c9-Fit_CurveClass","p450-cyp2c9-Excluded_Points","p450-cyp2c9-Max_Response","p450-cyp2c9-Activity at 0.0007 uM_%","p450-cyp2c9-Activity at 0.00160 uM_%","p450-cyp2c9-Activity at 0.00368 uM_%","p450-cyp2c9-Activity at 0.00820 uM_%","p450-cyp2c9-Activity at 0.018 uM_%","p450-cyp2c9-Activity at 0.041 uM_%","p450-cyp2c9-Activity at 0.091 uM_%","p450-cyp2c9-Activity at 0.204 uM_%","p450-cyp2c9-Activity at 0.457 uM_%","p450-cyp2c9-Activity at 1.022 uM_%","p450-cyp2c9-Activity at 2.286 uM_%","p450-cyp2c9-Activity at 5.111 uM_%","p450-cyp2c9-Activity at 11.43 uM_%","p450-cyp2c9-Activity at 25.56 uM_%","p450-cyp2c9-Activity at 57.14 uM_%"
11,26751140,16758553,"NCGC",,Unspecified,,,"",2009/07/08,2,45,1.99526,Partial curve; high efficacy,-5.7,1.8265,0.9635,-87.603,7.1145,-2.1,0 1 0 0 0 0 0,-81.11,5.943,,49.03,,-4.767,,16.6,,4.287,,-44.22,,-81.11,,
12,26751139,16758552,"NCGC",,Unspecified,,,"",2009/07/08,2,45,1.99526,Partial curve; high efficacy,-5.7,1.4787,0.9933,-93.1881,6.27,-2.1,0 0 0 0 0 0 0,-85.19,8.95,,9.411,,0.4933,,3.988,,-2.673,,-48.34,,-85.19,,
13,26751130,16758546,"NCGC",,Unspecified,,,"",2009/07/08,2,43,3.98107,Partial curve; partial efficacy,-5.4,1.6436,0.9825,-84.976,8,-2.2,0 0 0 0 0 0 0,-71.23,7.898,,15.52,,6.401,,2.143,,4.635,,-17.35,,-71.23,,
14,26751128,16758544,"NCGC",,Unspecified,,,"",2009/07/08,2,44,2.51189,Partial curve; partial efficacy,-5.6,0.7,0.9305,-81.608,16.13,-2.2,0 0 0 0 0 0 0,-61.54,19.22,,21.06,,1.647,,9.07,,-12.33,,-20.74,,-61.54,,
15,26751057,16758497,"NCGC",,Unspecified,,,"",2009/07/08,2,44,1.99526,Partial curve; partial efficacy,-5.7,1.6266,0.9429,-80.3483,9.0414,-2.2,0 0 0 0 0 0 0,-74.91,3.171,,5.202,,25.55,,-0.0893,,3.954,,-39.71,,-74.91,,
16,26750991,16758453,"NCGC",,Unspecified,,,"",2009/07/08,2,44,3.98107,Partial curve; high efficacy,-5.4,1.3987,0.9132,-99.228,0.997,-2.1,0 0 0 0 0 0 0,-82.69,-6.352,,12.34,,-5.77,,12.15,,-15.79,,-24.89,,-82.69,,
17,26750990,16758452,"NCGC",,Unspecified,,,"",2009/07/08,2,45,2.51189,Partial curve; high efficacy,-5.6,1.1,0.9829,-101.837,2.3153,-2.1,0 0 0 0 0 0 0,-84.71,3.431,,2.807,,-5.305,,7.137,,-14.74,,-47.85,,-84.71,,
18,26750989,9556060,"NCGC",,Unspecified,,,"",2009/07/08,2,44,1.58489,Partial curve; partial efficacy,-5.8,1.9887,0.9489,-72.0247,21.9822,-2.2,0 0 0 0 0 0 0,-69.85,9.044,,37.38,,15.77,,26.62,,12.98,,-41.69,,-69.85,,
19,26750985,16758449,"NCGC",,Unspecified,,,"",2009/07/08,2,49,0.398107,Partial curve; high efficacy,-6.4,0.6,0.9909,-104.723,11.617,-2.1,0 0 0 0 0 0 0,-92.32,8.697,,1.558,,1.908,,-27.03,,-45.19,,-74.32,,-92.32,,
20,26750982,16758446,"NCGC",,Unspecified,,,"",2009/07/08,2,44,1.58489,Partial curve; partial efficacy,-5.8,1.3723,0.9308,-69.293,6,-2.2,0 0 0 0 0 0 0,-65.29,15.26,,1.279,,11.65,,-9.821,,-1.672,,-40.73,,-65.29,,
21,26750979,16758443,"NCGC",,Unspecified,,,"",2009/07/08,2,44,3.16228,Partial curve; partial efficacy,-5.5,0.8,0.8391,-83.955,0.597,-2.2,0 0 0 1 0 0 0,-64.21,14.82,,2.651,,-20.4,,23.35,,-12.19,,-32.21,,-64.21,,
22,26750976,16758440,"NCGC",,Unspecified,,,"",2009/07/08,2,44,2.51189,Partial curve; partial efficacy,-5.6,1.3443,0.9194,-73.321,3.8055,-2.2,0 0 0 0 0 0 0,-64.11,19.78,,-4.147,,0.5741,,-3.153,,-1.637,,-32.8,,-64.11,,
23,26750975,16758439,"NCGC",,Unspecified,,,"",2009/07/08,2,44,2.51189,Partial curve; partial efficacy,-5.6,1.9673,0.8759,-73.1425,2.8295,-2.2,0 0 0 0 0 0 0,-70.81,11.12,,-3.505,,12.6,,-17.55,,7.036,,-29.7,,-70.81,,
24,26750965,16758430,"NCGC",,Unspecified,,,"",2009/07/08,2,43,3.98107,Partial curve; partial efficacy,-5.4,1.1,0.9643,-76.6706,-0.8466,-2.2,0 0 0 0 0 0 0,-60.27,3.196,,-3.486,,-0.944,,-0.2039,,-14.35,,-22.37,,-60.27,,
25,26750964,16758429,"NCGC",,Unspecified,,,"",2009/07/08,2,46,1.25893,Partial curve; high efficacy,-5.9,1,0.9149,-92.147,0.286,-2.1,0 0 0 0 0 0 0,-84.17,4.212,,-6.354,,-10.89,,12.97,,-33.87,,-55.03,,-84.17,,
26,26750959,6518269,"NCGC",,Unspecified,,,"",2009/07/08,2,45,2.51189,Partial curve; high efficacy,-5.6,1.8265,0.9687,-96.462,3.577,-2.1,0 0 0 0 0 0 0,-88.43,-9.404,,3.153,,10.03,,8.868,,-0.6491,,-41.92,,-88.43,,
27,26750958,6518269,"NCGC",,Unspecified,,,"",2009/07/08,2,43,3.16228,Partial curve; partial efficacy,-5.5,2.5334,0.9657,-72.732,14.1615,-2.2,0 0 0 0 0 0 0,-69.36,8.92,,17.48,,5.429,,23.87,,13.48,,-12.4,,-69.36,,
28,26750956,6518267,"NCGC",,Unspecified,,,"",2009/07/08,2,44,3.98107,Partial curve; high efficacy,-5.4,1.7885,0.954,-92.4,-10.0578,-2.1,0 0 0 0 0 0 0,-82,-8.554,,-2.598,,-21.73,,-6.392,,-12.51,,-31.41,,-82,,
29,26750955,16758425,"NCGC",,Unspecified,,,"",2009/07/08,2,43,3.98107,Partial curve; partial efficacy,-5.4,1.8579,0.9814,-72.9075,3.7635,-2.2,0 0 1 0 0 0 0,-63.87,10.86,,1.595,,33.08,,3.54,,-1.251,,-17.61,,-63.87,,
30,26750954,16758424,"NCGC",,Unspecified,,,"",2009/07/08,2,45,2.51189,Partial curve; high efficacy,-5.6,1.4787,0.9772,-99.5553,-13.3037,-2.1,0 0 0 0 0 0 0,-89.23,-9.437,,-14.44,,-21.33,,-10.02,,-15.94,,-57.11,,-89.23,,
31,26750950,16758421,"NCGC",,Unspecified,,,"",2009/07/08,2,43,3.98107,Partial curve; partial efficacy,-5.4,1,0.8854,-86.789,8,-2.2,0 0 0 0 0 0 0,-64.82,25.23,,6.573,,-6.406,,3.089,,-4.925,,-20.63,,-64.82,,
32,26750948,6518404,"NCGC",,Unspecified,,,"",2009/07/08,2,43,2.51189,Partial curve; partial efficacy,-5.6,2.3332,0.9568,-62.924,3.9621,-2.2,0 0 0 0 0 0 0,-62.02,-6.4,,1.248,,5.173,,8.739,,7.616,,-23.57,,-62.02,,
33,26750930,9556004,"NCGC",,Unspecified,,,"",2009/07/08,2,44,2.51189,Partial curve; partial efficacy,-5.6,1.9673,0.9906,-77.3249,1.5223,-2.2,0 0 0 0 0 0 0,-74.03,5.747,,-1.794,,-0.2298,,-1.224,,1.125,,-32.44,,-74.03,,
34,26750899,16758388,"NCGC",,Unspecified,,,"",2009/07/08,2,44,3.16228,Partial curve; partial efficacy,-5.5,0.9,0.9017,-87.842,4.197,-2.2,0 0 0 0 0 0 0,-66.03,-8.697,,5.978,,20.03,,-2.056,,-13.71,,-33.8,,-66.03,,
35,26750897,16758387,"NCGC",,Unspecified,,,"",2009/07/08,2,44,1.58489,Partial curve; partial efficacy,-5.8,2.7202,0.9496,-74.09,3.503,-2.2,0 0 0 0 0 0 0,-72.57,4.814,,-0.1318,,17.37,,-8.085,,0.7699,,-54.67,,-72.57,,
36,26750884,16758374,"NCGC",,Unspecified,,,"",2009/07/08,2,46,1.25893,Partial curve; partial efficacy,-5.9,0.6,0.9618,-93.4812,6.0069,-2.2,0 0 0 0 0 0 0,-76.24,1.631,,3.027,,3.623,,-8.759,,-38.25,,-43.64,,-76.24,,
37,26750881,16758372,"NCGC",,Unspecified,,,"",2009/07/08,2,44,3.16228,Partial curve; partial efficacy,-5.5,1.5579,0.9364,-81.95,7.5,-2.2,0 0 0 0 0 0 0,-70.82,-7.514,,18.84,,8.088,,10.14,,4.914,,-27.85,,-70.82,,
38,26750879,16758370,"NCGC",,Unspecified,,,"",2009/07/08,2,45,1.58489,Partial curve; partial efficacy,-5.8,0.5,0.828,-85.422,15.991,-2.2,0 0 0 0 0 0 0,-63.7,26.12,,-11.25,,20.54,,-10.8,,-17.82,,-34.09,,-63.7,,
39,26750876,16758367,"NCGC",,Unspecified,,,"",2009/07/08,2,43,3.98107,Partial curve; partial efficacy,-5.4,1.5579,0.9625,-75.7312,-4.8063,-2.2,0 0 0 0 0 0 0,-64.44,3.623,,-9.255,,-4.953,,-9.91,,-5.466,,-25.77,,-64.44,,
40,26750872,16758363,"NCGC",,Unspecified,,,"",2009/07/08,2,44,2.51189,Partial curve; partial efficacy,-5.6,2.3332,0.9646,-77.548,12,-2.2,0 0 0 0 0 0 0,-76.29,8.552,,12.25,,20.76,,0.6,,15.42,,-25.53,,-76.29,,
41,26750870,16758361,"NCGC",,Unspecified,,,"",2009/07/08,2,44,2.51189,Partial curve; partial efficacy,-5.6,1.6604,0.959,-72.968,19.492,-2.2,0 0 0 0 0 0 0,-66.23,33.69,,15.36,,12,,16.17,,14.95,,-22.98,,-66.23,,
42,26750780,16758283,"NCGC",,Unspecified,,,"",2009/07/08,2,43,2.51189,Partial curve; partial efficacy,-5.6,1.9673,0.9289,-72.552,9.5,-2.2,0 0 0 0 0 0 0,-67.05,-3.169,,15.79,,3.109,,12.93,,18.87,,-32.02,,-67.05,,
43,17416397,875154,"NCGC",,Unspecified,,,"",2009/07/08,2,41,12.5893,Partial curve; partial efficacy,-4.9,3.0654,0.9241,-76.6892,15.6683,-2.2,0 0 0 0 0 0 0,-76.0941,,,11.8728,,-3.8817,,28.3611,,21.421,,19.4183,,-22.7255,,-76.0941
44,17416378,2961812,"NCGC",,Unspecified,,,"",2009/07/08,2,63,2.51189,Complete curve; partial efficacy,-5.6,1.21,0.9375,-67.1403,2.6648,-1.2,0 0 0 0 0 0 0,-65.9503,,,-10.9405,,9.6093,,10.7532,,-9.8762,,-28.7699,,-57.041,,-65.9503
45,17416367,1242706,"NCGC",,Unspecified,,,"",2009/07/08,2,84,4.46684,Complete curve; high efficacy,-5.35,1.6266,0.9817,-112.37,-12.1472,-1.1,0 0 0 0 0 0 0,-109.821,,,-9.8958,,-4.8754,,-14.3474,,-25.3793,,-33.0549,,-96.5033,,-109.821
46,17416364,5512458,"NCGC",,Unspecified,,,"",2009/07/08,2,65,1.25893,Complete curve; partial efficacy,-5.9,0.9,0.9853,-78.887,21.5228,-1.2,0 0 0 0 0 0 0,-75.6066,,,17.3058,,18.1421,,21.212,,-13.5774,,-37.2322,,-69.5107,,-75.6066
47,17416362,2216871,"NCGC",,Unspecified,,,"",2009/07/08,2,65,1.12202,Complete curve; partial efficacy,-5.95,2.1211,0.9474,-71.597,-25.8725,-1.2,0 0 0 0 0 0 0,-64.0625,,,-21.2766,,-29.4584,,-26.9914,,-32.3559,,-61.7445,,-79.6823,,-64.0625
48,17416346,1184355,"NCGC",,Unspecified,,,"",2009/07/08,2,67,0.141254,Complete curve; partial efficacy,-6.85,0.8,0.9828,-67.6313,3.5661,-1.2,0 0 0 0 0 0 0,-65.416,,,3.2628,,-14.0679,,-22.1291,,-47.5406,,-64.954,,-64.9057,,-65.416
49,17416344,1367702,"NCGC",,Unspecified,,,"",2009/07/08,2,46,0.281838,Partial curve; partial efficacy,-6.55,0.5,0.9265,-65.9641,15,-2.2,0 0 0 0 1 0 0,-69.2739,,,6.5492,,6.0475,,-19.9088,,-33.036,,-6.9944,,-42.7371,,-69.2739
50,17416338,1367993,"NCGC",,Unspecified,,,"",2009/07/08,2,92,0.0398107,Complete curve; high efficacy,-7.4,1.6436,0.9983,-88.7852,3.3256,-1.1,0 0 0 0 0 0 0,-90.3178,,,1.2886,,-16.2069,,-71.6028,,-84.56,,-87.9105,,-90.4557,,-90.3178
51,17416337,1368253,"NCGC",,Unspecified,,,"",2009/07/08,2,84,3.98107,Complete curve; high efficacy,-5.4,1.4781,0.9966,-95.7529,3.0187,-1.1,0 0 0 0 0 0 0,-92.6796,,,6.9464,,4.3604,,-1.3177,,-0.9163,,-27.3145,,-79.9599,,-92.6796
52,17416335,2884390,"NCGC",,Unspecified,,,"",2009/07/08,2,42,12.5893,Partial curve; high efficacy,-4.9,1.1341,0.9835,-117.456,6.1728,-2.1,0 0 0 0 0 0 0,-97.8802,,,9.546,,14.352,,-2.5972,,-0.2849,,-7.8337,,-53.4493,,-97.8802
53,17416324,2964786,"NCGC",,Unspecified,,,"",2009/07/08,2,84,2.23872,Complete curve; high efficacy,-5.65,1.8265,0.9938,-82.0364,21.054,-1.1,0 0 0 0 0 0 0,-83.6593,,,23.2322,,24.3097,,13.2091,,17.8997,,-30.9633,,-75.3221,,-83.6593
54,17416301,2889688,"NCGC",,Unspecified,,,"",2009/07/08,2,63,3.98107,Complete curve; partial efficacy,-5.4,1.8079,0.9969,-70.1659,36.0713,-1.2,1 0 0 0 0 0 0,-70.7686,,,47.0633,,31.3301,,38.5385,,35.1888,,7.6211,,-54.4807,,-70.7686
55,17416287,1941609,"NCGC",,Unspecified,,,"",2009/07/08,2,65,1.99526,Complete curve; partial efficacy,-5.7,0.9,0.989,-87.2131,36.8288,-1.2,1 0 0 0 0 0 0,-79.2182,,,67.2092,,41.5321,,21.2258,,14.6747,,-30.2489,,-68.0874,,-79.2182
56,17416274,2960075,"NCGC",,Unspecified,,,"",2009/07/08,2,82,7.94328,Complete curve; high efficacy,-5.1,4.095,0.9817,-96.3723,1.0711,-1.1,0 0 0 0 0 0 0,-95.9306,,,4.2893,,11.1801,,-3.7679,,0.0521,,-8.0765,,-79.2754,,-95.9306
57,17416268,734553,"NCGC",,Unspecified,,,"",2009/07/08,2,87,2.23872,Complete curve; high efficacy,-5.65,0.9,0.9749,-131.755,0,-1.1,0 0 0 0 0 0 0,-124.047,,,-12.8984,,7.5038,,1.4866,,-33.6682,,-60.9621,,-109.882,,-124.047
58,17416264,2831492,"NCGC",,Unspecified,,,"",2009/07/08,2,86,1.25893,Complete curve; high efficacy,-5.9,0.8,0.9878,-93.7796,12.6464,-1.1,0 0 0 0 0 0 0,-88.2492,,,17.1372,,0.138,,5.2028,,-20.7728,,-52.4143,,-79.2912,,-88.2492
59,17416257,881992,"NCGC",,Unspecified,,,"",2009/07/08,2,42,8.91251,Partial curve; high efficacy,-5.05,1.331,0.9814,-92.0097,-11.3928,-2.1,0 0 0 0 0 0 0,-82.743,,,-11.4371,,-12.6488,,-16.9774,,-5.5623,,-21.9216,,-59.2848,,-82.743
60,17416256,1339800,"NCGC",,Unspecified,,,"",2009/07/08,2,85,2.51189,Complete curve; high efficacy,-5.6,1,0.9888,-108.446,-8.9502,-1.1,0 0 0 0 0 0 0,-101.731,,,-4.3428,,-9.4112,,-18.4737,,-24.9251,,-51.6852,,-95.278,,-101.731
61,17416252,2289107,"NCGC",,Unspecified,,,"",2009/07/08,2,87,0.794328,Complete curve; high efficacy,-6.1,1,0.997,-99.7131,5.2451,-1.1,0 0 0 0 0 0 0,-96.6442,,,8.2587,,-0.6299,,-4.2755,,-34.8927,,-71.51,,-94.7322,,-96.6442
62,17416251,2883112,"NCGC",,Unspecified,,,"",2009/07/08,2,85,2.51189,Complete curve; high efficacy,-5.6,1.1,0.9891,-102.027,0,-1.1,0 0 0 0 0 0 0,-100.171,,,-2.8757,,-4.5162,,6.7587,,-15.8086,,-47.7201,,-84.9799,,-100.171
63,17416244,2892638,"NCGC",,Unspecified,,,"",2009/07/08,2,87,0.707946,Complete curve; high efficacy,-6.15,1,0.9998,-94.6738,-0.2704,-1.1,0 0 0 0 0 0 0,-93.4781,,,-0.3842,,-2.0767,,-12.0776,,-37.7836,,-72.2525,,-88.8667,,-93.4781
64,17416243,2894008,"NCGC",,Unspecified,,,"",2009/07/08,2,65,0.707946,Complete curve; partial efficacy,-6.15,2.0479,0.9777,-70.2783,20.4265,-1.2,0 0 0 0 0 1 0,-71.0652,,,9.2075,,28.1996,,23.4122,,-6.2234,,-61.8513,,-29.1705,,-71.0652
65,17416238,6897858,"NCGC",,Unspecified,,,"",2009/07/08,2,41,14.1254,Partial curve; partial efficacy,-4.85,1,0.9751,-95.4826,7.5,-2.2,0 0 0 0 0 0 0,-75.8656,,,6.6243,,8.3336,,13.0127,,-5.6324,,-2.6865,,-38.1346,,-75.8656
66,17416236,2884704,"NCGC",,Unspecified,,,"",2009/07/08,2,42,11.2202,Partial curve; high efficacy,-4.95,1.2475,0.9943,-115.324,4.966,-2.1,0 0 0 0 0 0 0,-100.701,,,6.32,,9.653,,-0.6538,,0.6213,,-8.5922,,-56.6824,,-100.701
67,17416233,879331,"NCGC",,Unspecified,,,"",2009/07/08,2,64,1.12202,Complete curve; partial efficacy,-5.95,1.7885,0.9382,-65.659,-3.5631,-1.2,0 0 0 0 0 0 0,-70.2114,,,-11.9926,,-7.9903,,10.4196,,-16.4706,,-51.1414,,-60.8742,,-70.2114
68,17416232,2888544,"NCGC",,Unspecified,,,"",2009/07/08,2,87,1.12202,Complete curve; high efficacy,-5.95,1.1,0.9914,-100.15,-4.526,-1.1,0 0 0 0 0 0 0,-94.5548,,,-3.678,,-3.985,,-12.9839,,-31.7709,,-66.226,,-99.8019,,-94.5548
69,17416227,2967412,"NCGC",,Unspecified,,,"",2009/07/08,2,46,3.98107,Partial curve; high efficacy,-5.4,0.8,0.9991,-135.717,11.9117,-2.1,0 0 0 0 0 0 0,-119.715,,,12.637,,8.3603,,3.9448,,-10.8744,,-43.6221,,-93.3331,,-119.715
70,17416218,5339793,"NCGC",,Unspecified,,,"",2009/07/08,2,40,19.9526,Partial curve; partial efficacy,-4.7,1.331,0.9483,-95.0474,-7.9299,-2.2,0 0 0 0 0 0 0,-79.2061,,,0.093,,-11.4974,,-2.8791,,-19.7951,,-12.7667,,-35.7268,,-79.2061
71,17416217,5333962,"NCGC",,Unspecified,,,"",2009/07/08,2,67,0.354813,Complete curve; partial efficacy,-6.45,2.1211,0.9858,-72.4138,-3.2126,-1.2,0 0 0 0 0 0 0,-65.3854,,,-2.9826,,-2.997,,-7.1822,,-48.0763,,-70.514,,-79.3173,,-65.3854
72,17416199,6897952,"NCGC",,Unspecified,,,"",2009/07/08,2,85,1.41254,Complete curve; high efficacy,-5.85,2.3332,0.9934,-78.4033,-8.8583,-1.1,1 0 0 0 0 0 0,-74.0021,,,-36.8742,,-9.5343,,-8.4764,,-14.028,,-60.6375,,-82.208,,-74.0021
73,17416195,2270495,"NCGC",,Unspecified,,,"",2009/07/08,2,41,15.8489,Partial curve; partial efficacy,-4.8,1,0.9639,-93.2647,1.4296,-2.2,0 0 0 0 0 0 0,-74.3286,,,7.0789,,-6.7404,,3.277,,1.4193,,-17.3208,,-33.6182,,-74.3286
74,17416184,2830067,"NCGC",,Unspecified,,,"",2009/07/08,2,87,0.562341,Complete curve; high efficacy,-6.25,1.21,0.9671,-89.0645,-5.6344,-1.1,0 0 0 0 0 0 0,-89.3884,,,1.956,,-20.114,,-7.3849,,-45.0294,,-74.4925,,-86.4596,,-89.3884
75,17416181,5348683,"NCGC",,Unspecified,,,"",2009/07/08,2,85,2.81838,Complete curve; high efficacy,-5.55,1.21,0.9915,-102.101,9.6817,-1.1,0 0 0 0 0 0 0,-97.4238,,,16.4787,,3.0644,,10.4027,,-4.1573,,-37.3605,,-87.2356,,-97.4238
76,17416180,720635,"NCGC",,Unspecified,,,"",2009/07/08,2,41,14.1254,Partial curve; high efficacy,-4.85,2.3332,0.9805,-96.7815,1.5767,-2.1,0 0 0 0 0 0 0,-93.3521,,,-3.5989,,-3.2316,,11.7581,,0.8961,,1.5928,,-35.2287,,-93.3521
77,17416159,1187421,"NCGC",,Unspecified,,,"",2009/07/08,2,86,2.51189,Complete curve; high efficacy,-5.6,1,0.9949,-126.857,-18.9177,-1.1,0 0 0 0 0 0 0,-120.633,,,-15.326,,-19.6157,,-27.1289,,-37.2468,,-67.6184,,-110.802,,-120.633
78,17416150,2218619,"NCGC",,Unspecified,,,"",2009/07/08,2,86,1.25893,Complete curve; high efficacy,-5.9,1.2876,0.9979,-96.5085,-11.3616,-1.1,0 0 0 0 0 0 0,-94.3027,,,-9.9375,,-14.4637,,-13.1151,,-29.2195,,-68.5084,,-93.805,,-94.3027
79,17416148,2963405,"NCGC",,Unspecified,,,"",2009/07/08,2,87,1.12202,Complete curve; high efficacy,-5.95,1.8617,0.9971,-98.8341,7.898,-1.1,0 0 0 0 0 0 0,-100.226,,,12.6025,,4.8016,,3.8078,,-7.8329,,-75.9976,,-96.6922,,-100.226
80,17416145,5740525,"NCGC",,Unspecified,,,"",2009/07/08,2,88,0.562341,Complete curve; high efficacy,-6.25,1.1,0.997,-100.52,6.4616,-1.1,0 0 0 0 0 0 0,-98.1608,,,2.903,,7.324,,-5.3577,,-41.7523,,-79.8343,,-100.369,,-98.1608
81,17416140,1913126,"NCGC",,Unspecified,,,"",2009/07/08,2,83,5.01187,Complete curve; high efficacy,-5.3,1.3723,0.9729,-89.0808,2.2837,-1.1,0 0 0 0 0 0 0,-85.0112,,,8.4665,,9.3156,,-9.7185,,-2.9524,,-20.4039,,-68.1684,,-85.0112
82,17416137,2893146,"NCGC",,Unspecified,,,"",2009/07/08,2,42,14.1254,Partial curve; high efficacy,-4.85,1.3443,0.9884,-127.344,-9.5331,-2.1,0 0 0 0 0 0 0,-111.574,,,-11.9432,,-2.49,,-8.1219,,-17.548,,-16.9793,,-61.1924,,-111.574
83,17416136,5349918,"NCGC",,Unspecified,,,"",2009/07/08,2,43,8.91251,Partial curve; high efficacy,-5.05,1.3443,0.9978,-115.74,-17.3665,-2.1,0 0 0 0 0 0 0,-108.533,,,-19.2685,,-14.1029,,-18.8575,,-19.9795,,-31.5521,,-74.5236,,-108.533
84,17416135,5729851,"NCGC",,Unspecified,,,"",2009/07/08,2,45,3.98107,Partial curve; high efficacy,-5.4,0.5,0.9248,-111.583,5.1537,-2.1,0 0 0 0 0 0 0,-85.6139,,,2.7921,,2.8493,,-15.4065,,-34.8248,,-27.6452,,-78.82,,-85.6139
85,17416124,2274268,"NCGC",,Unspecified,,,"",2009/07/08,2,41,12.5893,Partial curve; partial efficacy,-4.9,1.5386,0.9961,-81.3963,0.7465,-2.2,0 0 0 0 0 0 0,-74.7082,,,-0.6959,,2.8269,,-1.7445,,1.5752,,-6.1966,,-35.5543,,-74.7082
86,17416122,734554,"NCGC",,Unspecified,,,"",2009/07/08,2,86,2.51189,Complete curve; high efficacy,-5.6,0.9,0.9029,-127.191,-12.6783,-1.1,0 0 0 0 0 0 0,-116.558,,,-28.151,,-24.7068,,10.2252,,-37.6528,,-69.9074,,-101.858,,-116.558
