#,SID,CID,BioAssay_Source,RankScore,Outcome,Xref,URL,Comment,DepositDate,"Activity Outcome","Activity Score","p450-cyp3a4-Potency_&#956;M","p450-cyp3a4-Curve_Description","p450-cyp3a4-Fit_LogAC50","p450-cyp3a4-Fit_HillSlope","p450-cyp3a4-Fit_R2","p450-cyp3a4-Fit_InfiniteActivity_%","p450-cyp3a4-Fit_ZeroActivity_%","p450-cyp3a4-Fit_CurveClass","p450-cyp3a4-Excluded_Points","p450-cyp3a4-Max_Response_%","p450-cyp3a4-Activity at 0.0007 uM_%","p450-cyp3a4-Activity at 0.00164 uM_%","p450-cyp3a4-Activity at 0.00366 uM_%","p450-cyp3a4-Activity at 0.00818 uM_%","p450-cyp3a4-Activity at 0.018 uM_%","p450-cyp3a4-Activity at 0.041 uM_%","p450-cyp3a4-Activity at 0.091 uM_%","p450-cyp3a4-Activity at 0.204 uM_%","p450-cyp3a4-Activity at 0.457 uM_%","p450-cyp3a4-Activity at 1.022 uM_%","p450-cyp3a4-Activity at 2.286 uM_%","p450-cyp3a4-Activity at 5.111 uM_%","p450-cyp3a4-Activity at 11.43 uM_%","p450-cyp3a4-Activity at 25.56 uM_%","p450-cyp3a4-Activity at 57.14 uM_%"
16,26751263,16758651,"NCGC",,Unspecified,,,"",2009/07/08,2,65,0.794328,Complete curve; partial efficacy,-6.1,1.1,0.9815,-69.4038,-0.9916,-1.2,0 0 0 0 0 0 0,-65.7567,-7.0662,,0.3691,,4.1589,,-9.1023,,-24.8038,,-53.658,,-65.7567,,
17,26751262,16758650,"NCGC",,Unspecified,,,"",2009/07/08,2,44,3.98107,Partial curve; high efficacy,-5.4,1,0.9954,-105.805,-12.9661,-2.1,0 0 0 0 0 0 0,-82.5222,-9.7399,,-13.1985,,-15.1513,,-16.2899,,-22.6128,,-45.0445,,-82.5222,,
18,26751261,16758649,"NCGC",,Unspecified,,,"",2009/07/08,2,46,3.16228,Partial curve; high efficacy,-5.5,0.8,0.9947,-128.998,-11.9692,-2.1,0 0 0 0 0 0 0,-99.927,-9.0696,,-11.0883,,-18.4159,,-18.793,,-32.1215,,-63.726,,-99.927,,
19,26751260,16758648,"NCGC",,Unspecified,,,"",2009/07/08,2,66,0.501187,Complete curve; partial efficacy,-6.3,0.9,0.9929,-70.8855,2.9062,-1.2,0 0 0 0 0 0 0,-67.1443,4.7319,,2.4637,,-4.7982,,-6.9975,,-34.1056,,-54.7665,,-67.1443,,
20,26751259,16758647,"NCGC",,Unspecified,,,"",2009/07/08,2,46,1.58489,Partial curve; high efficacy,-5.8,1,0.9908,-96.1451,-7.7699,-2.1,0 0 0 0 0 0 0,-86.9438,-5.7617,,-5.0687,,-14.6007,,-13.1155,,-26.6092,,-58.1639,,-86.9438,,
21,26751257,16758645,"NCGC",,Unspecified,,,"",2009/07/08,2,46,1.99526,Partial curve; high efficacy,-5.7,1.3443,0.9953,-110.663,8.5381,-2.1,0 0 0 0 0 0 0,-100.283,13.5585,,4.2433,,9.8813,,4.1399,,-5.3714,,-56.5733,,-100.283,,
22,26751251,16758639,"NCGC",,Unspecified,,,"",2009/07/08,2,43,3.16228,Partial curve; partial efficacy,-5.5,3.5117,0.9446,-62.6021,1.8339,-2.2,0 0 0 0 0 0 0,-62.3069,4.7122,,11.0161,,-1.1267,,3.2141,,-8.1619,,-13.0329,,-62.3069,,
23,26751247,16758635,"NCGC",,Unspecified,,,"",2009/07/08,2,43,5.01187,Partial curve; partial efficacy,-5.3,1.21,0.969,-92.3826,-11.6211,-2.2,0 0 0 0 0 0 0,-74.2043,-8.2522,,-7.4552,,-11.6279,,-13.1892,,-23.3932,,-31.8814,,-74.2043,,
24,26751246,16758634,"NCGC",,Unspecified,,,"",2009/07/08,2,45,3.98107,Partial curve; high efficacy,-5.4,1,0.9928,-116.213,-6.0494,-2.1,0 0 0 0 0 0 0,-89.7146,-4.831,,-4.1617,,-7.5178,,-8.8305,,-22.1807,,-43.1902,,-89.7146,,
25,26751245,16758633,"NCGC",,Unspecified,,,"",2009/07/08,2,46,3.98107,Partial curve; high efficacy,-5.4,1.1,0.9927,-141.242,-14.3382,-2.1,0 0 0 0 0 0 0,-110.596,-10.2765,,-12.6818,,-16.4428,,-21.5732,,-22.3185,,-59.9469,,-110.596,,
26,26751243,16758631,"NCGC",,Unspecified,,,"",2009/07/08,2,45,3.16228,Partial curve; high efficacy,-5.5,0.9,0.9941,-111.708,-6.6455,-2.1,0 0 0 0 0 0 0,-88.0858,-3.0335,,-7.7214,,-8.2236,,-13.6252,,-22.4774,,-48.6255,,-88.0858,,
27,26751242,16758630,"NCGC",,Unspecified,,,"",2009/07/08,2,47,1.25893,Partial curve; high efficacy,-5.9,0.8,0.9965,-101.412,-9.4738,-2.1,0 0 0 0 0 0 0,-89.9841,-8.614,,-9.2479,,-14.5855,,-19.4936,,-38.3712,,-63.1891,,-89.9841,,
28,26751241,16758629,"NCGC",,Unspecified,,,"",2009/07/08,2,48,1.58489,Partial curve; high efficacy,-5.8,1,0.9955,-127.611,-20.0443,-2.1,0 0 0 0 0 0 0,-114.598,-15.5314,,-22.9899,,-22.5619,,-28.4141,,-42.7284,,-83.3377,,-114.598,,
29,26751240,16758628,"NCGC",,Unspecified,,,"",2009/07/08,2,47,1,Partial curve; high efficacy,-6,0.9,0.9996,-105.523,-9.1225,-2.1,0 0 0 0 0 0 0,-96.6028,-8.6021,,-9.1857,,-12.6861,,-19.3366,,-40.5518,,-73.792,,-96.6028,,
30,26751239,16758627,"NCGC",,Unspecified,,,"",2009/07/08,2,48,1,Partial curve; high efficacy,-6,0.9,0.9954,-106.951,-7.7426,-2.1,0 0 0 0 0 0 0,-96.0929,-3.303,,-11.4651,,-11.2595,,-18.709,,-39.4151,,-76.3686,,-96.0929,,
31,26751236,16758624,"NCGC",,Unspecified,,,"",2009/07/08,2,43,3.16228,Partial curve; partial efficacy,-5.5,4.9549,0.9925,-67.9361,-6.8055,-2.2,0 0 0 0 0 0 0,-68.2076,-6.9336,,-4.077,,-5.9019,,-6.6373,,-10.5224,,-15.7958,,-68.2076,,
32,26751233,16758621,"NCGC",,Unspecified,,,"",2009/07/08,2,45,3.98107,Partial curve; high efficacy,-5.4,1.4487,0.981,-112.434,-25.791,-2.1,0 0 0 0 0 0 0,-100.207,-22.0639,,-25.0106,,-24.784,,-26.2212,,-37.1465,,-50.7502,,-100.207,,
33,26751224,16758612,"NCGC",,Unspecified,,,"",2009/07/08,2,43,3.16228,Partial curve; partial efficacy,-5.5,3.9295,0.991,-61.8306,-8.5221,-2.2,0 0 0 0 0 0 0,-61.5512,-7.4163,,-6.2427,,-10.7544,,-6.4711,,-10.9181,,-20.5639,,-61.5512,,
34,26751216,16758604,"NCGC",,Unspecified,,,"",2009/07/08,2,43,3.16228,Partial curve; partial efficacy,-5.5,4.9549,0.9965,-71.0799,-5.4319,-2.2,0 0 0 0 0 0 0,-71.0789,-4.8312,,-5.4156,,-6.0165,,-3.9309,,-8.3675,,-15.4889,,-71.0789,,
35,26751206,16758594,"NCGC",,Unspecified,,,"",2009/07/08,2,42,3.98107,Partial curve; partial efficacy,-5.4,2.2481,0.9807,-65.184,-4.5749,-2.2,0 0 0 0 0 0 0,-60.1845,-2.0269,,0.5642,,-7.4987,,-5.9255,,-7.8219,,-17.7496,,-60.1845,,
36,26751197,16758585,"NCGC",,Unspecified,,,"",2009/07/08,2,45,3.98107,Partial curve; high efficacy,-5.4,1.4781,0.9793,-122.61,-3.638,-2.1,0 0 0 0 0 0 0,-103.474,0.4223,,-6.8358,,-2.4115,,0.4678,,-18.0658,,-34.7642,,-103.474,,
37,26751193,16758581,"NCGC",,Unspecified,,,"",2009/07/08,2,46,1.58489,Partial curve; high efficacy,-5.8,1,0.996,-106.216,-6.8032,-2.1,0 0 0 0 0 0 0,-96.1313,-6.7224,,-4.7182,,-11.3907,,-12.6229,,-29.2595,,-62.8238,,-96.1313,,
38,26751175,6636370,"NCGC",,Unspecified,,,"",2009/07/08,2,46,2.51189,Partial curve; high efficacy,-5.6,0.9,0.999,-122.8,-6.2309,-2.1,0 0 0 0 0 0 0,-99.1345,-8.5809,,-5.7431,,-8.0746,,-10.6569,,-26.9661,,-61.5968,,-99.1345,,
39,26751151,16758561,"NCGC",,Unspecified,,,"",2009/07/08,2,42,5.01187,Partial curve; partial efficacy,-5.3,4.5045,0.9782,-61.8915,-13.3362,-2.2,0 0 0 0 0 0 0,-60.816,-17.2986,,-16.0271,,-10.9456,,-11.1533,,-10.2314,,-14.4819,,-60.816,,
40,26751146,16758557,"NCGC",,Unspecified,,,"",2009/07/08,2,48,1,Partial curve; high efficacy,-6,1,0.9938,-107.959,-7.7751,-2.1,0 0 0 0 0 0 0,-101.382,-8.3493,,-7.3973,,-12.3917,,-11.7927,,-42.7126,,-74.2337,,-101.382,,
41,26751145,16758556,"NCGC",,Unspecified,,,"",2009/07/08,2,44,3.16228,Partial curve; high efficacy,-5.5,3.5722,0.9939,-84.8288,-7.562,-2.1,0 0 0 0 0 0 0,-84.3379,-9.3763,,-6.495,,-5.6233,,-5.5711,,-11.8361,,-25.5348,,-84.3379,,
42,26751144,6636173,"NCGC",,Unspecified,,,"",2009/07/08,2,43,3.98107,Partial curve; high efficacy,-5.4,3.2975,0.9709,-85.7547,-7.6147,-2.1,0 0 0 0 0 0 0,-83.3489,-16.7637,,-0.7089,,-6.0239,,-4.7593,,-7.849,,-20.0521,,-83.3489,,
43,26751142,16758554,"NCGC",,Unspecified,,,"",2009/07/08,2,45,3.16228,Partial curve; high efficacy,-5.5,0.8,0.9815,-115.678,-6.9862,-2.1,0 0 0 0 0 0 0,-89.4754,-10.6845,,-1.3988,,-11.3961,,-13.4137,,-29.3531,,-48.6646,,-89.4754,,
44,26751140,16758553,"NCGC",,Unspecified,,,"",2009/07/08,2,44,3.16228,Partial curve; high efficacy,-5.5,3.9295,0.9833,-92.1727,-8.4053,-2.1,0 0 0 0 0 0 0,-91.5412,-7.8463,,-4.7738,,-6.9399,,-5.2993,,-16.9744,,-27.3213,,-91.5412,,
45,26751139,16758552,"NCGC",,Unspecified,,,"",2009/07/08,2,45,5.01187,Partial curve; high efficacy,-5.3,1.3443,0.9626,-134.683,-7.0609,-2.1,0 0 0 0 0 0 0,-107.786,-4.2175,,-0.9893,,-9.2358,,-1.5585,,-26.497,,-37.1783,,-107.786,,
46,26751138,16758551,"NCGC",,Unspecified,,,"",2009/07/08,2,46,3.98107,Partial curve; high efficacy,-5.4,1.1,0.9845,-145.173,-4.0228,-2.1,0 0 0 0 0 0 0,-113.315,1.6238,,-0.1167,,-10.7522,,-7.0454,,-21.7232,,-48.0959,,-113.315,,
47,26751135,16758549,"NCGC",,Unspecified,,,"",2009/07/08,2,43,5.01187,Partial curve; high efficacy,-5.3,1.7137,0.9193,-97.4921,-8.5757,-2.1,0 0 0 0 0 0 0,-81.2434,-16.3082,,-18.3926,,4.5132,,-10.5701,,-14.7881,,-25.2075,,-81.2434,,
48,26751127,16758544,"NCGC",,Unspecified,,,"",2009/07/08,2,43,3.98107,Partial curve; partial efficacy,-5.4,1.7529,0.9902,-73.915,-6.5261,-2.2,0 0 0 0 0 0 0,-64.9843,-5.8284,,-3.6616,,-6.1863,,-7.1266,,-12.1894,,-23.688,,-64.9843,,
49,26751126,6636212,"NCGC",,Unspecified,,,"",2009/07/08,2,42,6.30957,Partial curve; partial efficacy,-5.2,4.5045,0.9947,-75.6903,-13.7412,-2.2,0 0 0 0 0 0 0,-71.8843,-11.4116,,-15.7425,,-13.1893,,-15.5807,,-12.2586,,-14.485,,-71.8843,,
50,26751120,6636401,"NCGC",,Unspecified,,,"",2009/07/08,2,43,3.98107,Partial curve; partial efficacy,-5.4,2.2481,0.973,-66.9458,-4.4841,-2.2,0 0 0 0 0 0 0,-61.8232,-7.6498,,3.018,,-5.0399,,-5.9905,,-7.6554,,-18.3792,,-61.8232,,
51,26751117,9548048,"NCGC",,Unspecified,,,"",2009/07/08,2,43,3.16228,Partial curve; partial efficacy,-5.5,3.1925,0.9984,-73.9521,-7.9536,-2.2,0 0 0 0 0 0 0,-73.0016,-6.5032,,-6.7937,,-8.9945,,-7.7594,,-9.0521,,-25.5231,,-73.0016,,
52,26751105,16758534,"NCGC",,Unspecified,,,"",2009/07/08,2,43,3.98107,Partial curve; partial efficacy,-5.4,1.4781,0.9951,-85.5239,-7.9648,-2.2,0 0 0 0 0 0 0,-72.1032,-10.6159,,-7.4902,,-5.2313,,-7.8105,,-12.3806,,-31.4519,,-72.1032,,
53,26751103,9548050,"NCGC",,Unspecified,,,"",2009/07/08,2,43,3.98107,Partial curve; partial efficacy,-5.4,1.9887,0.9694,-74.0645,-3.3068,-2.2,0 0 0 0 0 0 0,-66.5719,-0.136,,-1.9383,,-2.1496,,-0.9833,,-13.3564,,-19.15,,-66.5719,,
54,26751087,6636330,"NCGC",,Unspecified,,,"",2009/07/08,2,43,3.98107,Partial curve; partial efficacy,-5.4,1.1,0.9873,-83.1783,2.4169,-2.2,0 0 0 0 0 0 0,-63.3434,0.647,,8.3191,,-0.003,,0.7355,,-6.8846,,-27.5244,,-63.3434,,
55,26751081,16758514,"NCGC",,Unspecified,,,"",2009/07/08,2,43,3.98107,Partial curve; partial efficacy,-5.4,2.6384,0.9633,-75.3765,-5.6967,-2.2,0 0 0 0 0 0 0,-71.311,-1.7647,,0.6555,,-4.794,,-8.81,,-14.2944,,-18.641,,-71.311,,
56,26751077,16758511,"NCGC",,Unspecified,,,"",2009/07/08,2,43,3.16228,Partial curve; partial efficacy,-5.5,3.9295,0.9863,-64.4335,-8.5352,-2.2,0 0 0 0 0 0 0,-64.1028,-9.2174,,-4.2045,,-9.3346,,-12.4021,,-8.4837,,-19.93,,-64.1028,,
57,26751074,16758508,"NCGC",,Unspecified,,,"",2009/07/08,2,43,3.98107,Partial curve; partial efficacy,-5.4,1.2876,0.9932,-79.658,-9.567,-2.2,0 0 0 0 0 0 0,-66.3816,-10.6512,,-7.208,,-9.5266,,-9.0646,,-16.0516,,-30.65,,-66.3816,,
58,26751072,16758506,"NCGC",,Unspecified,,,"",2009/07/08,2,45,3.16228,Partial curve; high efficacy,-5.5,3.5117,0.989,-115.373,-12.3039,-2.1,0 0 0 0 0 0 0,-114.582,-6.6557,,-14.8388,,-9.6699,,-10.5621,,-19.4173,,-36.7257,,-114.582,,
59,26751071,16758505,"NCGC",,Unspecified,,,"",2009/07/08,2,44,3.16228,Partial curve; high efficacy,-5.5,4.4495,0.996,-96.4953,-6.0317,-2.1,0 0 0 0 0 0 0,-96.0764,-3.1128,,-6.5447,,-5.5929,,-3.812,,-9.7161,,-23.3151,,-96.0764,,
60,26751063,9556127,"NCGC",,Unspecified,,,"",2009/07/08,2,44,3.16228,Partial curve; high efficacy,-5.5,4.4495,0.9914,-86.5975,-13.219,-2.1,0 0 0 0 0 0 0,-86.5295,-9.151,,-17.0454,,-11.4359,,-13.0236,,-15.1605,,-26.2424,,-86.5295,,
61,26751062,16758501,"NCGC",,Unspecified,,,"",2009/07/08,2,43,3.98107,Partial curve; high efficacy,-5.4,4.095,0.9954,-82.8979,-9.4436,-2.1,0 0 0 0 0 0 0,-81.8168,-6.6017,,-7.9171,,-8.8843,,-9.5548,,-12.4886,,-16.8503,,-81.8168,,
62,26751059,16758499,"NCGC",,Unspecified,,,"",2009/07/08,2,44,3.98107,Partial curve; high efficacy,-5.4,2.3531,0.9872,-92.4754,-2.6492,-2.1,0 0 0 0 0 0 0,-84.8333,0.3464,,-0.9854,,-4.5056,,1.659,,-9.1931,,-23.7494,,-84.8333,,
63,26751057,16758497,"NCGC",,Unspecified,,,"",2009/07/08,2,43,3.16228,Partial curve; partial efficacy,-5.5,3.5117,0.9874,-74.8882,-16.8007,-2.2,0 0 0 0 0 0 0,-74.2475,-15.3853,,-18.062,,-12.1599,,-18.6088,,-19.3605,,-30.0568,,-74.2475,,
64,26751052,9556116,"NCGC",,Unspecified,,,"",2009/07/08,2,43,3.98107,Partial curve; partial efficacy,-5.4,4.095,0.9967,-69.98,-2.9862,-2.2,0 0 0 0 0 0 0,-69.0245,-0.5306,,-3.8027,,-2.5624,,-5.1017,,-3.1629,,-10.0301,,-69.0245,,
65,26751051,9556115,"NCGC",,Unspecified,,,"",2009/07/08,2,42,3.98107,Partial curve; partial efficacy,-5.4,4.095,0.9909,-66.3514,-9.7181,-2.2,0 0 0 0 0 0 0,-65.5297,-6.9683,,-12.4415,,-7.0712,,-10.5887,,-10.882,,-14.7364,,-65.5297,,
66,26751050,9556115,"NCGC",,Unspecified,,,"",2009/07/08,2,43,3.16228,Partial curve; partial efficacy,-5.5,4.045,0.9825,-78.9338,1.2775,-2.2,0 0 0 0 0 0 0,-78.4636,8.7612,,-1.5873,,-0.8078,,2.4308,,-3.6332,,-15.5704,,-78.4636,,
67,26751042,16758490,"NCGC",,Unspecified,,,"",2009/07/08,2,44,3.98107,Partial curve; high efficacy,-5.4,2.9523,0.9767,-89.8862,-12.6591,-2.1,0 0 0 0 0 0 0,-86.1324,-11.38,,-6.4053,,-10.8657,,-20.2069,,-14.5158,,-26.9966,,-86.1324,,
68,26751032,16758487,"NCGC",,Unspecified,,,"",2009/07/08,2,43,3.98107,Partial curve; partial efficacy,-5.4,1.6259,0.9169,-86.1045,-4.0803,-2.2,0 0 0 0 0 0 0,-73.8371,-19.0995,,0.1137,,6.9658,,-3.864,,-8.4008,,-27.3151,,-73.8371,,
69,26751029,6518332,"NCGC",,Unspecified,,,"",2009/07/08,2,43,3.98107,Partial curve; partial efficacy,-5.4,2.5884,0.9552,-79.8509,-19.2453,-2.2,0 0 0 0 0 0 0,-76.1345,-23.4126,,-24.8918,,-16.1575,,-11.029,,-20.2639,,-30.8851,,-76.1345,,
70,26751027,16758483,"NCGC",,Unspecified,,,"",2009/07/08,2,44,3.98107,Partial curve; high efficacy,-5.4,0.8,0.9756,-108.643,-5.2114,-2.1,0 0 0 0 0 0 0,-83.6655,-1.2226,,-3.7836,,-5.694,,-15.9201,,-23.7625,,-40.7568,,-83.6655,,
71,26751026,6518329,"NCGC",,Unspecified,,,"",2009/07/08,2,43,3.98107,Partial curve; partial efficacy,-5.4,1.5579,0.9832,-86.7209,-3.4228,-2.2,0 0 0 0 0 0 0,-73.9341,-2.1986,,0.2936,,-4.5737,,-2.8805,,-12.7073,,-24.9444,,-73.9341,,
72,26751013,16758473,"NCGC",,Unspecified,,,"",2009/07/08,2,43,5.01187,Partial curve; partial efficacy,-5.3,1.1,0.969,-84.6631,-8.156,-2.2,0 0 0 0 0 0 0,-65.3437,-9.5735,,-2.8379,,-7.9154,,-8.1446,,-19.9016,,-28.6536,,-65.3437,,
73,26751011,16758471,"NCGC",,Unspecified,,,"",2009/07/08,2,44,3.16228,Partial curve; high efficacy,-5.5,3.5722,0.9927,-85.8651,-13.0726,-2.1,0 0 0 0 0 0 0,-85.3286,-10.0361,,-16.2663,,-10.9597,,-13.6603,,-15.8805,,-30.0609,,-85.3286,,
74,26751010,16758470,"NCGC",,Unspecified,,,"",2009/07/08,2,44,3.16228,Partial curve; high efficacy,-5.5,3.132,0.979,-87.7867,-10.2306,-2.1,0 0 0 0 0 0 0,-86.4936,-7.1813,,-6.4375,,-18.4567,,-7.0142,,-11.7599,,-29.6746,,-86.4936,,
75,26751006,16758466,"NCGC",,Unspecified,,,"",2009/07/08,2,43,3.98107,Partial curve; partial efficacy,-5.4,2.6384,0.9797,-77.3809,-6.5498,-2.2,0 0 0 0 0 0 0,-72.8867,-12.533,,-3.1877,,-6.3382,,-2.0556,,-9.4928,,-20.8083,,-72.8867,,
76,26750997,16758459,"NCGC",,Unspecified,,,"",2009/07/08,2,45,3.98107,Partial curve; high efficacy,-5.4,0.9,0.9794,-113.178,-0.6702,-2.1,0 0 0 0 0 0 0,-86.6732,0.4825,,5.0291,,-3.3442,,-4.4043,,-21.3579,,-38.3921,,-86.6732,,
77,26750995,16758457,"NCGC",,Unspecified,,,"",2009/07/08,2,45,3.16228,Partial curve; high efficacy,-5.5,0.9,0.9978,-110.274,-10.9066,-2.1,0 0 0 0 0 0 0,-86.3137,-12.3979,,-9.3411,,-12.2644,,-13.9945,,-27.9793,,-53.3138,,-86.3137,,
78,26750992,16758454,"NCGC",,Unspecified,,,"",2009/07/08,2,43,3.16228,Partial curve; partial efficacy,-5.5,3.9295,0.9913,-77.3648,-4.4503,-2.2,0 0 0 0 0 0 0,-77.0469,-1.1324,,-4.7499,,-3.7728,,-3.8739,,-9.6304,,-20.5071,,-77.0469,,
79,26750991,16758453,"NCGC",,Unspecified,,,"",2009/07/08,2,44,3.16228,Partial curve; high efficacy,-5.5,3.1925,0.9925,-90.6872,-7.2775,-2.1,0 0 0 0 0 0 0,-89.7318,-4.9777,,-4.8221,,-6.9264,,-6.1661,,-12.9402,,-28.3682,,-89.7318,,
80,26750990,16758452,"NCGC",,Unspecified,,,"",2009/07/08,2,46,1.58489,Partial curve; high efficacy,-5.8,1,0.9842,-101.003,-3.344,-2.1,0 0 0 0 0 0 0,-90.1456,3.2946,,-4.9679,,-12.1872,,-7.2809,,-24.715,,-59.6883,,-90.1456,,
81,26750989,9556060,"NCGC",,Unspecified,,,"",2009/07/08,2,44,3.98107,Partial curve; high efficacy,-5.4,1.9887,0.9852,-109.039,-13.3066,-2.1,0 0 0 0 0 0 0,-98.8712,-6.745,,-18.6256,,-13.8455,,-11.7155,,-18.493,,-35.9278,,-98.8712,,
82,26750988,9556060,"NCGC",,Unspecified,,,"",2009/07/08,2,45,3.16228,Partial curve; high efficacy,-5.5,3.5117,0.9608,-102.929,-2.1176,-2.1,0 0 0 0 0 0 0,-101.656,2.4226,,4.2219,,-1.9804,,2.0166,,-18.3474,,-26.661,,-101.656,,
