#,SID,CID,BioAssay_Source,RankScore,Outcome,Xref,URL,Comment,DepositDate,"Activity Outcome","Activity Score","p450-cyp2d6-Potency_&#956;M","p450-cyp2d6-Curve_Description","p450-cyp2d6-Fit_LogAC50","p450-cyp2d6-Fit_HillSlope","p450-cyp2d6-Fit_R2","p450-cyp2d6-Fit_InfiniteActivity_%","p450-cyp2d6-Fit_ZeroActivity_%","p450-cyp2d6-Fit_CurveClass","p450-cyp2d6-Excluded_Points","p450-cyp2d6-Max_Response_%","p450-cyp2d6-Activity at 0.0007 uM_%","p450-cyp2d6-Activity at 0.00160 uM_%","p450-cyp2d6-Activity at 0.00368 uM_%","p450-cyp2d6-Activity at 0.00820 uM_%","p450-cyp2d6-Activity at 0.018 uM_%","p450-cyp2d6-Activity at 0.041 uM_%","p450-cyp2d6-Activity at 0.091 uM_%","p450-cyp2d6-Activity at 0.204 uM_%","p450-cyp2d6-Activity at 0.457 uM_%","p450-cyp2d6-Activity at 1.022 uM_%","p450-cyp2d6-Activity at 2.286 uM_%","p450-cyp2d6-Activity at 5.111 uM_%","p450-cyp2d6-Activity at 11.43 uM_%","p450-cyp2d6-Activity at 25.56 uM_%","p450-cyp2d6-Activity at 57.14 uM_%"
21,26751069,16758503,"NCGC",,Unspecified,,,"",2009/07/08,2,44,3.16228,Partial curve; partial efficacy,-5.5,1.4781,0.9979,-88.2348,4.8692,-2.2,0 0 0 0 0 0 0,-75.92,2.157,,4.119,,6.696,,4.73,,0.1935,,-31.17,,-75.92,,
22,26751054,16758496,"NCGC",,Unspecified,,,"",2009/07/08,2,43,3.98107,Partial curve; partial efficacy,-5.4,2.0437,0.9617,-84.1973,-4.5774,-2.2,0 0 0 0 0 0 0,-76.03,4.744,,-9.194,,-0.6858,,-11.45,,-6.568,,-23.76,,-76.03,,
23,26751045,9556110,"NCGC",,Unspecified,,,"",2009/07/08,2,42,3.98107,Partial curve; partial efficacy,-5.4,3.6772,0.966,-64.9111,-4.0969,-2.2,0 0 0 0 0 0 0,-63.34,-1.449,,-3.211,,-9.12,,-8.706,,2.629,,-12.95,,-63.34,,
24,26751039,16758489,"NCGC",,Unspecified,,,"",2009/07/08,2,44,3.98107,Partial curve; high efficacy,-5.4,1.1705,0.9948,-107.758,1.4561,-2.1,0 0 0 0 0 0 0,-86.03,-0.616,,2.345,,4.409,,0.4943,,-9.426,,-34.49,,-86.03,,
25,26751030,16758485,"NCGC",,Unspecified,,,"",2009/07/08,2,43,3.16228,Partial curve; partial efficacy,-5.5,3.99,0.9894,-60.9755,3.0755,-2.2,0 0 0 0 0 0 0,-60.75,0.9253,,0.7903,,3.808,,7.74,,1.059,,-10.97,,-60.75,,
26,26751013,16758473,"NCGC",,Unspecified,,,"",2009/07/08,2,43,3.98107,Partial curve; partial efficacy,-5.4,1.3723,0.992,-82.0508,-3.0742,-2.2,0 0 0 0 0 0 0,-67.67,-2.011,,-3.089,,-0.7338,,-5.906,,-10.25,,-26.22,,-67.67,,
27,26751008,16758468,"NCGC",,Unspecified,,,"",2009/07/08,2,44,3.98107,Partial curve; partial efficacy,-5.4,1.3437,0.9965,-97.9779,4.2662,-2.2,0 0 0 0 0 0 0,-78.12,6.557,,2.242,,3.915,,5.582,,-3.429,,-27.59,,-78.12,,
28,26750997,16758459,"NCGC",,Unspecified,,,"",2009/07/08,2,43,3.16228,Partial curve; partial efficacy,-5.5,1.7885,0.9793,-71.8187,2.3334,-2.2,0 0 0 0 0 0 0,-64.71,8.623,,2.006,,-3.402,,-0.1203,,2.02,,-25.03,,-64.71,,
29,26750992,16758454,"NCGC",,Unspecified,,,"",2009/07/08,2,44,3.16228,Partial curve; high efficacy,-5.5,1.8617,0.9949,-92.776,0.1449,-2.1,0 0 0 0 0 0 0,-85.23,-2.792,,-1.928,,3.321,,2.48,,-3.954,,-32.42,,-85.23,,
30,26750983,16758447,"NCGC",,Unspecified,,,"",2009/07/08,2,43,3.98107,Partial curve; partial efficacy,-5.4,2.3332,0.9618,-73.4933,-7.4572,-2.2,0 0 0 0 0 0 0,-68.23,-0.5765,,-11.93,,-4.272,,-13.38,,-10.61,,-21.9,,-68.23,,
31,26750977,16758441,"NCGC",,Unspecified,,,"",2009/07/08,2,45,2.51189,Partial curve; high efficacy,-5.6,1.7137,0.9907,-93.9996,4.7022,-2.1,0 0 0 0 0 0 0,-86.17,5.234,,2.395,,-0.3129,,9.786,,0.8238,,-38.09,,-86.17,,
32,26750968,16758433,"NCGC",,Unspecified,,,"",2009/07/08,2,43,3.16228,Partial curve; partial efficacy,-5.5,2.4729,0.9815,-65.6084,-1.6392,-2.2,0 0 0 0 0 0 0,-62.44,-4.232,,-4.985,,-0.1294,,-1.188,,3.952,,-22.93,,-62.44,,
33,26750961,6602515,"NCGC",,Unspecified,,,"",2009/07/08,2,44,3.98107,Partial curve; high efficacy,-5.4,1.2876,0.9931,-102.567,-1.3908,-2.1,0 0 0 0 0 0 0,-82.81,1.098,,-5.102,,0.2065,,-0.7391,,-9.989,,-32.29,,-82.81,,
34,26750947,16758419,"NCGC",,Unspecified,,,"",2009/07/08,2,44,3.16228,Partial curve; partial efficacy,-5.5,2.1876,0.9676,-80.804,4.7206,-2.2,0 0 0 0 0 0 0,-75.67,9.918,,-6.926,,5.372,,9.156,,5.049,,-23.73,,-75.67,,
35,26750934,9556008,"NCGC",,Unspecified,,,"",2009/07/08,2,43,3.16228,Partial curve; partial efficacy,-5.5,3.132,0.9897,-73.4849,-0.6463,-2.2,0 0 0 0 0 0 0,-72.34,-4.069,,4.123,,1.651,,-2.957,,-0.9597,,-20.43,,-72.34,,
36,26750933,9556152,"NCGC",,Unspecified,,,"",2009/07/08,2,43,3.98107,Partial curve; partial efficacy,-5.4,1.3987,0.988,-81.42,-1.1359,-2.2,0 0 0 0 0 0 0,-67.85,3.509,,-2.682,,-0.306,,-5.826,,-5.115,,-25.8,,-67.85,,
37,26750932,16758412,"NCGC",,Unspecified,,,"",2009/07/08,2,44,3.98107,Partial curve; high efficacy,-5.4,1.8579,0.9868,-91.0726,-3.2708,-2.1,0 0 0 0 0 0 0,-80.59,-5.159,,2.118,,-8.057,,-1.038,,-7.099,,-25.59,,-80.59,,
38,26750925,16758410,"NCGC",,Unspecified,,,"",2009/07/08,2,44,3.98107,Partial curve; partial efficacy,-5.4,1.21,0.9935,-93.9586,-2.5518,-2.2,0 0 0 0 0 0 0,-74.59,-2.469,,-0.0843,,-3.757,,-2.81,,-12.82,,-31.46,,-74.59,,
39,26750918,9556151,"NCGC",,Unspecified,,,"",2009/07/08,2,43,3.98107,Partial curve; partial efficacy,-5.4,1.111,0.997,-78.9001,3.296,-2.2,0 0 0 0 0 0 0,-60.41,2.941,,3.671,,2.69,,2.384,,-5.622,,-23.46,,-60.41,,
40,26750917,16758405,"NCGC",,Unspecified,,,"",2009/07/08,2,43,3.98107,Partial curve; partial efficacy,-5.4,1.3723,0.9822,-86.7009,-4.1686,-2.2,0 0 0 0 0 0 0,-71.38,-10.02,,-0.5631,,-4.379,,-0.4824,,-9.924,,-29.08,,-71.38,,
41,26750908,16758397,"NCGC",,Unspecified,,,"",2009/07/08,2,43,3.16228,Partial curve; partial efficacy,-5.5,2.8473,0.9877,-65.5429,4.3269,-2.2,0 0 0 0 0 0 0,-63.93,3.814,,5.349,,3.467,,9.533,,-0.4086,,-15.45,,-63.93,,
42,26750907,16758396,"NCGC",,Unspecified,,,"",2009/07/08,2,45,3.16228,Partial curve; partial efficacy,-5.5,0.9,0.9826,-101.286,-3.1262,-2.2,0 0 0 0 0 0 0,-79.3,-1.596,,1.962,,-10.73,,-7.66,,-18.59,,-42.13,,-79.3,,
43,26750902,16758391,"NCGC",,Unspecified,,,"",2009/07/08,2,44,3.98107,Partial curve; partial efficacy,-5.4,1,0.9888,-100.044,-1.3355,-2.2,0 0 0 0 0 0 0,-76.84,1.515,,0.1915,,-1.064,,-8.631,,-12.52,,-34.04,,-76.84,,
44,26750893,16758383,"NCGC",,Unspecified,,,"",2009/07/08,2,44,3.16228,Partial curve; partial efficacy,-5.5,1,0.9792,-99.706,0.518,-2.2,0 0 0 0 0 0 0,-78.52,3.217,,-3.868,,6.3,,-9.037,,-10.53,,-40.6,,-78.52,,
45,26750887,16758377,"NCGC",,Unspecified,,,"",2009/07/08,2,43,3.16228,Partial curve; partial efficacy,-5.5,2.3031,0.9659,-69.7643,0.4005,-2.2,0 0 0 0 0 0 0,-66.72,-2.996,,9.275,,1.833,,-1.42,,-6.27,,-20.2,,-66.72,,
46,26750878,16758369,"NCGC",,Unspecified,,,"",2009/07/08,2,43,3.16228,Partial curve; partial efficacy,-5.5,4.5045,0.9805,-61.4904,1.0744,-2.2,0 0 0 0 0 0 0,-61.18,-2.251,,-0.7114,,-0.0275,,8.076,,0.777,,-10.56,,-61.18,,
47,26750737,16758246,"NCGC",,Unspecified,,,"",2009/07/08,2,45,3.16228,Partial curve; high efficacy,-5.5,0.9,0.9803,-118.231,5.5677,-2.1,0 0 0 0 0 0 0,-90.09,11.14,,10.8,,-3.317,,-3.699,,-14.27,,-43.84,,-90.09,,
48,26750728,6518389,"NCGC",,Unspecified,,,"",2009/07/08,2,44,1.58489,Partial curve; partial efficacy,-5.8,0.9,0.9667,-75.7391,1.7271,-2.2,0 0 0 0 0 0 0,-66.26,1.274,,9.198,,-7.931,,-5.415,,-15.63,,-41.44,,-66.26,,
49,26750727,16758242,"NCGC",,Unspecified,,,"",2009/07/08,2,44,2.51189,Partial curve; partial efficacy,-5.6,1,0.9989,-87.4911,-2.8779,-2.2,0 0 0 0 0 0 0,-72.45,-1.939,,-2.842,,-5.208,,-6.566,,-15.88,,-42.93,,-72.45,,
50,17416395,5729338,"NCGC",,Unspecified,,,"",2009/07/08,2,40,25.1189,Partial curve; partial efficacy,-4.6,1.5579,0.9871,-91.4852,-1.7919,-2.2,1 0 0 0 0 0 0,-71.8277,,,-25.123,,1.0915,,0.7213,,-7.9107,,-3.3551,,-22.8179,,-71.8277
51,17416364,5512458,"NCGC",,Unspecified,,,"",2009/07/08,2,41,14.1254,Partial curve; high efficacy,-4.85,2.1211,0.996,-88.3339,7.5,-2.1,0 0 0 0 0 0 0,-83.4394,,,3.0741,,9.4945,,9.2732,,8.2705,,6.8733,,-30.439,,-83.4394
52,17416355,2888587,"NCGC",,Unspecified,,,"",2009/07/08,2,89,0.251189,Complete curve; high efficacy,-6.6,1.5095,0.9959,-88.5286,-1.6776,-1.1,0 0 0 0 0 0 0,-91.3864,,,-4.8306,,-0.0354,,-16.9896,,-63.8033,,-81.9348,,-88.0006,,-91.3864
53,17416351,2962400,"NCGC",,Unspecified,,,"",2009/07/08,2,47,0.891251,Partial curve; high efficacy,-6.05,0.6,0.9866,-100.644,40.8675,-2.1,0 0 0 0 0 0 0,-91.205,,,34.5412,,25.6326,,22.4283,,-24.7284,,-46.2689,,-73.7002,,-91.205
54,17416344,1367702,"NCGC",,Unspecified,,,"",2009/07/08,2,91,0.0707946,Complete curve; high efficacy,-7.15,0.9,0.999,-83.4633,10.0779,-1.1,0 0 0 0 0 0 0,-84.4229,,,4.0188,,-11.0847,,-41.4825,,-70.1039,,-77.5104,,-82.8252,,-84.4229
55,17416337,1368253,"NCGC",,Unspecified,,,"",2009/07/08,2,43,5.01187,Partial curve; partial efficacy,-5.3,1.3437,0.9965,-76.9822,3.5714,-2.2,0 0 0 0 0 0 0,-74.3899,,,2.4961,,2.5231,,3.2595,,4.1815,,-19.4589,,-55.952,,-74.3899
56,17416335,2884390,"NCGC",,Unspecified,,,"",2009/07/08,2,90,0.398107,Complete curve; high efficacy,-6.4,0.8,0.999,-111.331,14.4384,-1.1,0 0 0 0 0 0 0,-109.821,,,10.4982,,3.8429,,-12.4066,,-53.6837,,-84.843,,-103.7,,-109.821
57,17416324,2964786,"NCGC",,Unspecified,,,"",2009/07/08,2,89,0.630957,Complete curve; high efficacy,-6.2,1.4787,0.9967,-108.9,1.7029,-1.1,0 0 0 0 0 0 0,-111.09,,,2.4336,,-3.0226,,0.2984,,-41.5945,,-91.6955,,-107.073,,-111.09
58,17416274,2960075,"NCGC",,Unspecified,,,"",2009/07/08,2,42,8.91251,Partial curve; partial efficacy,-5.05,1.6266,0.9925,-83.4357,-2.4944,-2.2,0 0 0 0 0 0 0,-79.1154,,,-0.4964,,-7.057,,-2.4911,,0.8288,,-12.0408,,-51.5218,,-79.1154
59,17416264,2831492,"NCGC",,Unspecified,,,"",2009/07/08,2,88,0.354813,Complete curve; high efficacy,-6.45,0.7,0.9906,-85.6707,-5.8789,-1.1,0 0 0 0 0 0 0,-82.3992,,,-11.6096,,-10.3157,,-32.0006,,-46.9794,,-68.7168,,-81.5877,,-82.3992
60,17416263,1512090,"NCGC",,Unspecified,,,"",2009/07/08,2,64,2.23872,Complete curve; partial efficacy,-5.65,1,0.9995,-79.4434,-6.2405,-1.2,0 0 0 0 0 0 0,-76.2028,,,-5.5638,,-6.8693,,-10.1399,,-18.2499,,-43.5463,,-68.1399,,-76.2028
61,17416256,1339800,"NCGC",,Unspecified,,,"",2009/07/08,2,85,1.99526,Complete curve; high efficacy,-5.7,1.331,0.9939,-89.2798,0.9435,-1.1,0 0 0 0 0 0 0,-85.6263,,,0.7613,,-2.4673,,4.9386,,-12.4543,,-46.2397,,-82.0302,,-85.6263
62,17416249,11958911,"NCGC",,Unspecified,,,"",2009/07/08,2,41,11.2202,Partial curve; partial efficacy,-4.95,2.7202,0.9645,-68.3568,-0.5761,-2.2,0 0 0 0 0 0 0,-68.6941,,,-10.0213,,-0.7744,,-0.717,,7.0666,,0.5895,,-33.6972,,-68.6941
63,17416244,2892638,"NCGC",,Unspecified,,,"",2009/07/08,2,42,10,Partial curve; high efficacy,-5,1.8617,0.996,-100.636,5.2768,-2.1,0 0 0 0 0 0 0,-97.0553,,,0.4599,,5.2975,,6.9765,,8.481,,-1.9953,,-53.636,,-97.0553
64,17416227,2967412,"NCGC",,Unspecified,,,"",2009/07/08,2,95,0.125893,Complete curve; high efficacy,-6.9,0.8,0.9967,-125.426,12.853,-1.1,0 0 0 0 0 0 0,-125.943,,,2.5866,,-6.0159,,-51.3292,,-87.4595,,-112.856,,-120.914,,-125.943
65,17416159,1187421,"NCGC",,Unspecified,,,"",2009/07/08,2,41,14.1254,Partial curve; partial efficacy,-4.85,1.1,0.997,-98.8948,23.4512,-2.2,0 0 0 0 0 0 0,-78.0695,,,23.4496,,26.1578,,23.7227,,16.4629,,8.8324,,-31.2323,,-78.0695
66,17416133,2892550,"NCGC",,Unspecified,,,"",2009/07/08,2,63,1.99526,Complete curve; partial efficacy,-5.7,1.21,0.9899,-60.999,16.9881,-1.2,0 0 0 0 0 0 0,-60.4208,,,19.4606,,10.1356,,18.8486,,5.4887,,-25.0215,,-50.541,,-60.4208
67,17416098,2275408,"NCGC",,Unspecified,,,"",2009/07/08,2,67,0.0562341,Complete curve; partial efficacy,-7.25,1.6266,0.9832,-57.5852,11,-1.2,0 0 0 0 0 0 0,-62.2404,,,8.7916,,3.7934,,-39.6198,,-48.6129,,-56.0735,,-58.9444,,-62.2404
68,17416095,2891886,"NCGC",,Unspecified,,,"",2009/07/08,2,66,0.707946,Complete curve; partial efficacy,-6.15,1.3443,0.9971,-76.5849,26.3862,-1.2,0 0 0 0 0 0 0,-76.3856,,,31.3131,,22.0334,,19.6832,,-10.4711,,-60.0583,,-73.6429,,-76.3856
69,17416088,5728807,"NCGC",,Unspecified,,,"",2009/07/08,2,41,15.8489,Partial curve; high efficacy,-4.8,1.3443,0.9802,-92.4881,-5.0532,-2.1,0 0 0 0 0 0 0,-80.4042,,,-10.6753,,-5.7017,,-0.8567,,-0.4662,,-15.5023,,-38.8965,,-80.4042
70,17416085,2884523,"NCGC",,Unspecified,,,"",2009/07/08,2,83,6.30957,Complete curve; high efficacy,-5.2,4.095,0.9923,-94.4666,0.5099,-1.1,0 0 0 1 0 0 0,-96.9949,,,4.9924,,4.3361,,-1.3763,,35.9502,,-6.8239,,-84.1804,,-96.9949
71,17416054,2885121,"NCGC",,Unspecified,,,"",2009/07/08,2,85,3.16228,Complete curve; high efficacy,-5.5,1.4641,0.9716,-106.098,-11.5073,-1.1,0 0 0 0 0 0 0,-107.351,,,-20.5365,,-17.6552,,-1.6629,,-9.6799,,-49.856,,-90.6543,,-107.351
72,17416053,2267597,"NCGC",,Unspecified,,,"",2009/07/08,2,45,1.58489,Partial curve; partial efficacy,-5.8,0.6,0.9979,-84.3299,18.9698,-2.2,0 0 0 0 0 0 0,-74.0124,,,15.686,,12.6351,,5.3877,,-17.1972,,-37.8609,,-58.8535,,-74.0124
73,17416035,2884521,"NCGC",,Unspecified,,,"",2009/07/08,2,87,0.891251,Complete curve; high efficacy,-6.05,1.3723,0.9991,-100.792,6.5626,-1.1,0 0 0 0 0 0 0,-103.134,,,6.066,,6.2416,,1.053,,-23.2091,,-77.5783,,-95.6953,,-103.134
74,17416033,11958906,"NCGC",,Unspecified,,,"",2009/07/08,2,84,1.77828,Complete curve; high efficacy,-5.75,3.0654,0.9944,-78.3922,9.5,-1.1,1 0 0 0 0 0 0,-81.1186,,,-23.0581,,4.1626,,11.1319,,10.9188,,-49.9401,,-75.3812,,-81.1186
75,17416026,2217311,"NCGC",,Unspecified,,,"",2009/07/08,2,67,0.398107,Complete curve; partial efficacy,-6.4,2.4064,0.9893,-79.0957,-9.6239,-1.2,1 0 0 0 0 0 0,-79.4408,,,-41.3673,,-15.2697,,-6.5092,,-48.9123,,-77.2237,,-79.6374,,-79.4408
76,17416024,1254592,"NCGC",,Unspecified,,,"",2009/07/08,2,63,2.51189,Complete curve; partial efficacy,-5.6,1.1,0.9977,-68.694,4.8302,-1.2,0 0 0 0 0 0 0,-66.4117,,,6.9848,,2.5845,,1.8744,,-3.8704,,-31.3753,,-56.5414,,-66.4117
77,17415994,1289514,"NCGC",,Unspecified,,,"",2009/07/08,2,41,15.8489,Partial curve; partial efficacy,-4.8,1.6924,0.9955,-74.4518,22.425,-2.2,0 0 0 0 0 0 0,-65.9112,,,26.9219,,22.5618,,21.6952,,22.6514,,16.2537,,-13.9913,,-65.9112
78,17415989,2963070,"NCGC",,Unspecified,,,"",2009/07/08,2,40,17.7828,Partial curve; partial efficacy,-4.75,1.7885,0.9939,-68.3111,2.1025,-2.2,0 0 0 0 0 0 0,-60.3446,,,-0.9618,,3.6307,,1.6161,,1.8908,,3.2647,,-20.0363,,-60.3446
79,17415978,2267686,"NCGC",,Unspecified,,,"",2009/07/08,2,42,8.91251,Partial curve; high efficacy,-5.05,0.9,0.9923,-100.14,21.1081,-2.1,0 0 0 0 0 0 0,-80.9369,,,19.5174,,18.3891,,19.3346,,19.5778,,-11.4396,,-44.754,,-80.9369
80,17415950,2267687,"NCGC",,Unspecified,,,"",2009/07/08,2,41,14.1254,Partial curve; partial efficacy,-4.85,1.2475,0.9947,-76.5614,17.5346,-2.2,0 0 0 0 0 0 0,-63.8012,,,21.5444,,15.5533,,17.1867,,15.6726,,6.1186,,-21.8091,,-63.8012
81,17415949,2885841,"NCGC",,Unspecified,,,"",2009/07/08,2,42,8.91251,Partial curve; high efficacy,-5.05,1.331,0.9985,-98.7891,7.5,-2.1,0 0 0 0 0 0 0,-90.3,,,6.1971,,5.5056,,8.9906,,7.7323,,-7.9146,,-54.9087,,-90.3
82,17415945,2847497,"NCGC",,Unspecified,,,"",2009/07/08,2,87,0.891251,Complete curve; high efficacy,-6.05,0.8,0.9969,-102.423,3.0354,-1.1,0 0 0 0 0 0 0,-100.53,,,0.6497,,-2.1544,,-8.2722,,-39.3912,,-68.3161,,-88.1373,,-100.53
83,17415927,2963473,"NCGC",,Unspecified,,,"",2009/07/08,2,41,14.1254,Partial curve; high efficacy,-4.85,1.5579,0.9929,-94.3641,1.9383,-2.1,0 0 0 0 0 0 0,-84.9381,,,2.7249,,1.6115,,6.2953,,-3.6646,,-4.1079,,-37.6734,,-84.9381
84,17415907,1893916,"NCGC",,Unspecified,,,"",2009/07/08,2,86,2.23872,Complete curve; high efficacy,-5.65,1,0.9968,-112.826,10.3441,-1.1,0 0 0 0 0 0 0,-103.599,,,11.335,,6.3765,,6.5329,,-11.2095,,-50.1268,,-95.9662,,-103.599
85,17415906,2900292,"NCGC",,Unspecified,,,"",2009/07/08,2,89,0.501187,Complete curve; high efficacy,-6.3,1,0.9978,-101.474,-0.883,-1.1,0 0 0 0 0 0 0,-99.8586,,,-0.8156,,-4.4369,,-19.4914,,-45.6409,,-84.6684,,-98.7265,,-99.8586
