#,SID,CID,BioAssay_Source,RankScore,Outcome,Xref,URL,Comment,DepositDate,"Activity Outcome","Activity Score","p450-cyp1a2-Potency_&#956;M","p450-cyp1a2-Curve_Description","p450-cyp1a2-Fit_LogAC50","p450-cyp1a2-Fit_HillSlope","p450-cyp1a2-Fit_R2","p450-cyp1a2-Fit_InfiniteActivity_%","p450-cyp1a2-Fit_ZeroActivity_%","p450-cyp1a2-Fit_CurveClass","p450-cyp1a2-Excluded_Points","p450-cyp1a2-Max_Response","p450-cyp1a2-Activity at 0.0007 uM_%","p450-cyp1a2-Activity at 0.00160 uM_%","p450-cyp1a2-Activity at 0.00368 uM_%","p450-cyp1a2-Activity at 0.00820 uM_%","p450-cyp1a2-Activity at 0.018 uM_%","p450-cyp1a2-Activity at 0.041 uM_%","p450-cyp1a2-Activity at 0.091 uM_%","p450-cyp1a2-Activity at 0.204 uM_%","p450-cyp1a2-Activity at 0.457 uM_%","p450-cyp1a2-Activity at 1.022 uM_%","p450-cyp1a2-Activity at 2.286 uM_%","p450-cyp1a2-Activity at 5.111 uM_%","p450-cyp1a2-Activity at 11.43 uM_%","p450-cyp1a2-Activity at 25.56 uM_%","p450-cyp1a2-Activity at 57.14 uM_%"
57,17416024,1254592,"NCGC",,Unspecified,,,"",2009/07/08,2,63,3.16228,Complete curve; partial efficacy,-5.5,1.6924,0.9938,-69.8061,20.8027,-1.2,0 0 0 0 0 0 0,-69.9645,,,15.182,,21.0504,,23.0623,,20.8186,,-14.7174,,-58.4769,,-69.9645
58,17416021,1185497,"NCGC",,Unspecified,,,"",2009/07/08,2,43,7.07946,Partial curve; high efficacy,-5.15,1.331,0.9811,-94.1589,8.5387,-2.1,0 0 0 0 0 0 0,-86.4185,,,1.1734,,3.5934,,13.3614,,14.0371,,-10.0049,,-58.101,,-86.4185
59,17416017,1254579,"NCGC",,Unspecified,,,"",2009/07/08,2,89,0.501187,Complete curve; high efficacy,-6.3,1.7885,0.9973,-101.181,-2.6624,-1.1,0 0 0 0 0 0 0,-102.237,,,-2.2187,,-6.0243,,-3.7653,,-50.3273,,-92.309,,-101.142,,-102.237
60,17416013,1370241,"NCGC",,Unspecified,,,"",2009/07/08,2,43,5.01187,Partial curve; high efficacy,-5.3,1.4487,0.9706,-88.5321,9.4581,-2.1,0 0 0 0 0 0 0,-86.9131,,,-0.7574,,4.7894,,13.6128,,18.1772,,-17.3114,,-64.2564,,-86.9131
61,17416012,2885606,"NCGC",,Unspecified,,,"",2009/07/08,2,42,6.30957,Partial curve; partial efficacy,-5.2,1.1,0.9972,-71.1919,22.0373,-2.2,0 0 0 0 0 0 0,-63.3337,,,23.5816,,21.9122,,17.2917,,18.6367,,-0.8543,,-39.8481,,-63.3337
62,17416005,2294902,"NCGC",,Unspecified,,,"",2009/07/08,2,84,2.81838,Complete curve; high efficacy,-5.55,1.6259,0.9974,-87.2267,7.1962,-1.1,0 0 0 0 0 0 0,-86.692,,,9.3834,,8.981,,2.5234,,2.0673,,-31.1647,,-78.4361,,-86.692
63,17416002,2291980,"NCGC",,Unspecified,,,"",2009/07/08,2,65,1.58489,Complete curve; partial efficacy,-5.8,1.1,0.9996,-79.4494,11.9819,-1.2,0 0 0 0 0 0 0,-77.011,,,12.6265,,10.5857,,7.7225,,-6.199,,-44.1935,,-69.9176,,-77.011
64,17415990,2963046,"NCGC",,Unspecified,,,"",2009/07/08,2,42,11.2202,Partial curve; high efficacy,-4.95,1.7885,0.9939,-97.9087,-3.7827,-2.1,0 0 0 0 0 0 0,-92.125,,,-2.8644,,0.7023,,-5.7674,,-8.2164,,-8.0655,,-52.9693,,-92.125
65,17415989,2963070,"NCGC",,Unspecified,,,"",2009/07/08,2,41,15.8489,Partial curve; partial efficacy,-4.8,2.2526,0.9688,-67.4232,6.6853,-2.2,1 0 0 0 0 0 0,-62.3282,,,-16.9065,,-0.7696,,13.9664,,3.6206,,7.5246,,-16.7061,,-62.3282
66,17415978,2267686,"NCGC",,Unspecified,,,"",2009/07/08,2,86,1.12202,Complete curve; high efficacy,-5.95,1.4781,0.9968,-84.0757,5.7859,-1.1,0 0 0 0 0 0 0,-84.5866,,,5.0201,,9.6956,,-0.1256,,-11.7105,,-60.3532,,-81.4565,,-84.5866
67,17415973,1894994,"NCGC",,Unspecified,,,"",2009/07/08,2,42,8.91251,Partial curve; high efficacy,-5.05,1.5579,0.994,-92.3925,5.2439,-2.1,0 0 0 0 0 0 0,-86.5771,,,5.3412,,7.6971,,0.22,,8.5449,,-5.9597,,-53.823,,-86.5771
68,17415970,2215233,"NCGC",,Unspecified,,,"",2009/07/08,2,43,5.01187,Partial curve; partial efficacy,-5.3,1.2876,0.9972,-83.4424,24.3744,-2.2,0 0 0 0 0 0 0,-78.8082,,,27.1675,,21.1691,,22.1486,,22.8989,,-5.2703,,-55.3807,,-78.8082
69,17415961,2885461,"NCGC",,Unspecified,,,"",2009/07/08,2,42,7.07946,Partial curve; partial efficacy,-5.15,1.1,0.9965,-87.5271,3.7473,-2.2,0 0 0 0 0 0 0,-79.1848,,,5.8687,,3.5391,,-1.0812,,0.6958,,-16.9403,,-53.1297,,-79.1848
70,17415952,2273874,"NCGC",,Unspecified,,,"",2009/07/08,2,86,1.99526,Complete curve; high efficacy,-5.7,1.4641,0.9983,-110.874,0,-1.1,0 0 0 0 0 0 0,-109.402,,,0.7749,,-3.4974,,0.9127,,-11.8287,,-58.5976,,-104.558,,-109.402
71,17415950,2267687,"NCGC",,Unspecified,,,"",2009/07/08,2,41,12.5893,Partial curve; partial efficacy,-4.9,1.3723,0.9828,-90.9716,7,-2.2,0 0 0 0 0 0 0,-79.5597,,,-1.0806,,11.2072,,6.9018,,11.6001,,-3.642,,-39.0757,,-79.5597
72,17415949,2885841,"NCGC",,Unspecified,,,"",2009/07/08,2,84,3.98107,Complete curve; high efficacy,-5.4,1.4781,0.994,-108.679,5.197,-1.1,0 0 0 0 0 0 0,-106.445,,,9.0433,,9.0137,,1.3055,,-5.2382,,-27.0582,,-89.9437,,-106.445
73,17415936,1181202,"NCGC",,Unspecified,,,"",2009/07/08,2,64,1.99526,Complete curve; partial efficacy,-5.7,1.331,0.9954,-71.963,9.5,-1.2,0 0 0 0 0 0 0,-69.868,,,12.5615,,5.0072,,9.8793,,-0.5747,,-35.3898,,-63.4144,,-69.868
74,17415931,1339742,"NCGC",,Unspecified,,,"",2009/07/08,2,43,6.30957,Partial curve; high efficacy,-5.2,1.1,0.9963,-93.469,6.36,-2.1,0 0 0 0 0 0 0,-84.3243,,,8.475,,7.2526,,0.8999,,2.1622,,-17.7819,,-60.6605,,-84.3243
75,17415927,2963473,"NCGC",,Unspecified,,,"",2009/07/08,2,43,5.01187,Partial curve; partial efficacy,-5.3,1.1341,0.9958,-75.6689,30.1752,-2.2,0 0 0 0 0 0 0,-71.7284,,,26.7463,,31.8829,,32.3238,,24.1465,,-3.304,,-43.5749,,-71.7284
76,17415924,2291961,"NCGC",,Unspecified,,,"",2009/07/08,2,85,2.81838,Complete curve; high efficacy,-5.55,1.21,0.9928,-104.152,3.1994,-1.1,0 0 0 0 0 0 0,-99.2358,,,5.6662,,7.4104,,-4.7876,,-9.8234,,-41.6412,,-90.3243,,-99.2358
77,17415921,1339461,"NCGC",,Unspecified,,,"",2009/07/08,2,42,6.30957,Partial curve; partial efficacy,-5.2,1.21,0.9513,-74.4061,7.4938,-2.2,0 0 0 0 0 0 0,-68.6615,,,0.7798,,1.1504,,21.4617,,2.6336,,-11.9068,,-47.4633,,-68.6615
78,17415918,1242397,"NCGC",,Unspecified,,,"",2009/07/08,2,86,1.25893,Complete curve; high efficacy,-5.9,2.1876,0.9967,-90.783,3.0564,-1.1,0 0 0 0 0 0 0,-92.5949,,,-1.8036,,3.2127,,6.2775,,-5.451,,-69.5083,,-89.2475,,-92.5949
79,17415915,1242402,"NCGC",,Unspecified,,,"",2009/07/08,2,83,3.98107,Complete curve; high efficacy,-5.4,2.3531,0.9858,-82.5945,10.921,-1.1,0 0 0 0 0 0 0,-87.4638,,,5.1062,,16.5461,,8.4828,,13.7529,,-11.3201,,-68.9676,,-87.4638
80,17415914,5740390,"NCGC",,Unspecified,,,"",2009/07/08,2,84,3.54813,Complete curve; high efficacy,-5.45,2.3031,0.9959,-91.35,8.3998,-1.1,0 0 0 0 0 0 0,-92.3122,,,3.799,,6.0813,,12.6858,,9.0624,,-18.2663,,-83.491,,-92.3122
81,17415910,2899898,"NCGC",,Unspecified,,,"",2009/07/08,2,41,15.8489,Partial curve; high efficacy,-4.8,2.1876,0.9901,-103.046,0,-2.1,0 0 0 0 0 0 0,-98.9429,,,-0.3691,,-0.1187,,-6.1987,,5.6258,,1.5521,,-35.0766,,-98.9429
82,17415908,2289004,"NCGC",,Unspecified,,,"",2009/07/08,2,86,2.23872,Complete curve; high efficacy,-5.65,1.1,0.9991,-116.977,2.9147,-1.1,0 0 0 0 0 0 0,-112.54,,,2.9773,,4.0473,,-2.6739,,-14.171,,-57.035,,-101.922,,-112.54
83,17415907,1893916,"NCGC",,Unspecified,,,"",2009/07/08,2,86,0.891251,Complete curve; high efficacy,-6.05,1.6259,0.9992,-83.6862,14.4602,-1.1,0 0 0 0 0 0 0,-83.0387,,,14.0053,,16.1657,,10.3784,,-10.8193,,-67.6527,,-81.0916,,-83.0387
84,17415904,880715,"NCGC",,Unspecified,,,"",2009/07/08,2,87,0.891251,Complete curve; high efficacy,-6.05,1.7885,0.9988,-98.2402,10.0438,-1.1,0 0 0 0 0 0 0,-99.0714,,,8.6717,,12.5259,,5.5645,,-13.4051,,-81.3806,,-96.2578,,-99.0714
