CHEMBL_ID	TID	PREF_NAME	PROTEIN_ACCESSION	TARGET_TYPE	ORGANISM	COMPOUNDS	ENDPOINTS
CHEMBL2363043	105738	Ephrin receptor	P21709, P54764, Q9UF33, P29322, P54762, P54753, O15197, P54760, P29323, Q5JZY3, Q15375, P54756, P29320, P29317	PROTEIN FAMILY	Homo sapiens	0	0
CHEMBL2508	10480	Cyclin-dependent kinase 6	Q00534	SINGLE PROTEIN	Homo sapiens	409	795
CHEMBL2534	10612	3-phosphoinositide dependent protein kinase-1	O15530	SINGLE PROTEIN	Homo sapiens	1917	2382
CHEMBL2567	12504	Protein kinase C alpha 	P20444	SINGLE PROTEIN	Mus musculus	235	283
CHEMBL203	9	Epidermal growth factor receptor erbB1	P00533	SINGLE PROTEIN	Homo sapiens	8503	17084
CHEMBL2134	10006	Cyclin-dependent kinase 4	P30285	SINGLE PROTEIN	Mus musculus	1	1
CHEMBL2185	10781	Serine/threonine-protein kinase Aurora-B	Q96GD4	SINGLE PROTEIN	Homo sapiens	3232	4310
CHEMBL1955	11752	Vascular endothelial growth factor receptor 3	P35916	SINGLE PROTEIN	Homo sapiens	1810	2515
CHEMBL1991	10752	Inhibitor of nuclear factor kappa B kinase beta subunit	O14920	SINGLE PROTEIN	Homo sapiens	2338	4096
CHEMBL2007	12627	Platelet-derived growth factor receptor alpha 	P16234	SINGLE PROTEIN	Homo sapiens	1470	4350
CHEMBL2068	30008	Ephrin type-A receptor 2	P29317	SINGLE PROTEIN	Homo sapiens	1565	2221
CHEMBL2292	12090	Dual-specificity tyrosine-phosphorylation regulated kinase 1A	Q13627	SINGLE PROTEIN	Homo sapiens	2379	3004
CHEMBL2345	12724	Ribosomal protein S6 kinase alpha 3	P51812	SINGLE PROTEIN	Homo sapiens	2165	2967
CHEMBL2939	11081	MAP kinase p38 delta	O15264	SINGLE PROTEIN	Homo sapiens	1656	2257
CHEMBL2968	10920	Tyrosine-protein kinase JAK1 	P52332	SINGLE PROTEIN	Mus musculus	3	5
CHEMBL3886	20007	Mixed lineage kinase 7	Q9NYL2	SINGLE PROTEIN	Homo sapiens	753	797
CHEMBL2695	11242	Focal adhesion kinase 1	Q05397	SINGLE PROTEIN	Homo sapiens	1752	2237
CHEMBL2803	12214	Tyrosine-protein kinase ZAP-70 	P43403	SINGLE PROTEIN	Homo sapiens	1166	1790
CHEMBL3980	30005	Serine/threonine-protein kinase 17B	O94768	SINGLE PROTEIN	Homo sapiens	136	196
CHEMBL3988	30021	Ephrin type-A receptor 4	P54764	SINGLE PROTEIN	Homo sapiens	705	1315
CHEMBL4004	11361	Phosphorylase kinase gamma subunit 1	Q16816	SINGLE PROTEIN	Homo sapiens	506	941
CHEMBL4084	20072	Cyclin-dependent kinase 1	P11440	SINGLE PROTEIN	Mus musculus	7	7
CHEMBL4101	11969	cAMP-dependent protein kinase alpha-catalytic subunit	P17612	SINGLE PROTEIN	Homo sapiens	1923	2564
CHEMBL3424	10879	Protein kinase C epsilon	P09216	SINGLE PROTEIN	Rattus norvegicus	2	2
CHEMBL3438	10216	Protein kinase C zeta	Q05513	SINGLE PROTEIN	Homo sapiens	1390	1755
CHEMBL3587	11409	Dual specificity mitogen-activated protein kinase kinase 1	Q02750	SINGLE PROTEIN	Homo sapiens	2005	2868
CHEMBL4630	12967	Serine/threonine-protein kinase Chk1 	O14757	SINGLE PROTEIN	Homo sapiens	4005	5242
CHEMBL4722	20014	Serine/threonine-protein kinase Aurora-A	O14965	SINGLE PROTEIN	Homo sapiens	4220	5281
CHEMBL4267	100075	TGF-beta receptor type II	P37173	SINGLE PROTEIN	Homo sapiens	196	296
CHEMBL4526	30046	Ephrin type-A receptor 6	Q9UF33	SINGLE PROTEIN	Homo sapiens	128	189
CHEMBL4599	30023	Tyrosine kinase non-receptor protein 2	Q07912	SINGLE PROTEIN	Homo sapiens	1118	1770
CHEMBL4362	100419	Tyrosine-protein kinase FGR	Q6P6U0	SINGLE PROTEIN	Rattus norvegicus	1	1
CHEMBL4365	100422	Tyrosine-protein kinase CSK	P32577	SINGLE PROTEIN	Rattus norvegicus	1	1
CHEMBL4487	100071	Serine/threonine-protein kinase PAK 2	Q13177	SINGLE PROTEIN	Homo sapiens	793	1390
CHEMBL5047	101048	Serine/threonine-protein kinase ULK3	Q6PHR2	SINGLE PROTEIN	Homo sapiens	273	440
CHEMBL5198	100833	Mitogen-activated protein kinase 15	Q8TD08	SINGLE PROTEIN	Homo sapiens	191	261
CHEMBL5199	100846	Tyrosine-protein kinase TIE-2	Q02858	SINGLE PROTEIN	Mus musculus	3	5
CHEMBL5222	101120	Tyrosine-protein kinase ABL2	Q4JIM5	SINGLE PROTEIN	Mus musculus	9	9
CHEMBL4816	10696	Serine/threonine-protein kinase AKT3	Q9Y243	SINGLE PROTEIN	Homo sapiens	1764	2422
CHEMBL4849	100836	Serine/threonine-protein kinase NEK7	Q8TDX7	SINGLE PROTEIN	Homo sapiens	744	1346
CHEMBL4937	10967	Casein kinase I epsilon	P49674	SINGLE PROTEIN	Homo sapiens	211	288
CHEMBL4992	11716	Protein kinase C eta	P23298	SINGLE PROTEIN	Mus musculus	5	5
CHEMBL5258	30031	CaM kinase I gamma	Q96NX5	SINGLE PROTEIN	Homo sapiens	118	171
CHEMBL5116	101073	Putative uncharacterized serine/threonine-protein kinase SgK110	P0C264	SINGLE PROTEIN	Homo sapiens	87	94
CHEMBL5122	101079	Discoidin domain-containing receptor 2	Q16832	SINGLE PROTEIN	Homo sapiens	718	1360
CHEMBL5547	101226	Ankyrin repeat and protein kinase domain-containing protein 1	Q8NFD2	SINGLE PROTEIN	Homo sapiens	96	134
CHEMBL5332	100949	Mitogen-activated protein kinase 7	Q13164	SINGLE PROTEIN	Homo sapiens	129	191
CHEMBL1075155	103095	Serine/threonine-protein kinase 38	Q15208	SINGLE PROTEIN	Homo sapiens	86	92
CHEMBL5627	101484	Leukocyte tyrosine kinase receptor	P29376	SINGLE PROTEIN	Homo sapiens	858	1293
CHEMBL5642	102475	Activin receptor type-1C	Q8NER5	SINGLE PROTEIN	Homo sapiens	14	29
CHEMBL1075098	103148	Insulin-like growth factor 1 receptor	P24062	SINGLE PROTEIN	Rattus norvegicus	1	1
CHEMBL5678	102420	G protein-coupled receptor kinase 5	P34947	SINGLE PROTEIN	Homo sapiens	595	772
CHEMBL5684	101282	Muscle, skeletal receptor tyrosine protein kinase	O15146	SINGLE PROTEIN	Homo sapiens	678	1262
CHEMBL5789	101552	Cyclin-dependent kinase-like 1	Q00532	SINGLE PROTEIN	Homo sapiens	78	78
CHEMBL5819	101349	Serine/threonine-protein kinase Nek4	P51957	SINGLE PROTEIN	Homo sapiens	693	704
CHEMBL1075173	103114	Serine/threonine-protein kinase WNK1	Q9H4A3	SINGLE PROTEIN	Homo sapiens	23	25
CHEMBL1075215	102911	RAC-alpha serine/threonine-protein kinase	P47196	SINGLE PROTEIN	Rattus norvegicus	6	8
CHEMBL5961	101390	Ephrin type-B receptor 2	P54763	SINGLE PROTEIN	Mus musculus	6	6
CHEMBL6000	101405	Serine/threonine-protein kinase RIO2	Q9BVS4	SINGLE PROTEIN	Homo sapiens	91	97
CHEMBL6030	102669	Eukaryotic translation initiation factor 2-alpha kinase 3	Q9NZJ5	SINGLE PROTEIN	Homo sapiens	235	386
CHEMBL1163124	103453	Mitogen-activated protein kinase kinase kinase 13	O43283	SINGLE PROTEIN	Homo sapiens	84	90
CHEMBL5914	102711	Mitogen-activated protein kinase kinase kinase 2	Q9Y2U5	SINGLE PROTEIN	Homo sapiens	113	120
CHEMBL3608	11784	Epidermal growth factor receptor erbB1	Q01279	SINGLE PROTEIN	Mus musculus	87	97
CHEMBL4708	10277	Serine/threonine-protein kinase MST2	Q13188	SINGLE PROTEIN	Homo sapiens	1704	2336
CHEMBL6149	102770	Serine/threonine-protein kinase SIK3	Q9Y2K2	SINGLE PROTEIN	Homo sapiens	85	93
CHEMBL3116	11626	Cyclin-dependent kinase 9	P50750	SINGLE PROTEIN	Homo sapiens	605	689
CHEMBL1163126	103455	Serine/threonine-protein kinase ICK	Q9UPZ9	SINGLE PROTEIN	Homo sapiens	84	90
CHEMBL2111353	105106	Serine/threonine-protein kinase AKT	P31751, Q9Y243, P31749	PROTEIN FAMILY	Homo sapiens	38	59
CHEMBL2111414	104922	Tyrosine-protein kinase ABL	P00519, P42684	PROTEIN FAMILY	Homo sapiens	155	156
CHEMBL2111440	104956	VEGF-receptor 2 and PDGF-receptor beta (KDR and PDGFR beta)	P09619, P35968	SELECTIVITY GROUP	Homo sapiens	25	25
CHEMBL2096980	104860	Platelet-derived growth factor receptor	P26618, P05622	PROTEIN COMPLEX	Mus musculus	206	238
CHEMBL2097168	104879	Protein kinase C, PKC; classical	P05696, P68403, P63319	PROTEIN FAMILY	Rattus norvegicus	88	135
CHEMBL2094128	104710	Cyclin-dependent kinase 2/cyclin A	P20248, P78396, P24941	PROTEIN COMPLEX	Homo sapiens	1831	2125
CHEMBL3137284	108140	MER intracellular domain/EGFR extracellular domain chimera	Q12866, P00533	CHIMERIC PROTEIN	Homo sapiens	2	2
CHEMBL1907600	104294	Cyclin-dependent kinase 5/CDK5 activator 1	Q00535, Q15078	PROTEIN COMPLEX	Homo sapiens	1923	2566
CHEMBL4282	12666	Serine/threonine-protein kinase AKT	P31749	SINGLE PROTEIN	Homo sapiens	4031	5685
CHEMBL3038452	107878	AMPK alpha1/beta1/gamma3	Q13131, Q9Y478, Q9UGI9	PROTEIN COMPLEX	Homo sapiens	1	1
CHEMBL3038456	107882	AMPK alpha2/beta2/gamma1	P54646, O43741, P54619	PROTEIN COMPLEX	Homo sapiens	4	4
CHEMBL3038457	107883	AMPK alpha2/beta2/gamma3	P54646, Q9UGI9, O43741	PROTEIN COMPLEX	Homo sapiens	2	2
CHEMBL3038477	107903	Casein kinase II alpha/beta	P68400, P67870	PROTEIN COMPLEX	Homo sapiens	4	4
CHEMBL3038500	107926	MAST1/MAST2	Q9Y2H9, Q6P0Q8	PROTEIN FAMILY	Homo sapiens	6	6
CHEMBL3038503	107929	p38 delta/gamma	O15264, P53778	PROTEIN FAMILY	Homo sapiens	12	12
CHEMBL2363062	105757	Janus Kinase (JAK)	P23458, O60674, P29597, P52333	PROTEIN FAMILY	Homo sapiens	0	0
CHEMBL1936	238	Stem cell growth factor receptor	P10721	SINGLE PROTEIN	Homo sapiens	2336	6205
CHEMBL2207	11080	MAP kinase ERK2	P63085	SINGLE PROTEIN	Mus musculus	24	24
CHEMBL2343	12718	Serine/threonine-protein kinase Sgk1	O00141	SINGLE PROTEIN	Homo sapiens	1031	1654
CHEMBL301	11678	Cyclin-dependent kinase 2	P24941	SINGLE PROTEIN	Homo sapiens	3803	5515
CHEMBL2431	10695	Serine/threonine-protein kinase AKT2	P31751	SINGLE PROTEIN	Homo sapiens	2243	3072
CHEMBL2938	10880	Protein kinase C gamma	P05129	SINGLE PROTEIN	Homo sapiens	1683	2344
CHEMBL2999	11908	Serine/threonine-protein kinase PAK 3	O75914	SINGLE PROTEIN	Homo sapiens	688	1291
CHEMBL3788	30003	Serine/threonine-protein kinase PLK4	O00444	SINGLE PROTEIN	Homo sapiens	1014	1097
CHEMBL3835	30017	Serine/threonine-protein kinase NEK2	P51955	SINGLE PROTEIN	Homo sapiens	1856	2555
CHEMBL3861	10899	Pyruvate dehydrogenase kinase isoform 2	Q15119	SINGLE PROTEIN	Homo sapiens	2	2
CHEMBL3187	10803	Insulin receptor	P15208	SINGLE PROTEIN	Mus musculus	64	69
CHEMBL2708	11870	Mitogen-activated protein kinase kinase kinase 11	Q16584	SINGLE PROTEIN	Homo sapiens	226	294
CHEMBL3717	11451	Hepatocyte growth factor receptor	P08581	SINGLE PROTEIN	Homo sapiens	4297	6290
CHEMBL3981	30006	Serine/threonine-protein kinase 10	O94804	SINGLE PROTEIN	Homo sapiens	690	1285
CHEMBL3983	30011	Dual specificity protein kinase TTK	P33981	SINGLE PROTEIN	Homo sapiens	685	1169
CHEMBL3987	30019	Ephrin type-A receptor 5	P54756	SINGLE PROTEIN	Homo sapiens	325	558
CHEMBL3920	12665	Protein kinase C theta	Q04759	SINGLE PROTEIN	Homo sapiens	1559	2227
CHEMBL3516	12413	Vascular endothelial growth factor receptor 1	P35969	SINGLE PROTEIN	Mus musculus	60	60
CHEMBL4637	100074	AMP-activated protein kinase, alpha-2 subunit	Q09137	SINGLE PROTEIN	Rattus norvegicus	41	93
CHEMBL4670	100834	MAP kinase-activated protein kinase 3	Q16644	SINGLE PROTEIN	Homo sapiens	1423	1988
CHEMBL4674	12983	MAP kinase p38 gamma	P53778	SINGLE PROTEIN	Homo sapiens	1726	2401
CHEMBL4718	100835	MAP kinase-interacting serine/threonine-protein kinase MNK1	Q9BUB5	SINGLE PROTEIN	Homo sapiens	614	1060
CHEMBL4175	11868	Tyrosine-protein kinase CTK	P42679	SINGLE PROTEIN	Homo sapiens	572	592
CHEMBL4575	100851	Dual-specificity tyrosine-phosphorylation regulated kinase 3	O43781	SINGLE PROTEIN	Homo sapiens	645	678
CHEMBL4578	100854	Maternal embryonic leucine zipper kinase	Q14680	SINGLE PROTEIN	Homo sapiens	1310	1927
CHEMBL5095	101069	Wee1-like protein kinase 2	P0C1S8	SINGLE PROTEIN	Homo sapiens	85	91
CHEMBL4519	100849	Serine/threonine-protein kinase PLK1	P70032	SINGLE PROTEIN	Xenopus laevis	1	2
CHEMBL5081	101055	Interleukin-1 receptor-associated kinase 3	Q9Y616	SINGLE PROTEIN	Homo sapiens	109	147
CHEMBL4853	30050	Mitogen-activated protein kinase kinase kinase 4	Q9Y6R4	SINGLE PROTEIN	Homo sapiens	125	183
CHEMBL4895	100410	Tyrosine-protein kinase receptor UFO	P30530	SINGLE PROTEIN	Homo sapiens	1468	2159
CHEMBL4899	100414	Mitogen-activated protein kinase kinase kinase 8	P41279	SINGLE PROTEIN	Homo sapiens	314	350
CHEMBL4974	11645	HPr kinase	O34483	SINGLE PROTEIN	Bacillus subtilis (strain 168)	52	97
CHEMBL5026	20015	Serine/threonine-protein kinase EEF2K	O00418	SINGLE PROTEIN	Homo sapiens	759	956
CHEMBL5036	20158	cGMP-dependent protein kinase	Q8MMZ8	SINGLE PROTEIN	Eimeria tenella	259	275
CHEMBL5166	100107	Tyrosine-protein kinase V-ABL	P00521	SINGLE PROTEIN	Abelson murine leukemia virus	68	68
CHEMBL5257	30030	Serine/threonine-protein kinase NEK9	Q8TD19	SINGLE PROTEIN	Homo sapiens	523	957
CHEMBL5233	100895	Mitogen-activated protein kinase 1	P63086	SINGLE PROTEIN	Rattus norvegicus	34	39
CHEMBL5405	101180	Serine/threonine-protein kinase 32C	Q86UX6	SINGLE PROTEIN	Homo sapiens	121	160
CHEMBL5546	101225	Myosin IIIA	Q8NEV4	SINGLE PROTEIN	Homo sapiens	94	132
CHEMBL5316	100914	Serine/threonine-protein kinase PCTAIRE-3	Q07002	SINGLE PROTEIN	Homo sapiens	99	137
CHEMBL5331	100948	Proto-oncogene tyrosine-protein kinase MER	Q12866	SINGLE PROTEIN	Homo sapiens	874	1905
CHEMBL5773	101321	Focal adhesion kinase 1	O35346	SINGLE PROTEIN	Rattus norvegicus	2	18
CHEMBL5604	101030	Dual specificity testis-specific protein kinase 1	Q15569	SINGLE PROTEIN	Homo sapiens	141	184
CHEMBL5606	101032	Serine/threonine-protein kinase 11	Q15831	SINGLE PROTEIN	Homo sapiens	336	546
CHEMBL5638	102473	Serine/threonine-protein kinase Nek11	Q8NG66	SINGLE PROTEIN	Homo sapiens	244	410
CHEMBL5651	101270	Serine/threonine-protein kinase 35	Q8TDR2	SINGLE PROTEIN	Homo sapiens	85	92
CHEMBL5679	102421	Serine/threonine-protein kinase Nek3	P51956	SINGLE PROTEIN	Homo sapiens	244	410
CHEMBL5703	101508	Tyrosine-protein kinase Srms	Q9H3Y6	SINGLE PROTEIN	Homo sapiens	944	1366
CHEMBL5719	101300	Cell division protein kinase 8	P49336	SINGLE PROTEIN	Homo sapiens	538	591
CHEMBL5790	101553	Serine/threonine-protein kinase PCTAIRE-2	Q00537	SINGLE PROTEIN	Homo sapiens	100	138
CHEMBL5794	101557	Serine/threonine-protein kinase Sgk2	Q9HBY8	SINGLE PROTEIN	Homo sapiens	1308	1856
CHEMBL5570	101021	Macrophage colony-stimulating factor 1 receptor	P09581	SINGLE PROTEIN	Mus musculus	139	139
CHEMBL5932	101386	LIM domain kinase 2	P53671	SINGLE PROTEIN	Homo sapiens	186	229
CHEMBL5938	101610	Serine/threonine-protein kinase PLK2	Q9NYY3	SINGLE PROTEIN	Homo sapiens	443	649
CHEMBL5941	101613	Serine/threonine-protein kinase MST4	Q9P289	SINGLE PROTEIN	Homo sapiens	583	1010
CHEMBL6006	101411	Serine/threonine-protein kinase ULK1	O75385	SINGLE PROTEIN	Homo sapiens	89	95
CHEMBL5753	101316	Uncharacterized aarF domain-containing protein kinase 4	Q96D53	SINGLE PROTEIN	Homo sapiens	117	175
CHEMBL5901	101596	Cell division protein kinase 5	Q03114	SINGLE PROTEIN	Rattus norvegicus	15	15
CHEMBL5907	101602	Serine/threonine-protein kinase LATS2	Q9NRM7	SINGLE PROTEIN	Homo sapiens	96	134
CHEMBL4366	100423	Protein kinase C epsilon	P16054	SINGLE PROTEIN	Mus musculus	28	51
CHEMBL6082	101433	Serine/threonine-protein kinase SIK1	P57059	SINGLE PROTEIN	Homo sapiens	641	1217
CHEMBL6123	101448	Serine/threonine-protein kinase DCLK3	Q9C098	SINGLE PROTEIN	Homo sapiens	97	138
CHEMBL6150	102774	Serine/threonine-protein kinase 32A	Q8WU08	SINGLE PROTEIN	Homo sapiens	77	77
CHEMBL5326	20028	Casein kinase II alpha (prime)	O54833	SINGLE PROTEIN	Mus musculus	1	3
CHEMBL1163104	103433	Serine/threonine-protein kinase OSR1	O95747	SINGLE PROTEIN	Homo sapiens	98	108
CHEMBL1163127	103456	Mitogen-activated protein kinase kinase kinase 15	Q6ZN16	SINGLE PROTEIN	Homo sapiens	85	91
CHEMBL1169596	103465	Serine/threonine-protein kinase A-Raf	P10398	SINGLE PROTEIN	Homo sapiens	13	13
CHEMBL2111351	105104	Serine/threonine-protein kinase RAF and Dual specificity mitogen-activated protein kinase kinase 1 (Raf/MEK)	P04049, Q02750	PROTEIN FAMILY	Homo sapiens	57	58
CHEMBL2111409	104915	Vascular endothelial growth factor receptor 2 and 3 (KDR and Flt-4)	P35968, P35916	SELECTIVITY GROUP	Homo sapiens	23	23
CHEMBL2096907	104844	AMP-activated protein kinase, AMPK	Q9UGI9, Q9UGJ0, P54619, Q9Y478, P54646, O43741, Q13131	PROTEIN COMPLEX GROUP	Homo sapiens	268	427
CHEMBL2094127	104709	Cyclin-dependent kinase 1/cyclin B	O95067, Q8WWL7, P14635, P06493	PROTEIN COMPLEX	Homo sapiens	856	1161
CHEMBL2094138	104720	cAMP-dependent protein kinase (PKA)	P22694, P22612, P17612	PROTEIN FAMILY	Homo sapiens	748	823
CHEMBL2363074	105769	SRC	P06239, P06241, P07948, P09769, P42685, Q9H3Y6, P51451, P12931, P08631, P07947	PROTEIN FAMILY	Homo sapiens	0	0
CHEMBL2417353	107646	Serine/threonine-protein kinase Nek8	Q86SG6	SINGLE PROTEIN	Homo sapiens	12	12
CHEMBL2111480	105010	Vascular endothelial growth factor receptor 1 and 2 (Flt-1 and KDR)	P17948, P35968	SELECTIVITY GROUP	Homo sapiens	27	27
CHEMBL2111454	104976	Mitogen-activated protein kinase 1 and 3 (ERK2 and ERK1)	P63085, Q63844	PROTEIN FAMILY	Mus musculus	14	20
CHEMBL2111455	104977	CDK6/cyclin D1	Q00534, P24385	PROTEIN COMPLEX	Homo sapiens	49	82
CHEMBL2111459	104981	Rho-associated protein kinase	Q13464, O75116	PROTEIN COMPLEX	Homo sapiens	84	88
CHEMBL3301386	108400	CDK6/cyclin D2	Q00534, P30279	PROTEIN COMPLEX	Homo sapiens	1	1
CHEMBL3301389	108403	Focal adhesion kinase 1/vascular endothelial growth factor receptor 3	Q05397, P35916	PROTEIN-PROTEIN INTERACTION	Homo sapiens	2	9
CHEMBL3038455	107881	AMPK alpha2/beta1/gamma1	P54646, P54619, Q9Y478	PROTEIN COMPLEX	Homo sapiens	17	32
CHEMBL3038517	107945	CDK2/CDK4	P24941, P11802	PROTEIN FAMILY	Homo sapiens	6	6
CHEMBL2480	10297	Tyrosine-protein kinase LCK	P06240	SINGLE PROTEIN	Mus musculus	161	193
CHEMBL1862	8	Tyrosine-protein kinase ABL	P00519	SINGLE PROTEIN	Homo sapiens	3109	10068
CHEMBL1868	10979	Vascular endothelial growth factor receptor 1	P17948	SINGLE PROTEIN	Homo sapiens	3559	5369
CHEMBL2148	10849	Tyrosine-protein kinase JAK3	P52333	SINGLE PROTEIN	Homo sapiens	2523	3237
CHEMBL2041	100079	Tyrosine-protein kinase receptor RET	P07949	SINGLE PROTEIN	Homo sapiens	1823	4218
CHEMBL2073	18033	Tyrosine-protein kinase YES	P07947	SINGLE PROTEIN	Homo sapiens	852	1499
CHEMBL2109	10478	Dual specificity mitogen-activated protein kinase kinase 3	P46734	SINGLE PROTEIN	Homo sapiens	131	169
CHEMBL2250	11691	Tyrosine-protein kinase BLK	P51451	SINGLE PROTEIN	Homo sapiens	1384	1991
CHEMBL2258	12470	Tyrosine-protein kinase Lyn 	P25911	SINGLE PROTEIN	Mus musculus	15	15
CHEMBL2276	12261	c-Jun N-terminal kinase 1	P45983	SINGLE PROTEIN	Homo sapiens	2699	3220
CHEMBL2349	12735	Phosphorylase kinase gamma subunit 2	P15735	SINGLE PROTEIN	Homo sapiens	1273	1888
CHEMBL2918	10207	cAMP-dependent protein kinase beta-1 catalytic subunit	P22694	SINGLE PROTEIN	Homo sapiens	117	157
CHEMBL2971	10938	Tyrosine-protein kinase JAK2	O60674	SINGLE PROTEIN	Homo sapiens	3076	4561
CHEMBL2973	11149	Rho-associated protein kinase 2	O75116	SINGLE PROTEIN	Homo sapiens	2662	3490
CHEMBL3009	12699	Receptor protein-tyrosine kinase erbB-4	Q15303	SINGLE PROTEIN	Homo sapiens	1496	2078
CHEMBL3024	10907	Serine/threonine-protein kinase PLK1	P53350	SINGLE PROTEIN	Homo sapiens	2579	3335
CHEMBL3848	12475	Receptor protein-tyrosine kinase erbB-2	P06494	SINGLE PROTEIN	Rattus norvegicus	13	14
CHEMBL3905	11842	Tyrosine-protein kinase Lyn 	P07948	SINGLE PROTEIN	Homo sapiens	1908	3338
CHEMBL3231	10811	Rho-associated protein kinase 1 	Q13464	SINGLE PROTEIN	Homo sapiens	2347	3039
CHEMBL2777	12037	myosin light chain kinase 2	Q9H1R3	SINGLE PROTEIN	Homo sapiens	140	208
CHEMBL2835	10919	Tyrosine-protein kinase JAK1 	P23458	SINGLE PROTEIN	Homo sapiens	1101	1980
CHEMBL3629	10044	Casein kinase II alpha	P68400	SINGLE PROTEIN	Homo sapiens	1556	2054
CHEMBL3633	10877	Protein kinase C delta	P09215	SINGLE PROTEIN	Rattus norvegicus	1	1
CHEMBL3961	10120	MAP kinase p38 beta	Q15759	SINGLE PROTEIN	Homo sapiens	1109	1802
CHEMBL4036	12947	Cyclin-dependent kinase 5	Q00535	SINGLE PROTEIN	Homo sapiens	2016	2493
CHEMBL3385	11639	MAP kinase ERK1	P27361	SINGLE PROTEIN	Homo sapiens	2073	3645
CHEMBL4141	12685	Pyruvate dehydrogenase kinase isoform 4	Q16654	SINGLE PROTEIN	Homo sapiens	4	4
CHEMBL4142	10264	Fibroblast growth factor receptor 2	P21802	SINGLE PROTEIN	Homo sapiens	831	1453
CHEMBL4203	30036	Dual specificity protein kinase CLK4	Q9HAZ1	SINGLE PROTEIN	Homo sapiens	2181	3406
CHEMBL4204	30037	MAP kinase signal-integrating kinase 2	Q9HBH9	SINGLE PROTEIN	Homo sapiens	1411	2045
CHEMBL4273	11019	cGMP-dependent protein kinase 1 beta	Q13976	SINGLE PROTEIN	Homo sapiens	1204	2140
CHEMBL4522	30042	BMP-2-inducible protein kinase	Q9NSY1	SINGLE PROTEIN	Homo sapiens	141	201
CHEMBL4523	30043	Serine/threonine-protein kinase PIM2	Q9P1W9	SINGLE PROTEIN	Homo sapiens	2107	2912
CHEMBL4484	100018	Casein kinase I delta	Q06486	SINGLE PROTEIN	Rattus norvegicus	15	24
CHEMBL4825	12077	MAP kinase p38 alpha	P70618	SINGLE PROTEIN	Rattus norvegicus	69	69
CHEMBL5014	20025	Serine/threonine-protein kinase RIPK2	O43353	SINGLE PROTEIN	Homo sapiens	360	614
CHEMBL5247	100104	Serine/threonine-protein kinase ILK-1	Q13418	SINGLE PROTEIN	Homo sapiens	20	30
CHEMBL5250	100083	Tyrosine-protein kinase JAK3	Q62137	SINGLE PROTEIN	Mus musculus	5	6
CHEMBL5256	30029	CaM-kinase kinase alpha	Q8N5S9	SINGLE PROTEIN	Homo sapiens	185	265
CHEMBL5380	100961	Inhibitor of nuclear factor kappa-B kinase subunit alpha	Q60680	SINGLE PROTEIN	Mus musculus	2	4
CHEMBL5381	100962	Insulin-like growth factor 1 receptor	Q60751	SINGLE PROTEIN	Mus musculus	35	35
CHEMBL5407	100855	Serine/threonine-protein kinase PIM3	Q86V86	SINGLE PROTEIN	Homo sapiens	1638	2387
CHEMBL5528	100072	Ribosomal protein S6 kinase alpha 1	Q63531	SINGLE PROTEIN	Rattus norvegicus	11	11
CHEMBL5275	100907	Bone morphogenetic protein receptor type-1A	P36894	SINGLE PROTEIN	Homo sapiens	135	175
CHEMBL5284	30032	CaM-kinase kinase beta	Q96RR4	SINGLE PROTEIN	Homo sapiens	255	349
CHEMBL5310	100908	Activin receptor type-1B	P36896	SINGLE PROTEIN	Homo sapiens	348	581
CHEMBL5334	100951	Non-receptor tyrosine-protein kinase TNK1	Q13470	SINGLE PROTEIN	Homo sapiens	493	911
CHEMBL5370	100937	Serine/threonine-protein kinase KIN28	P06242	SINGLE PROTEIN	Saccharomyces cerevisiae S288c	2	2
CHEMBL5467	100993	Bone morphogenetic protein receptor type-2	Q13873	SINGLE PROTEIN	Homo sapiens	113	151
CHEMBL5510	101004	Mitogen-activated protein kinase 3	Q63844	SINGLE PROTEIN	Mus musculus	3	4
CHEMBL5427	101183	Homeodomain-interacting protein kinase 1	Q86Z02	SINGLE PROTEIN	Homo sapiens	661	1215
CHEMBL5615	101041	Serine/threonine-protein kinase MRCK gamma	Q6DT37	SINGLE PROTEIN	Homo sapiens	98	136
CHEMBL5683	101281	Serine/threonine-protein kinase DCLK1	O15075	SINGLE PROTEIN	Homo sapiens	712	761
CHEMBL5698	101503	NUAK family SNF1-like kinase 2	Q9H093	SINGLE PROTEIN	Homo sapiens	107	154
CHEMBL5699	101504	Serine/threonine-protein kinase SIK2	Q9H0K1	SINGLE PROTEIN	Homo sapiens	527	951
CHEMBL5718	101299	Mitogen-activated protein kinase 8	P49185	SINGLE PROTEIN	Rattus norvegicus	20	21
CHEMBL5728	101309	Cyclin-dependent kinase-like 2	Q92772	SINGLE PROTEIN	Homo sapiens	87	93
CHEMBL5808	101338	PITSLRE serine/threonine-protein kinase CDC2L1	P21127	SINGLE PROTEIN	Homo sapiens	109	151
CHEMBL5589	101249	Cyclin-dependent protein kinase PHO85	P17157	SINGLE PROTEIN	Saccharomyces cerevisiae S288c	4	4
CHEMBL1075224	102922	Glycogen synthase kinase-3 alpha	P18265	SINGLE PROTEIN	Rattus norvegicus	1	1
CHEMBL6002	101407	Cell division cycle 2-like protein kinase 6	Q9BWU1	SINGLE PROTEIN	Homo sapiens	300	342
CHEMBL6005	101410	Serine/threonine-protein kinase 33	Q9BYT3	SINGLE PROTEIN	Homo sapiens	346	561
