AAKJLRGGTJKAMG-UHFFFAOYSA-N	Erlotinib	COCCOc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1OCCOC
DEQANNDTNATYII-RRCPSWKPSA-N	Octreotide	CC(C1C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CCCCN)CC2=CNC3=CC=CC=C32)CC4=CC=CC=C4)NC(=O)C(CC5=CC=CC=C5)N)C(=O)NC(CO)C(C)O)O
DERZBLKQOCDDDZ-JLHYYAGUSA-N	cinnarizine	C(\C=C\c1ccccc1)N2CCN(CC2)C(c3ccccc3)c4ccccc4
DEZFNHCVIZBHBI-ZHACJKMWSA-N	rottlerin	CC(=O)c1c(O)c(C)c(O)c(Cc2c(O)c3C=CC(C)(C)Oc3c(C(=O)\C=C\c4ccccc4)c2O)c1O
DFEYYRMXOJXZRJ-UHFFFAOYSA-N	sevoflurane	C(OC(C(F)(F)F)C(F)(F)F)F
DFPMSGMNTNDNHN-ZPHOTFPESA-N	naringin	C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]2Oc3cc(O)c4C(=O)C[C@H](Oc4c3)c5ccc(O)cc5)[C@H](O)[C@H](O)[C@H]1O
DGBIGWXXNGSACT-UHFFFAOYSA-N	clonazepam	[O-][N+](=O)c1ccc2NC(=O)CN=C(c3ccccc3Cl)c2c1
DGMPVYSXXIOGJY-UHFFFAOYSA-M	fusaric_acid	CCCCc1ccc(nc1)C(=O)[O-]
DHHVAGZRUROJKS-UHFFFAOYSA-N	phentermine	CC(C)(CC1=CC=CC=C1)N
DHMQDGOQFOQNFH-UHFFFAOYSA-N	2-azaniumylacetate	NCC(=O)O
DHSUYTOATWAVLW-WFVMDLQDSA-N	Cilastatin	CC1(CC1C(=O)NC(=CCCCCSCC(C(=O)O)N)C(=O)O)C
DHZBEENLJMYSHQ-OBDNUKKESA-N	cantharidin	C[C@@]12C3CCC(O3)[C@]1(C)C(=O)OC2=O
DHZBEENLJMYSHQ-XCVPVQRUSA-N	cantharidin	O=C1OC(=O)[C@@]2([C@@]1(C)[C@H]1CC[C@@H]2O1)C
DIWRORZWFLOCLC-UHFFFAOYSA-N	lorazepam	C1=CC=C(C(=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O)Cl
DJBNUMBKLMJRSA-UHFFFAOYSA-N	flecainide	FC(F)(F)COc1ccc(OCC(F)(F)F)c(c1)C(=O)NCC2CCCCN2
DKGZKTPJOSAWFA-UHFFFAOYSA-N	spiperone	Fc1ccc(cc1)C(=O)CCCN2CCC3(CC2)N(CNC3=O)c4ccccc4
DKJJVAGXPKPDRL-UHFFFAOYSA-N	Tiludronic Acid	OP(=O)(O)C(Sc1ccc(Cl)cc1)P(=O)(O)O
DKLKMKYDWHYZTD-UHFFFAOYSA-N	hexylcaine	CC(CNC1CCCCC1)OC(=O)C2=CC=CC=C2
DKNWSYNQZKUICI-UHFFFAOYSA-N	amantadine	NC12CC3CC(CC(C3)C1)C2
DKYWVDODHFEZIM-NSHDSACASA-N	ketoprofen	C[C@H](C(=O)O)c1cccc(c1)C(=O)c2ccccc2
DKYWVDODHFEZIM-UHFFFAOYSA-N	ketoprofen	CC(C(=O)O)c1cccc(c1)C(=O)c2ccccc2
DLGOEMSEDOSKAD-UHFFFAOYSA-N	carmustine	ClCCNC(=O)N(CCCl)N=O
DLNKOYKMWOXYQA-VXNVDRBHSA-N	phenylpropanolamine	CC(C(C1=CC=CC=C1)O)N
DMDGGSIALPNSEE-UHFFFAOYSA-N	hydroflumethiazide	NS(=O)(=O)c1cc2c(NCNS2(=O)=O)cc1C(F)(F)F
DMJNNHOOLUXYBV-PQTSNVLCSA-N	meropenem	CC1C2C(C(=O)N2C(=C1SC3CC([NH2+]C3)C(=O)N(C)C)C(=O)[O-])C(C)O
DNXHEGUUPJUMQT-CBZIJGRNSA-N	estrone	C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CCC2=O
DOBMPNYZJYQDGZ-UHFFFAOYSA-N	dicoumarol	OC1=C(CC2=C(O)c3ccccc3OC2=O)C(=O)Oc4ccccc14
DOMXUEMWDBAQBQ-WEVVVXLNSA-N	terbinafine	CN(C\C=C\C#CC(C)(C)C)Cc1cccc2ccccc12
DOUYETYNHWVLEO-UHFFFAOYSA-N	IMIQUIMOD	CC(C)Cn1cnc2c(N)nc3ccccc3c12
DPWPWRLQFGFJFI-UHFFFAOYSA-N	pargyline	CN(CC#C)Cc1ccccc1
DPYMFVXJLLWWEU-UHFFFAOYSA-N	DESFLURANE	C(C(F)(F)F)(OC(F)F)F
DQCKKXVULJGBQN-XFWGSAIBSA-N	naltrexone	Oc1ccc2C[C@H]3N(CC4CC4)CC[C@@]56[C@@H](Oc1c25)C(=O)CC[C@@]36O
DQMZLTXERSFNPB-UHFFFAOYSA-N	primidone	CCC1(C(=O)NCNC1=O)C2=CC=CC=C2
DTOSIQBPPRVQHS-PDBXOOCHSA-N	linolenic acid	CC\C=C/C\C=C/C\C=C/CCCCCCCC(=O)O
DUDKAZCAISNGQN-UHFFFAOYSA-N	oxyphencyclimine	CN1CCCN=C1COC(=O)C(C2CCCCC2)(C3=CC=CC=C3)O
DUEWVPTZCSAMNB-UHFFFAOYSA-N	Saprisartan	CCC1=NC(=C(N1CC2=CC3=C(C=C2)OC(=C3Br)C4=CC=CC=C4NS(=O)(=O)C(F)(F)F)C(=O)N)C5CC5
DUGOZIWVEXMGBE-CHWSQXEVSA-N	Dexmethylphenidate	COC(=O)[C@@H]([C@H]1CCCCN1)c2ccccc2
DUGOZIWVEXMGBE-UHFFFAOYSA-N	methylphenidate	COC(=O)C(C1CCCCN1)c2ccccc2
DUHUCHOQIDJXAT-OLVMNOGESA-N	alfaxalone	O[C@@H]1CC[C@]2([C@H](C1)CC[C@@H]1[C@@H]2C(=O)C[C@]2([C@H]1CC[C@@H]2C(=O)C)C)C
DURULFYMVIFBIR-UHFFFAOYSA-N	practolol	CC(C)NCC(COC1=CC=C(C=C1)NC(=O)C)O
DWEQWXSKOHHBNT-SAPNQHFASA-N	Halogabide	C1=CC(=CC=C1C(=C2C=C(C=CC2=O)F)NCCCC(=O)N)Cl
DXGLGDHPHMLXJC-UHFFFAOYSA-N	oxybenzone	COc1ccc(C(=O)c2ccccc2)c(O)c1
DXVUYOAEDJXBPY-NFFDBFGFSA-N	ZINC04102186	CC1(C(N2C(S1)C(C2=O)N3C(=O)C([NH2+]C3(C)C)C4=CC=CC=C4)C(=O)[O-])C
DZAUWHJDUNRCTF-UHFFFAOYSA-N	caffeic_acid	OC(=O)CCc1ccc(O)c(O)c1
DZZWHBIBMUVIIW-DTORHVGOSA-N	ZINC00538362	C[C@@H]1CN(C[C@H](C)N1)c2c(F)c(N)c3C(=O)C(=CN(C4CC4)c3c2F)C(=O)O
FABPRXSRWADJSP-MEDUHNTESA-N	moxifloxacin	COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc4C(=O)C(=CN(C5CC5)c14)C(=O)O
FABUFPQFXZVHFB-CFWQTKTJSA-N	Aza-epothilone B	CC1CCCC2(C(O2)CC(NC(=O)CC(C(C(=O)C(C1O)C)(C)C)O)C(=CC3=CSC(=N3)C)C)C
FAOZLTXFLGPHNG-KNAQIMQKSA-N	fluorometholone	C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)C)[C@@]3(C)C[C@H](O)[C@]2(F)[C@@]4(C)C=CC(=O)C=C14
FEBLZLNTKCEFIT-VSXGLTOVSA-N	FLUOCINOLONE ACETONIDE	CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO
FFEARJCKVFRZRR-BYPYZUCNSA-N	L-Met	CSCCC(C(=O)[O-])[NH3+]
FHFYDNQZQSQIAI-UHFFFAOYSA-N	Pefloxacin	CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C)F)C(=O)O
FNHKPVJBJVTLMP-UHFFFAOYSA-N	Regorafenib	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)c(F)c2)ccn1
FNKQXYHWGSIFBK-UHFFFAOYSA-N	tetrahydrobiopterin	CC(C(C1CNC2=C(N1)C(=O)N=C(N2)N)O)O
FNYLWPVRPXGIIP-UHFFFAOYSA-N	triamterene	Nc1nc(N)c2nc(c(N)nc2n1)c3ccccc3
FOHHNHSLJDZUGQ-UHFFFAOYSA-N	halofantrine	CCCCN(CCCC)CCC(O)c1cc2c(Cl)cc(Cl)cc2c3cc(ccc13)C(F)(F)F
FRPJXPJMRWBBIH-RBRWEJTLSA-N	estramustine	CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)OC(=O)N(CCCl)CCCl
FTALBRSUTCGOEG-UHFFFAOYSA-N	riluzole	Nc1nc2ccc(OC(F)(F)F)cc2s1
FTQDJVZNPJRVPG-XWEVEMRCSA-N	carbenoxolone	CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@]3(C)[C@@H]2C(=O)C=C4[C@@H]5C[C@](C)(CC[C@]5(C)CC[C@@]34C)C(=O)O)C1(C)C
FYPMFJGVHOHGLL-UHFFFAOYSA-N	probucol	CC(C)(C)c1cc(SC(C)(C)Sc2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C)cc(c1O)C(C)(C)C
GAGWJHPBXLXJQN-UORFTKCHSA-N	CAPECITABINE	CCCCCOC(=O)NC1=NC(=O)N(C=C1F)C2C(C(C(O2)C)O)O
GAWXLRUZZFSQON-UHFFFAOYSA-N	DB04894	CC(C)C1C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CCCCN)CC2=CNC3=CC=CC=C32)CC4=CC=C(C=C4)O)NC(=O)C(CC5=CC=CC=C5)N)C(=O)NC(CC6=CC7=CC=CC=C7N6)C(=O)N
GBBBPWVJGMFZGX-UHFFFAOYSA-N	Cimadronate	OP(=O)(O)C(NC1CCCCC1)P(=O)(O)O
GBXSMTUPTTWBMN-XIRDDKMYSA-N	enalapril	CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N2CCC[C@H]2C(=O)O
