GeneIndex	SideEffectIndex	Target	UMLS_CUI	SE_name	EF	Pvalue	Qvalue	ChiSquare	FunctionalAnnotation
180	778	ADRA1B	C2937358	Cerebral haemorrhage	5.47	9.6e-13	8.5e-09	50.9	Binding
180	1913	ADRA1B	C0020458	Hyperhidrosis	1.86	2.6e-07	0.0021	26.5	Binding
180	3821	ADRA1B	C0039231	Tachycardia	1.74	8.5e-09	7.2e-05	33.2	Binding
180	1655	ADRA1B	C0340274	Gestational hypertension	7.23	4.2e-18	3.9e-14	75.2	Binding
180	3312	ADRA1B	C0034063	Pulmonary oedema	3.47	5.6e-06	0.043	20.6	Binding
180	595	ADRA1B	C0428977	Bradycardia	2.88	1e-05	0.0078	19.4	Agonist
180	2663	ADRA1B	C0858259	Nasal discomfort	6.52	9e-12	7.9e-08	46.5	Binding
180	595	ADRA1B	C0428977	Bradycardia	1.8	5.1e-06	0.04	20.8	Binding
180	1573	ADRA1B	C0017086	Gangrene	3.81	8.6e-08	7e-04	28.7	Binding
180	244	ADRA1B	C0003467	Anxiety	3.22	2.2e-05	0.016	18	Agonist
180	3680	ADRA1B	C0037383	Sneezing	6.45	1.2e-12	1.1e-08	50.5	Binding
180	3438	ADRA1B	C1260922	Respiration abnormal	3.25	1.6e-06	0.013	23	Binding
180	2875	ADRA1B	C0020651	Orthostatic hypotension	2.4	1.1e-08	5.4e-05	32.6	Antagonist
181	1219	ADRA1D	C0013384	Dyskinesia	3.02	9.1e-10	7.8e-06	37.5	Binding
181	2662	ADRA1D	C0027424	Nasal congestion	2.53	3.8e-12	3.4e-08	48.2	Binding
181	595	ADRA1D	C0428977	Bradycardia	2.97	1.1e-05	0.0084	19.3	Agonist
181	3821	ADRA1D	C0039231	Tachycardia	1.75	2.4e-08	2e-04	31.1	Binding
181	2875	ADRA1D	C0020651	Orthostatic hypotension	2.17	2.4e-11	2.1e-07	44.6	Binding
181	2733	ADRA1D	C0027932	Neurosis	2.21	3.3e-06	0.025	21.7	Binding
181	778	ADRA1D	C2937358	Cerebral haemorrhage	4.76	1.4e-08	0.00011	32.2	Binding
181	1655	ADRA1D	C0340274	Gestational hypertension	6.29	3e-12	2.7e-08	48.7	Binding
181	1913	ADRA1D	C0020458	Hyperhidrosis	1.81	3.2e-06	0.025	21.7	Binding
181	2928	ADRA1D	C0030252	Palpitations	1.99	3e-09	2.6e-05	35.2	Binding
181	4118	ADRA1D	C1456863	Vasoconstriction	6.36	2.1e-11	1.8e-07	44.9	Binding
181	2665	ADRA1D	C0231919	Nasal dryness	8.8	2.2e-24	2.1e-20	103.9	Binding
181	2875	ADRA1D	C0020651	Orthostatic hypotension	2.48	1.2e-08	5.8e-05	32.5	Antagonist
181	1483	ADRA1D	C0015726	Fear	8.39	2.3e-27	2.2e-23	117.5	Binding
181	2924	ADRA1D	C0030232	Pallor	4.13	8.8e-10	7.6e-06	37.6	Binding
181	244	ADRA1D	C0003467	Anxiety	3.25	4.2e-05	0.029	16.8	Agonist
182	1655	ADRA2A	C0340274	Gestational hypertension	8.64	2.2e-22	2.1e-18	94.7	Binding
182	1483	ADRA2A	C0015726	Fear	10.2	4.2e-38	4.1e-34	166.5	Binding
182	2662	ADRA2A	C0027424	Nasal congestion	5.13	8.7e-09	7.2e-06	33.1	Agonist
182	1766	ADRA2A	C0018524	Hallucination	2.15	2.9e-06	0.023	21.9	Binding
182	2712	ADRA2A	C0027765	Nervous system disorder	6.02	1e-09	8.8e-06	37.3	Binding
182	2665	ADRA2A	C0231919	Nasal dryness	12.7	5.1e-49	5e-45	216.6	Binding
182	2928	ADRA2A	C0030252	Palpitations	1.92	1.9e-07	0.0015	27.2	Binding
182	3693	ADRA2A	C2830004	Somnolence	1.54	2.1e-06	0.016	22.5	Binding
182	2875	ADRA2A	C0020651	Orthostatic hypotension	2.68	6.9e-09	3.4e-05	33.5	Antagonist
182	1219	ADRA2A	C0013384	Dyskinesia	4.69	3.6e-27	3.5e-23	116.5	Binding
182	4027	ADRA2A	C0042024	Urinary incontinence	3.39	6.2e-07	0.005	24.9	Binding
182	1483	ADRA2A	C0015726	Fear	6.69	4.1e-11	3.5e-08	43.6	Agonist
182	4118	ADRA2A	C1456863	Vasoconstriction	7.63	1.9e-15	1.7e-11	63.2	Binding
182	2663	ADRA2A	C0858259	Nasal discomfort	7.09	8e-12	7.1e-08	46.8	Binding
182	3438	ADRA2A	C1260922	Respiration abnormal	3.4	3.4e-06	0.027	21.6	Binding
182	2733	ADRA2A	C0027932	Neurosis	2.43	1.5e-07	0.0012	27.6	Binding
182	595	ADRA2A	C0428977	Bradycardia	2.04	5.2e-08	0.00043	29.7	Binding
182	1268	ADRA2A	C0235969	Ejaculation disorder	2.71	4.2e-06	0.033	21.2	Binding
182	3221	ADRA2A	C0033117	Priapism	3.42	8.4e-08	0.00069	28.7	Binding
182	1573	ADRA2A	C0017086	Gangrene	3.65	5.5e-06	0.043	20.6	Binding
182	1219	ADRA2A	C0013384	Dyskinesia	4.28	4.2e-08	3.4e-05	30	Agonist
182	1219	ADRA2A	C0013384	Dyskinesia	4.46	4.2e-09	2.1e-05	34.5	Antagonist
182	2662	ADRA2A	C0027424	Nasal congestion	2.73	7.1e-14	6.4e-10	56.1	Binding
182	778	ADRA2A	C2937358	Cerebral haemorrhage	5.23	1e-09	8.9e-06	37.2	Binding
182	2924	ADRA2A	C0030232	Pallor	5.07	1.9e-14	1.7e-10	58.6	Binding
182	3680	ADRA2A	C0037383	Sneezing	8.35	1.3e-18	1.2e-14	77.6	Binding
182	2875	ADRA2A	C0020651	Orthostatic hypotension	2.02	3e-08	0.00025	30.7	Binding
182	595	ADRA2A	C0428977	Bradycardia	2.79	1.7e-06	0.0013	22.9	Agonist
182	1094	ADRA2A	C0549249	Depressed level of consciousness	3.21	9.1e-08	0.00075	28.6	Binding
183	2733	ADRA2B	C0027932	Neurosis	2.57	2.1e-08	0.00018	31.4	Binding
183	1483	ADRA2B	C0015726	Fear	10.25	1.7e-36	1.6e-32	159.2	Binding
183	1219	ADRA2B	C0013384	Dyskinesia	4.71	4.9e-26	4.7e-22	111.4	Binding
183	4027	ADRA2B	C0042024	Urinary incontinence	3.58	1.6e-07	0.0013	27.5	Binding
183	3438	ADRA2B	C1260922	Respiration abnormal	3.59	1.1e-06	0.0084	23.8	Binding
183	2662	ADRA2B	C0027424	Nasal congestion	2.66	2.9e-12	2.6e-08	48.8	Binding
183	1766	ADRA2B	C0018524	Hallucination	2.33	1.3e-07	0.0011	27.9	Binding
183	595	ADRA2B	C0428977	Bradycardia	2.67	1.6e-05	0.012	18.6	Agonist
183	2662	ADRA2B	C0027424	Nasal congestion	4.93	1.2e-07	9.9e-05	28	Agonist
183	2665	ADRA2B	C0231919	Nasal dryness	12.77	6.3e-47	6.2e-43	207	Binding
183	1655	ADRA2B	C0340274	Gestational hypertension	9.13	7.5e-24	7.1e-20	101.4	Binding
183	1219	ADRA2B	C0013384	Dyskinesia	3.83	5.6e-06	0.0042	20.6	Agonist
183	4118	ADRA2B	C1456863	Vasoconstriction	7.38	1.2e-13	1.1e-09	54.9	Binding
183	595	ADRA2B	C0428977	Bradycardia	1.93	2.5e-06	0.019	22.2	Binding
183	2875	ADRA2B	C0020651	Orthostatic hypotension	2.5	5.8e-07	0.0027	25	Antagonist
183	3680	ADRA2B	C0037383	Sneezing	8.14	1.1e-16	1e-12	68.7	Binding
183	778	ADRA2B	C2937358	Cerebral haemorrhage	5.06	1.4e-08	0.00012	32.2	Binding
183	1094	ADRA2B	C0549249	Depressed level of consciousness	3.22	1.9e-07	0.0015	27.2	Binding
183	1219	ADRA2B	C0013384	Dyskinesia	4.06	6e-07	0.0028	24.9	Antagonist
183	2875	ADRA2B	C0020651	Orthostatic hypotension	1.89	2.9e-06	0.023	21.9	Binding
183	2924	ADRA2B	C0030232	Pallor	5.07	1e-13	9.2e-10	55.3	Binding
184	595	ADRA2C	C0428977	Bradycardia	2.7	7.1e-05	0.048	15.8	Agonist
184	2733	ADRA2C	C0027932	Neurosis	2.69	6.8e-09	5.7e-05	33.6	Binding
184	1483	ADRA2C	C0015726	Fear	10.49	1.4e-35	1.4e-31	155	Binding
184	3438	ADRA2C	C1260922	Respiration abnormal	3.87	1.9e-07	0.0015	27.2	Binding
184	3680	ADRA2C	C0037383	Sneezing	8.77	3.6e-18	3.3e-14	75.5	Binding
184	778	ADRA2C	C2937358	Cerebral haemorrhage	4.96	1.2e-07	0.001	28	Binding
184	2665	ADRA2C	C0231919	Nasal dryness	13.06	1.1e-45	1.1e-41	201.3	Binding
184	1219	ADRA2C	C0013384	Dyskinesia	4.94	3.4e-27	3.3e-23	116.7	Binding
184	2924	ADRA2C	C0030232	Pallor	5.46	3.9e-15	3.6e-11	61.8	Binding
184	3693	ADRA2C	C2830004	Somnolence	1.54	6.3e-06	0.049	20.4	Binding
184	1655	ADRA2C	C0340274	Gestational hypertension	9.83	5.5e-26	5.3e-22	111.2	Binding
184	2875	ADRA2C	C0020651	Orthostatic hypotension	2.54	6.1e-07	0.0029	24.9	Antagonist
184	2875	ADRA2C	C0020651	Orthostatic hypotension	2.03	1.5e-07	0.0012	27.6	Binding
184	4118	ADRA2C	C1456863	Vasoconstriction	7.23	4.3e-12	3.8e-08	48	Binding
184	2662	ADRA2C	C0027424	Nasal congestion	2.69	8.9e-12	7.8e-08	46.6	Binding
184	1219	ADRA2C	C0013384	Dyskinesia	4.62	6.7e-09	3.2e-05	33.6	Antagonist
184	595	ADRA2C	C0428977	Bradycardia	1.96	3.1e-06	0.025	21.7	Binding
184	4027	ADRA2C	C0042024	Urinary incontinence	3.86	2.2e-08	0.00018	31.3	Binding
184	3221	ADRA2C	C0033117	Priapism	3.46	3.9e-07	0.0031	25.8	Binding
184	1766	ADRA2C	C0018524	Hallucination	2.31	5.7e-07	0.0045	25	Binding
184	1094	ADRA2C	C0549249	Depressed level of consciousness	3.29	2.5e-07	0.002	26.6	Binding
185	244	ADRB1	C0003467	Anxiety	4.02	2.2e-07	0.00017	26.9	Agonist
185	313	ADRB1	C0003811	Arrhythmia	1.8	1e-10	8.8e-07	41.8	Binding
185	2734	ADRB1	C0235032	Neurotoxicity	5.78	7e-12	6.2e-08	47	Binding
185	364	ADRB1	C0004245	Atrioventricular block	5.01	4.7e-17	4.4e-13	70.4	Binding
185	2384	ADRB1	C0024115	Lung disorder	2.53	1.8e-06	0.014	22.8	Binding
185	595	ADRB1	C0428977	Bradycardia	3.23	5.5e-11	2.7e-07	43	Antagonist
185	708	ADRB1	C0018801	Cardiac failure	10.06	2e-37	1.9e-33	163.5	Binding
185	1483	ADRB1	C0015726	Fear	9.87	4.3e-26	4.2e-22	111.6	Binding
185	656	ADRB1	C0006266	Bronchospasm	4.22	1.3e-22	1.2e-18	95.8	Binding
185	1766	ADRB1	C0018524	Hallucination	2.44	5.2e-07	0.0042	25.2	Binding
185	3039	ADRB1	C0277925	Peripheral coldness	21.98	1.2e-80	6.4e-77	361.6	Antagonist
185	656	ADRB1	C0006266	Bronchospasm	4.67	1.5e-13	7.7e-10	54.5	Antagonist
185	200	ADRB1	C0002962	Angina pectoris	2.66	2.2e-06	0.017	22.4	Binding
185	710	ADRB1	C0018802	Cardiac failure congestive	10.45	5.3e-41	5.2e-37	179.8	Binding
185	595	ADRB1	C0428977	Bradycardia	3.16	2.3e-22	2.2e-18	94.7	Binding
185	349	ADRB1	C0004093	Asthenia	1.62	2e-06	0.016	22.6	Binding
185	710	ADRB1	C0018802	Cardiac failure congestive	11.6	5.9e-25	3e-21	106.4	Antagonist
185	1198	ADRB1	C0314719	Dry eye	13.47	1.5e-72	1.5e-68	324.5	Binding
185	364	ADRB1	C0004245	Atrioventricular block	4.98	4.2e-09	2.1e-05	34.5	Antagonist
185	3666	ADRB1	C0851578	Sleep disorder	2.48	8.3e-12	7.3e-08	46.7	Binding
185	708	ADRB1	C0018801	Cardiac failure	11.44	2.3e-20	1.1e-16	85.6	Antagonist
185	3375	ADRB1	C0034735	Raynaud's phenomenon	16.44	9.4e-56	9.3e-52	247.4	Binding
185	3039	ADRB1	C0277925	Peripheral coldness	18.95	2.6e-143	2.6e-139	649.7	Binding
185	2928	ADRB1	C0030252	Palpitations	3.74	6.6e-10	5.5e-07	38.1	Agonist
185	313	ADRB1	C0003811	Arrhythmia	2.44	1.6e-06	0.0012	23.1	Agonist
185	3666	ADRB1	C0851578	Sleep disorder	2.66	7.1e-07	0.0033	24.6	Antagonist
185	3293	ADRB1	C0033975	Psychotic disorder	2.15	7.5e-07	0.006	24.5	Binding
185	1198	ADRB1	C0314719	Dry eye	14.41	3.3e-37	1.7e-33	162.5	Antagonist
185	2502	ADRB1	C0025517	Metabolic disorder	15.92	2.9e-29	2.8e-25	126.1	Binding
185	1061	ADRB1	C0151588	Deafness transitory	8.71	5.4e-15	4.9e-11	61.1	Binding
185	2928	ADRB1	C0030252	Palpitations	2.06	2.4e-07	0.002	26.7	Binding
186	703	ADRB2	C0018790	Cardiac arrest	2.71	4.3e-06	0.034	21.1	Binding
186	3666	ADRB2	C0851578	Sleep disorder	2.12	2.9e-07	0.0023	26.3	Binding
186	4135	ADRB2	C0085612	Ventricular arrhythmia	5.83	4e-11	3.5e-07	43.6	Binding
186	2734	ADRB2	C0235032	Neurotoxicity	4.9	3.2e-08	0.00026	30.6	Binding
186	656	ADRB2	C0006266	Bronchospasm	4.12	2.5e-21	2.4e-17	89.9	Binding
186	3956	ADRB2	C0040822	Tremor	3.29	4.1e-08	3.4e-05	30.1	Agonist
186	2928	ADRB2	C0030252	Palpitations	2.57	2.2e-14	2e-10	58.4	Binding
186	708	ADRB2	C0018801	Cardiac failure	10.57	1.5e-41	1.5e-37	182.3	Binding
186	1483	ADRB2	C0015726	Fear	10.56	4.3e-30	4.2e-26	129.9	Binding
186	710	ADRB2	C0018802	Cardiac failure congestive	9.05	7e-30	6.8e-26	128.9	Binding
186	364	ADRB2	C0004245	Atrioventricular block	4.3	6.4e-07	0.003	24.8	Antagonist
186	1198	ADRB2	C0314719	Dry eye	13.57	8.2e-35	4.2e-31	151.5	Antagonist
186	200	ADRB2	C0002962	Angina pectoris	3.02	7.6e-09	6.4e-05	33.4	Binding
186	3039	ADRB2	C0277925	Peripheral coldness	20.69	1.4e-75	7.1e-72	338.5	Antagonist
186	2928	ADRB2	C0030252	Palpitations	4.8	7.1e-17	6.2e-14	69.7	Agonist
186	656	ADRB2	C0006266	Bronchospasm	4.4	1.9e-12	9.6e-09	49.6	Antagonist
186	4119	ADRB2	C0595862	Vasodilatation	2.86	3.1e-07	0.0025	26.2	Binding
186	3039	ADRB2	C0277925	Peripheral coldness	17.54	2.3e-121	2.3e-117	548.8	Binding
186	2631	ADRB2	C0027051	Myocardial infarction	3	1e-06	0.00081	23.9	Agonist
186	313	ADRB2	C0003811	Arrhythmia	2.8	6.2e-09	5.1e-06	33.8	Agonist
186	3843	ADRB2	C0233494	Tension	17.46	2.6e-32	2.5e-28	140	Binding
186	710	ADRB2	C0018802	Cardiac failure congestive	10.01	2.4e-19	1.2e-15	80.9	Antagonist
186	244	ADRB2	C0003467	Anxiety	3.64	1.5e-05	0.011	18.7	Agonist
186	313	ADRB2	C0003811	Arrhythmia	1.97	3.5e-15	3.2e-11	61.9	Binding
186	2631	ADRB2	C0027051	Myocardial infarction	2.23	2.4e-12	2.1e-08	49.1	Binding
186	3956	ADRB2	C0040822	Tremor	1.9	1.3e-07	0.0011	27.9	Binding
186	595	ADRB2	C0428977	Bradycardia	3.21	1.9e-23	1.8e-19	99.5	Binding
186	3375	ADRB2	C0034735	Raynaud's phenomenon	12.83	1e-32	9.8e-29	141.9	Binding
186	595	ADRB2	C0428977	Bradycardia	3.67	4.2e-16	2.1e-12	66.2	Antagonist
186	200	ADRB2	C0002962	Angina pectoris	5.74	4.5e-10	3.8e-07	38.9	Agonist
186	3821	ADRB2	C0039231	Tachycardia	3.74	2.3e-10	1.9e-07	40.2	Agonist
186	364	ADRB2	C0004245	Atrioventricular block	4.37	2.5e-12	2.2e-08	49	Binding
186	708	ADRB2	C0018801	Cardiac failure	11.84	2.3e-23	1.2e-19	99.2	Antagonist
186	1198	ADRB2	C0314719	Dry eye	12.11	1.6e-57	1.5e-53	255.6	Binding
187	2928	ADRB3	C0030252	Palpitations	2.46	4.2e-08	0.00035	30	Binding
187	595	ADRB3	C0428977	Bradycardia	3.86	1.8e-23	1.7e-19	99.7	Binding
187	708	ADRB3	C0018801	Cardiac failure	13.48	4e-42	3.9e-38	185	Binding
187	1766	ADRB3	C0018524	Hallucination	3.13	9.7e-09	8.2e-05	32.9	Binding
187	595	ADRB3	C0428977	Bradycardia	3.83	4.6e-12	2.3e-08	47.8	Antagonist
187	364	ADRB3	C0004245	Atrioventricular block	6.14	1.4e-16	1.3e-12	68.4	Binding
187	3293	ADRB3	C0033975	Psychotic disorder	2.44	2.1e-06	0.017	22.5	Binding
187	313	ADRB3	C0003811	Arrhythmia	1.82	3.3e-07	0.0027	26.1	Binding
187	710	ADRB3	C0018802	Cardiac failure congestive	11.01	1.7e-27	1.6e-23	118.1	Binding
187	2928	ADRB3	C0030252	Palpitations	4.36	1.3e-10	1.1e-07	41.3	Agonist
187	3039	ADRB3	C0277925	Peripheral coldness	26.49	3.3e-82	1.7e-78	368.9	Antagonist
187	1198	ADRB3	C0314719	Dry eye	15.38	1.5e-57	1.4e-53	255.7	Binding
187	3039	ADRB3	C0277925	Peripheral coldness	23.34	1.4e-132	1.4e-128	600.3	Binding
187	3666	ADRB3	C0851578	Sleep disorder	3.04	3e-13	2.7e-09	53.2	Binding
187	708	ADRB3	C0018801	Cardiac failure	16.37	4.3e-30	2.2e-26	129.9	Antagonist
187	656	ADRB3	C0006266	Bronchospasm	5.69	4.6e-15	2.3e-11	61.4	Antagonist
187	3375	ADRB3	C0034735	Raynaud's phenomenon	16.64	7.8e-34	7.6e-30	147	Binding
187	656	ADRB3	C0006266	Bronchospasm	5.41	3.1e-25	3e-21	107.7	Binding
187	313	ADRB3	C0003811	Arrhythmia	2.51	2.1e-05	0.016	18.1	Agonist
187	200	ADRB3	C0002962	Angina pectoris	3.07	6.3e-06	0.049	20.4	Binding
187	1198	ADRB3	C0314719	Dry eye	16.21	6.8e-33	3.5e-29	142.7	Antagonist
187	3666	ADRB3	C0851578	Sleep disorder	2.9	2.8e-06	0.013	22	Antagonist
210	1171	AGTR1	C0012833	Dizziness	4.19	2.2e-08	0.00019	31.3	Binding
244	1600	AKR1B1	C0017178	Gastrointestinal disorder	2.75	4.9e-06	0.022	20.9	Antagonist
259	3866	ALB	C0040034	Thrombocytopenia	2.13	4.7e-08	0.00039	29.8	Binding
259	2002	ALB	C3203356	Hypoprothrombinaemia	4.05	6e-08	0.00049	29.4	Binding
259	3278	ALB	C1257843	Pseudomembranous colitis	9.97	1.6e-17	1.5e-13	72.5	Binding
259	3039	ALB	C0277925	Peripheral coldness	4.46	2.8e-07	0.0022	26.4	Binding
259	3594	ALB	C0036830	Serum sickness	11.64	8.4e-21	7.9e-17	87.5	Binding
259	4114	ALB	C0042384	Vasculitis	3.64	7.7e-07	0.0062	24.4	Binding
259	1379	ALB	C0014742	Erythema multiforme	2.92	1.7e-07	0.0014	27.4	Binding
259	2221	ALB	C0022354	Jaundice cholestatic	3.28	1.4e-06	0.011	23.3	Binding
259	708	ALB	C0018801	Cardiac failure	4.4	3.8e-07	0.003	25.8	Binding
259	3749	ALB	C0038325	Stevens-Johnson syndrome	4.59	6.3e-07	0.005	24.8	Binding
259	1346	ALB	C0014457	Eosinophilia	4.16	1.3e-13	1.1e-09	54.9	Binding
259	3930	ALB	C0014518	Toxic epidermal necrolysis	3.95	3.5e-08	0.00029	30.4	Binding
