Index	UMLS_CUI	SE_name
317	C0003838	Arterial occlusive disease
318	C0085617	Arterial spasm
319	C0151942	Arterial thrombosis
320	C0003850	Arteriosclerosis
321	C0010054	Arteriosclerosis coronary artery
322	C0339478	Arteriosclerotic retinopathy
323	C0010073	Arteriospasm coronary
324	C0003855	Arteriovenous fistula
325	C0340909	Arteriovenous fistula thrombosis
326	C0003860	Arteritis
327	C0002949	Artery dissection
328	C0003862	Arthralgia
329	C0003864	Arthritis
330	C1692886	Arthritis bacterial
331	C0003869	Arthritis infective
332	C0022408	Arthropathy
333	C0853348	Arthropod bite
334	C0852932	Arthropod sting
335	C0003950	Ascariasis
336	C0003962	Ascites
337	C0233528	Asocial behaviour
338	C0855622	Aspartate aminotransferase decreased
339	C0151904	Aspartate aminotransferase increased
340	C0855624	Aspartate aminotransferase normal
341	C0276651	Aspergilloma
342	C0851807	Aspergillus infection
343	C1704202	Aspermia
344	C0004044	Asphyxia
345	C0700198	Aspiration
346	C0521305	Assisted fertilisation
347	C0549201	Asteatosis
348	C0232766	Asterixis
349	C0004093	Asthenia
350	C0004095	Asthenopia
351	C0004096	Asthma
352	C0004114	Astrocytoma
353	C0262380	Asymptomatic bacteriuria
354	C0004134	Ataxia
355	C0004144	Atelectasis
356	C0004158	Athetosis
357	C0403645	Atonic urinary bladder
358	C0392707	Atopy
359	C0004238	Atrial fibrillation
360	C0004239	Atrial flutter
361	C0340278	Atrial hypertrophy
362	C0018817	Atrial septal defect
363	C0546959	Atrial tachycardia
364	C0004245	Atrioventricular block
365	C0151517	Atrioventricular block complete
366	C0085614	Atrioventricular block first degree
367	C0264906	Atrioventricular block second degree
368	C0004331	Atrioventricular dissociation
369	C0155964	Atrophic glossitis
370	C0149836	Atrophic vulvovaginitis
371	C0333641	Atrophy
372	C1263846	Attention deficit/hyperactivity disorder
373	C3160754	Atypical femur fracture
374	C3495700	Atypical fracture
375	C0026919	Atypical mycobacterial infection
376	C1412002	Atypical pneumonia
377	C0236018	Aura
378	C0549297	Auricular swelling
379	C0004352	Autism
380	C1510586	Autism spectrum disorder
381	C0004364	Autoimmune disorder
382	C0002880	Autoimmune haemolytic anaemia
383	C0241910	Autoimmune hepatitis
384	C0242584	Autoimmune thrombocytopenia
385	C0004377	Automatism
386	C0262385	Autonomic nervous system imbalance
387	C0259749	Autonomic neuropathy
388	C0270921	Axonal neuropathy
389	C0004509	Azoospermia
390	C0242528	Azotaemia
391	C0079731	B-cell lymphoma
392	C1292769	B-cell type acute leukaemia
393	C0263888	Back disorder
394	C0004601	Back injury
395	C0004604	Back pain
396	C0004610	Bacteraemia
397	C0853960	Bacterial disease carrier
398	C0004623	Bacterial infection
399	C0748023	Bacterial prostatitis
400	C1167760	Bacterial test positive
401	C0004659	Bacteriuria
402	C0575090	Balance disorder
403	C0004690	Balanitis
404	C0276684	Balanitis candida
405	C0004691	Balanoposthitis
406	C0919777	Band neutrophil count increased
407	C2609148	Barium impaction
408	C0004763	Barrett's oesophagus
409	C0004767	Bartholin's cyst
410	C0007117	Basal cell carcinoma
411	C0018213	Basedow's disease
412	C0702266	Basophilia
413	C0004903	Beckwith-Wiedemann syndrome
414	C0741453	Bedridden
415	C0346156	Benign breast neoplasm
416	C0497538	Benign gastrointestinal neoplasm
417	C0496870	Benign hepatic neoplasm
418	C0549315	Benign hydatidiform mole
419	C0033845	Benign intracranial hypertension
420	C0086692	Benign neoplasm
421	C0004998	Benign neoplasm of skin
422	C1704272	Benign prostatic hyperplasia
423	C0154002	Benign vaginal neoplasm
424	C0855565	Beta 2 microglobulin increased
425	C0855573	Beta 2 microglobulin urine increased
426	C1321581	Bezoar
427	C1142446	Bicytopenia
428	C0740277	Bile duct cancer
429	C0267925	Bile duct stenosis
430	C0151824	Biliary colic
431	C0520571	Biliary fibrosis
432	C0005424	Biliary tract disorder
433	C0855625	Bilirubin conjugated increased
434	C0596170	Binge eating
435	C0005586	Bipolar disorder
436	C0853193	Bipolar I disorder
437	C1096691	BK virus infection
438	C0005684	Bladder cancer
439	C0549253	Bladder dilatation
440	C0549391	Bladder discomfort
441	C0005686	Bladder disorder
442	C0156273	Bladder diverticulum
443	C0232841	Bladder dysfunction
444	C0521626	Bladder fibrosis
445	C2945586	Bladder irritation
446	C0005694	Bladder neck obstruction
447	C0341751	Bladder necrosis
448	C0005695	Bladder neoplasm
449	C0232849	Bladder pain
450	C0426390	Bladder spasm
451	C0151919	Bladder stenosis
452	C0005699	Blast cell crisis
453	C0005716	Blastomycosis
454	C0151529	Bleeding time prolonged
455	C0854438	Blepharal pigmentation
456	C0005741	Blepharitis
457	C0271308	Blepharitis allergic
458	C0005747	Blepharospasm
459	C0266648	Blighted ovum
460	C0456909	Blindness
461	C0155320	Blindness cortical
462	C0018975	Blindness day
463	C0155003	Blindness transient
464	C0271240	Blindness unilateral
465	C0005758	Blister
466	C0853050	Blood acid phosphatase increased
467	C0853777	Blood albumin decreased
468	C0853776	Blood albumin increased
469	C0852911	Blood alkaline phosphatase increased
470	C0853592	Blood antidiuretic hormone abnormal
471	C0853263	Blood bicarbonate
472	C0852909	Blood bicarbonate decreased
473	C0853737	Blood bicarbonate increased
474	C1142015	Blood bilirubin abnormal
475	C0877336	Blood bilirubin decreased
476	C0311468	Blood bilirubin increased
477	C0853289	Blood bilirubin normal
478	C0854134	Blood bilirubin unconjugated increased
479	C0853772	Blood calcium abnormal
480	C3665624	Blood calcium decreased
481	C0595902	Blood chloride decreased
482	C0595900	Blood chloride increased
483	C0853595	Blood cholesterol abnormal
484	C1536916	Blood cholesterol decreased
485	C0595930	Blood cholesterol increased
486	C0854028	Blood copper decreased
487	C0852792	Blood cortisol decreased
488	C0852793	Blood cortisol increased
489	C1535970	Blood count abnormal
490	C0854029	Blood creatine increased
491	C0853782	Blood creatine phosphokinase abnormal
492	C0853034	Blood creatine phosphokinase increased
493	C0853958	Blood creatine phosphokinase MB increased
494	C0855677	Blood creatine phosphokinase MM increased
495	C0853746	Blood creatinine abnormal
496	C0852810	Blood creatinine decreased
497	C0235431	Blood creatinine increased
498	C0853035	Blood creatinine normal
499	C0740299	Blood culture positive
500	C0018939	Blood disorder
501	C0853748	Blood electrolytes abnormal
502	C0853885	Blood electrolytes decreased
503	C0854062	Blood fibrinogen decreased
504	C0852921	Blood fibrinogen increased
505	C0853124	Blood follicle stimulating hormone increased
506	C0476337	Blood gases abnormal
507	C0853890	Blood gastrin increased
508	C0580546	Blood glucose abnormal
509	C0595883	Blood glucose decreased
510	C0877314	Blood glucose fluctuation
511	C0595877	Blood glucose increased
512	C0853974	Blood gonadotrophin decreased
513	C0853973	Blood gonadotrophin increased
514	C0853015	Blood growth hormone increased
515	C0853705	Blood immunoglobulin G decreased
516	C0854380	Blood insulin decreased
517	C0852795	Blood insulin increased
518	C0853227	Blood iron abnormal
519	C0853785	Blood iron decreased
520	C0853784	Blood iron increased
521	C0853149	Blood lactate dehydrogenase increased
522	C0853123	Blood luteinising hormone increased
523	C0853750	Blood magnesium decreased
524	C0853749	Blood magnesium increased
525	C1112762	Blood methaemoglobin present
526	C0853021	Blood oestrogen decreased
527	C0853020	Blood oestrogen increased
528	C0853755	Blood osmolarity decreased
529	C0853754	Blood osmolarity increased
530	C0853023	Blood parathyroid hormone increased
531	C0853028	Blood pH decreased
532	C0877517	Blood phosphorus decreased
533	C0919625	Blood phosphorus increased
534	C0853759	Blood potassium abnormal
535	C0853761	Blood potassium decreased
536	C0853760	Blood potassium increased
537	C0005826	Blood pressure abnormal
538	C0277890	Blood pressure diastolic decreased
539	C0277889	Blood pressure diastolic increased
540	C0549405	Blood pressure fluctuation
541	C0919892	Blood pressure inadequately controlled
542	C0497247	Blood pressure increased
543	C2712122	Blood pressure normal
544	C0277885	Blood pressure systolic decreased
545	C0277884	Blood pressure systolic increased
546	C0853710	Blood prolactin decreased
547	C0854082	Blood prolactin increased
548	C0853786	Blood sodium abnormal
549	C0595878	Blood sodium increased
550	C0854146	Blood test abnormal
551	C0853117	Blood testosterone decreased
552	C1096496	Blood testosterone free increased
553	C0853118	Blood testosterone increased
554	C0852990	Blood thromboplastin decreased
555	C0853018	Blood thyroid stimulating hormone decreased
556	C0853019	Blood thyroid stimulating hormone increased
557	C0854111	Blood triglycerides decreased
558	C0853692	Blood triglycerides increased
559	C0438242	Blood urea abnormal
560	C0549395	Blood urea decreased
561	C0151539	Blood urea increased
562	C0438241	Blood urea normal
563	C0855642	Blood uric acid abnormal
564	C0855644	Blood uric acid decreased
565	C0235416	Blood uric acid increased
566	C0221752	Blood urine
567	C0947999	Blood urine present
568	C0855675	Blood zinc decreased
569	C0333271	Bloody discharge
570	C0242645	Blue toe syndrome
571	C0233469	Blunted affect
572	C1096393	Body fat disorder
573	C2732728	Body height decreased
574	C0231255	Body mass index decreased
575	C0020672	Body temperature decreased
576	C1504363	Body temperature fluctuation
577	C0015967	Body temperature increased
578	C0040252	Body tinea
579	C0153690	Bone cancer metastatic
580	C0877225	Bone density decreased
581	C0231557	Bone development abnormal
582	C0005940	Bone disorder
583	C0238792	Bone lesion
584	C0005956	Bone marrow disorder
585	C0238796	Bone marrow granuloma
586	C0948168	Bone marrow toxicity
587	C0005944	Bone metabolism disorder
588	C0005967	Bone neoplasm
589	C0151825	Bone pain
590	C1704327	Bone sarcoma
591	C0041307	Bovine tuberculosis
592	C0006079	Bowen's disease
593	C0161446	Brachial plexus injury
594	C0079035	Bradyarrhythmia
595	C0428977	Bradycardia
596	C0410919	Bradycardia foetal
597	C0233565	Bradykinesia
598	C0554976	Bradyphrenia
599	C0006105	Brain abscess
600	C0220650	Brain cancer metastatic
601	C0553686	Brain herniation
602	C1527348	Brain hypoxia
603	C0270611	Brain injury
604	C0006118	Brain neoplasm
605	C0496899	Brain neoplasm benign
606	C1527311	Brain oedema
607	C0677865	Brain stem glioma
608	C0521540	Brain stem haemorrhage
609	C1328447	Brain stem syndrome
610	C1135120	Breakthrough pain
611	C0151463	Breast abscess
612	C0151511	Breast atrophy
613	C0587094	Breast calcifications
614	C0006142	Breast cancer
615	C0235653	Breast cancer female
616	C0238033	Breast cancer male
617	C0278488	Breast cancer stage IV
618	C0006144	Breast cyst
619	C0149741	Breast discharge
620	C0877338	Breast discomfort
621	C0006145	Breast disorder
622	C0677658	Breast disorder female
623	C0085688	Breast engorgement
624	C2225524	Breast enlargement
625	C0006147	Breast feeding
626	C1328386	Breast fibroma
627	C0156318	Breast fibrosis
628	C0269268	Breast induration
629	C0266008	Breast malformation
630	C0024103	Breast mass
631	C1458155	Breast neoplasm
632	C0235649	Breast oedema
633	C0024902	Breast pain
634	C0006152	Breast swelling
635	C0262397	Breast tenderness
636	C0235744	Breath holding
637	C0018520	Breath odour
638	C0231856	Breath sounds abnormal
639	C0006157	Breech presentation
640	C0006261	Bronchial disorder
641	C1321133	Bronchial haemorrhage
642	C0085129	Bronchial hyperreactivity
643	C0221725	Bronchial obstruction
644	C1868710	Bronchial secretion retention
645	C0264352	Bronchial ulceration
646	C0006267	Bronchiectasis
647	C0006271	Bronchiolitis
648	C0007120	Bronchioloalveolar carcinoma
649	C0006277	Bronchitis
650	C0264344	Bronchitis bacterial
651	C0276141	Bronchitis viral
652	C0006285	Bronchopneumonia
653	C1096448	Bronchopneumopathy
654	C2350530	Bronchopulmonary aspergillosis
655	C0006287	Bronchopulmonary dysplasia
656	C0006266	Bronchospasm
657	C0236072	Bronchospasm paradoxical
658	C0151536	Bronchostenosis
659	C0029405	Brown tumour
660	C1142166	Brugada syndrome
661	C0006325	Bruxism
662	C0856152	Buccal mucosal roughening
663	C0151538	Buccoglossal syndrome
664	C0856761	Budd-Chiari syndrome
665	C2267227	Bulimia nervosa
666	C0021100	Bullous impetigo
667	C0006384	Bundle branch block
668	C0023211	Bundle branch block left
669	C0085615	Bundle branch block right
670	C0006413	Burkitt's lymphoma
671	C0006430	Burning mouth syndrome
672	C0085624	Burning sensation
673	C0332687	Burns second degree
674	C0006444	Bursitis
675	C0742906	C-reactive protein increased
676	C0006625	Cachexia
677	C0267537	Caecitis
678	C0221255	Calcification metastatic
679	C0006663	Calcinosis
680	C0006666	Calciphylaxis
681	C0392519	Calcium deficiency
682	C0595876	Calcium intoxication
683	C0006705	Calcium metabolism disorder
684	C0005683	Calculus bladder
685	C1456865	Calculus ureteric
686	C0042018	Calculus urinary
687	C0596240	Cancer pain
688	C0742224	Candida cervicitis
689	C0006840	Candida infection
690	C0949091	Candida sepsis
691	C0403723	Candiduria
692	C0006905	Capillary fragility
693	C0151541	Capillary fragility increased
694	C0343084	Capillary leak syndrome
695	C0541820	Carbohydrate tolerance decreased
696	C0860711	Carbon dioxide decreased
697	C0860713	Carbon dioxide increased
698	C0007078	Carbuncle
699	C0858970	Carcinogenicity
700	C0007095	Carcinoid tumour
701	C0007099	Carcinoma in situ
702	C0268407	Cardiac amyloidosis
703	C0018790	Cardiac arrest
704	C0376297	Cardiac death
705	C1096252	Cardiac discomfort
706	C0018799	Cardiac disorder
707	C0741921	Cardiac enzymes increased
708	C0018801	Cardiac failure
709	C0264714	Cardiac failure acute
710	C0018802	Cardiac failure congestive
711	C0221045	Cardiac failure high output
712	C0232197	Cardiac fibrillation
713	C0016385	Cardiac flutter
714	C1383860	Cardiac hypertrophy
715	C0018808	Cardiac murmur
716	C0007166	Cardiac output decreased
717	C0085128	Cardiac output increased
718	C0018816	Cardiac septal defect
719	C0007177	Cardiac tamponade
720	C0018824	Cardiac valve disease
721	C1096119	Cardiac valve replacement complication
722	C0600228	Cardio-respiratory arrest
723	C0877339	Cardio-respiratory distress
724	C0855931	Cardioactive drug level above therapeutic
725	C0861111	Cardioactive drug level increased
726	C0036980	Cardiogenic shock
727	C0018800	Cardiomegaly
728	C0878544	Cardiomyopathy
729	C1444565	Cardiopulmonary failure
730	C0876994	Cardiotoxicity
731	C0007222	Cardiovascular disorder
732	C1392046	Cardiovascular insufficiency
733	C0869523	Carditis
734	C0855977	Carotene decreased
735	C0265101	Carotid artery occlusion
736	C0007282	Carotid artery stenosis
737	C0007274	Carotid artery thrombosis
738	C0007280	Carotid bruit
739	C1096529	Carotid pulse
740	C0221046	Carotid sinus syndrome
741	C0007286	Carpal tunnel syndrome
742	C0007384	Cataplexy
743	C0086543	Cataract
744	C0271160	Cataract cortical
745	C0011876	Cataract diabetic
746	C0392557	Cataract nuclear
747	C0235259	Cataract subcapsular
748	C0154983	Cataract traumatic
749	C0007398	Catatonia
750	C0948978	Catheter site cellulitis
751	C0948815	Catheter site erythema
752	C0920166	Catheter site haemorrhage
753	C1112210	Catheter site infection
754	C0948817	Catheter site inflammation
755	C0949103	Catheter site pain
756	C0948818	Catheter site phlebitis
757	C0863070	Catheter site related reaction
758	C0392548	Cauda equina syndrome
759	C0853142	CD4 lymphocytes decreased
760	C0007642	Cellulitis
761	C0854456	Cellulitis gangrenous
762	C0853857	Cellulitis staphylococcal
763	C3267019	Central nervous system haemorrhage
764	C0007684	Central nervous system infection
765	C0085136	Central nervous system neoplasm
766	C0151560	Central nervous system stimulation
767	C0311277	Central obesity
768	C0007758	Cerebellar ataxia
769	C0740279	Cerebellar atrophy
770	C0236073	Cerebellar infarction
771	C0007760	Cerebellar syndrome
772	C0877854	Cerebral arteriosclerosis
773	C0007773	Cerebral arteritis
774	C0007780	Cerebral artery embolism
775	C1504438	Cerebral artery stenosis
776	C0235946	Cerebral atrophy
777	C0542007	Cerebral haematoma
778	C2937358	Cerebral haemorrhage
779	C1695782	Cerebral hypoperfusion
780	C0007785	Cerebral infarction
781	C0917798	Cerebral ischaemia
782	C0079102	Cerebral thrombosis
783	C1167661	Cerebral vasoconstriction
784	C0151945	Cerebral venous thrombosis
785	C0023182	Cerebrospinal fluid leakage
786	C0038454	Cerebrovascular accident
787	C0007820	Cerebrovascular disorder
788	C0241832	Cerebrovascular insufficiency
789	C0021092	Cerumen impaction
790	C0553737	Cervical discharge
791	C0007868	Cervical dysplasia
792	C0007871	Cervical incompetence
793	C0007855	Cervical polyp
794	C0262414	Cervical vertebral fracture
795	C0007860	Cervicitis
796	C0158281	Cervicobrachial syndrome
797	C0302592	Cervix carcinoma
798	C0851140	Cervix carcinoma stage 0
799	C0007867	Cervix disorder
800	C0948011	Cervix haemorrhage uterine
801	C0007873	Cervix neoplasm
802	C0007933	Chalazion
803	C0278008	Change of bowel habit
804	C0424489	Chapped lips
805	C0007971	Cheilitis
806	C0221264	Cheilosis
807	C0403639	Chemical cystitis
808	C1096387	Chemical eye injury
809	C0441713	Chemical injury
810	C0341505	Chemical peritonitis
811	C0235710	Chest discomfort
812	C0008031	Chest pain
813	C0436503	Chest X-ray abnormal
814	C0239026	Chest X-ray normal
815	C0008039	Cheyne-Stokes respiration
816	C0085593	Chills
817	C0008149	Chlamydial infection
818	C0025218	Chloasma
819	C0235260	Chloropsia
820	C0008301	Choking
821	C0546947	Choking sensation
822	C0206698	Cholangiocarcinoma
823	C0008311	Cholangitis
824	C0008313	Cholangitis sclerosing
825	C0008325	Cholecystitis
826	C0149520	Cholecystitis acute
827	C0085694	Cholecystitis chronic
828	C1262168	Cholecystitis infective
829	C0008350	Cholelithiasis
830	C0008370	Cholestasis
831	C2242582	Cholestatic liver injury
832	C0274702	Cholinergic syndrome
833	C0159076	Choluria
834	C0553730	Chondrocalcinosis
835	C0008449	Chondrodystrophy
836	C0343263	Chondrolysis
837	C0007302	Chondropathy
838	C0008489	Chorea
839	C0085583	Choreoathetosis
