VGEOUKPOQQEQSX-UHFFFAOYSA-N	cefapirin
LZAXPYOBKSJSEX-SFHVURJKSA-N	blebbistatin
WCDWBPCFGJXFJZ-RHRFEJLCSA-N	etanidazole
YKQOSKADJPQZHB-QNPLFGSASA-N	colistin
APKFDSVGJQXUKY-DLFSFANISA-N	amphotericin_B
VRYMTAVOXVTQEF-UHFFFAOYSA-N	moxisylyte
SYLKGLMBLAAGSC-UHFFFAOYSA-N	cefsulodin
DUHUCHOQIDJXAT-OUCUHFDOSA-N	alfaxalone
ORKBYCQJWQBPFG-ZDALXIFRSA-N	levonorgestrel
ASXBYYWOLISCLQ-HZYVHMACSA-N	streptomycin
SOBSDCWORWOGKK-AQQUXMPESA-M	fluorometholone
DUHUCHOQIDJXAT-CSXWOMMHSA-N	alfaxalone
DPNGWXJMIILTBS-FOQJRBATSA-N	myosmine
SBXGWMXHJPNKPT-BBIVZNJYSA-N	ascorbic_acid
WWPRGAYLRGSOSU-UHFFFAOYSA-M	novobiocin
CPYGBGOXCJJJGC-KFXHDRJVSA-L	alcuronium_chloride
GMVPRGQOIOIIMI-FZYGRIMQSA-N	alprostadil
MYVIATVLJGTBFV-UHFFFAOYSA-M	thiamine
AOJJSUZBOXZQNB-SNFLSGHGSA-N	doxorubicin
GLVJGDLQHBCCEP-SOIKFHLCSA-N	anisomycin
FCFNRCROJUBPLU-DNDCDFAISA-N	valinomycin
AXDJCCTWPBKUKL-UHFFFAOYSA-N	pararosaniline
HXCNRYXBZNHDNE-MIGPCILRSA-N	pirenperone
GMVPRGQOIOIIMI-DWKJAMRDSA-M	alprostadil
MNULEGDCPYONBU-ZUSSGZTJSA-N	oligomycin
VKHAHZOOUSRJNA-KUMGNDDNSA-N	mifepristone
SLRCCWJSBJZJBV-AJNGGQMLSA-N	sparteine
JYGXADMDTFJGBT-BULBTXNYSA-N	hydrocortisone
PHTUQLWOUWZIMZ-GZTJUZNOSA-N	dosulepin
MIXMJCQRHVAJIO-DPIOOMQESA-N	flunisolide
WHTVZRBIWZFKQO-UHFFFAOYSA-P	chloroquine
GZENKSODFLBBHQ-ILSZZQPISA-N	medrysone
STECJAGHUSJQJN-YOPVGWMHSA-N	scopolamine
KRRFMYCPDHUCNJ-UHFFFAOYSA-N	cyclopenthiazide
LUZRJRNZXALNLM-YKDSXALLSA-N	dihydroergotamine
GPRBEKHLDVQUJE-QSWIMTSFSA-N	cefotaxime
SXTAYKAGBXMACB-UHFFFAOYSA-N	L-methionine_sulfoximine
ULLNJSBQMBKOJH-VIVFLBMVSA-N	tribenoside
SLAYUXIURFNXPG-UHFFFAOYSA-N	ceforanide
PZBPKYOVPCNPJY-UHFFFAOYSA-N	enilconazole
OBYBTJURMOKVOA-VMNXYWKNSA-N	metixene
WSPOMRSOLSGNFJ-VGOFMYFVSA-N	chlorprothixene
ZYSCHNVPUOSLNC-UHFFFAOYSA-N	prochlorperazine
NOFOWWRHEPHDCY-DAUURJMHSA-N	methylergometrine
ULGZDMOVFRHVEP-RWJQBGPGSA-N	erythromycin
RUDATBOHQWOJDD-FLJQHXMFSA-N	ursodeoxycholic_acid
NLVFBUXFDBBNBW-MQOTWLGRSA-N	tobramycin
QELDJEKNFOQJOY-UHFFFAOYSA-N	isocorydine
FVWJYYTZTCVBKE-BSYZGGJQSA-N	betulin
LXMSZDCAJNLERA-BFQWZPGRSA-N	spironolactone
YAPQBXQYLJRXSA-ZDOIIHCHSA-N	theobromine
RHBRMCOKKKZVRY-UHFFFAOYSA-N	naltrexone
PZRHRDRVRGEVNW-UHFFFAOYSA-N	milrinone
LFMYNZPAVPMEGP-PIDGMYBPSA-N	fluvoxamine
LUZRJRNZXALNLM-XBFRPGMKSA-N	dihydroergotamine
DNTGGZPQPQTDQF-UHFFFAOYSA-N	crotamiton
BQKADKWNRWCIJL-UHFFFAOYSA-N	dobutamine
SGXXNSQHWDMGGP-WDZFZDKYSA-N	nizatidine
IWSWDOUXSCRCKW-UHFFFAOYSA-N	terazosin
LJOQGZACKSYWCH-WGFDLZGGSA-N	hydroquinine
IFFPICMESYHZPQ-HXUWFJFHSA-N	prenylamine
ZAIPMKNFIOOWCQ-UEKVPHQBSA-N	cefalexin
IUWVALYLNVXWKX-UHFFFAOYSA-N	butamben
XOFYZVNMUHMLCC-BDQMTFAOSA-N	prednisone
FRYYNPIESGDSLC-UHFFFAOYSA-N	amitriptyline
MYPYJXKWCTUITO-LYRMYLQWSA-O	vancomycin
GQYIWUVLTXOXAJ-RVRFMXCPSA-N	lomustine
MFYSYFVPBJMHGN-GFKWAKDYSA-N	cortisone
XLMALTXPSGQGBX-XMSQKQJNSA-N	levopropoxyphene
XLFWDASMENKTKL-UHFFFAOYSA-N	molsidomine
IMUHWLVEEVGMBC-UHFFFAOYSA-N	cinchonidine
RDHDUYAKDYQPEW-XKXXFSTKSA-M	lasalocid
GSCPDZHWVNUUFI-JZRMKITLSA-N	3-aminobenzamide
JGMOKGBVKVMRFX-POHNSKBLSA-N	dydrogesterone
HVFLCNVBZFFHBT-FMCGGJTJSA-N	cefepime
VHRSUDSXCMQTMA-HPTVHOHRSA-N	methylprednisolone
HNJJXZKZRAWDPF-UHFFFAOYSA-N	methapyrilene
POZRVZJJTULAOH-OMCWFXPWSA-N	danazol
IXORZMNAPKEEDV-QTWFBFKQSA-N	gibberellic_acid
PIJVFDBKTWXHHD-UHFFFAOYSA-N	physostigmine
VBCPVIWPDJVHAN-UHFFFAOYSA-N	phenoxybenzamine
XSQQOAYQORBXMO-UHFFFAOYSA-N	8-azaguanine
KWVISVAMQJWJSZ-WUBAUXGGSA-N	solasodine
NFYYATWFXNPTRM-GQZGOOQKSA-N	gelsemine
FVWJYYTZTCVBKE-XPHLTCFUSA-N	betulin
DYDCUQKUCUHJBH-REOHCLBHSA-N	levcycloserine
JGDBMKCWNRCIFX-QYZPTAICSA-N	nadide
DGMPVYSXXIOGJY-UHFFFAOYSA-N	fusaric_acid
CUKOYCMHZJODGT-PAFGHYSMSA-N	tropine
TXAHVMMOHPTAKF-UHFFFAOYSA-N	merbromin
BLFLLBZGZJTVJG-UHFFFAOYSA-N	benzocaine
CUSPGNDCPOVPBA-UHFFFAOYSA-N	cetirizine
SGEWCQFRYRRZDC-YWSRNACBSA-M	vitexin
AELCINSCMGFISI-IENPIDJESA-N	tranylcypromine
DUHUCHOQIDJXAT-NMDWBQKESA-N	alfaxalone
VRQVVMDWGGWHTJ-CQSZACIVSA-N	levomepromazine
ULGZDMOVFRHVEP-UHFFFAOYSA-N	erythromycin
ASUTZQLVASHGKV-UHFFFAOYSA-N	galantamine
XEAQIWGXBXCYFX-GUOLPTJISA-N	kawain
IZEKFCXSFNUWAM-UHFFFAOYSA-N	dipyridamole
RYMZZMVNJRMUDD-VECNVOJFSA-N	simvastatin
KNZADIMHVBBPOA-UHFFFAOYSA-N	dyclonine
KTEXNACQROZXEV-OCLBVPJSSA-N	parthenolide
WIIZWVCIJKGZOK-IUCAKERBSA-N	chloramphenicol
YJQPYGGHQPGBLI-FWPHEPGVSA-N	novobiocin
VIQCGTZFEYDQMR-UHFFFAOYSA-N	fluphenazine
COYSNGXBLIDKRR-UHFFFAOYSA-M	calmidazolium
UQODAZKXEREJLZ-UHFFFAOYSA-N	HNMPA-(AM)3
ZAHXYMFVNNUHCP-UHFFFAOYSA-N	naphazoline
WKSAUQYGYAYLPV-UHFFFAOYSA-N	pyrimethamine
XJSFLOJWULLJQS-FMUBBIFSSA-N	josamycin
VEGXETMJINRLTH-BOZYPMBZSA-N	gentamicin
QPMDKXBBAVQDCB-UHFFFAOYSA-N	thioproperazine
XUIIKFGFIJCVMT-LBPRGKRZSA-N	levothyroxine_sodium
UVTNFZQICZKOEM-OAQYLSRUSA-N	disopyramide
ZNQOHJRIIMHFDR-UHFFFAOYSA-N	hydrocotarnine
BFMYDTVEBKDAKJ-UHFFFAOYSA-L	merbromin
TZBJGXHYKVUXJN-GLMGUVRWSA-N	genistein
GKEGFOKQMZHVOW-UHFFFAOYSA-M	clidinium_bromide
SWLMUYACZKCSHZ-INIZCTEOSA-N	butoconazole
AQFFXPQJLZFABJ-UHFFFAOYSA-N	AH-6809
VKHAHZOOUSRJNA-IRYDGCRRSA-N	mifepristone
MXOAEAUPQDYUQM-UHFFFAOYSA-N	chlorphenesin
GPRBEKHLDVQUJE-UKWGHVSLSA-N	cefotaxime
XOFYZVNMUHMLCC-WMJLKKDESA-N	prednisone
ORNBQBCIOKFOEO-SRWWVFQWSA-N	pregnenolone
FDJOLVPMNUYSCM-ATSHILDLSA-L	cyanocobalamin
DGKXKJWXXGGPGM-JGMOUXIISA-N	cefoxitin
RYMZZMVNJRMUDD-ODLHYQPQSA-N	simvastatin
OEXHQOGQTVQTAT-UHFFFAOYSA-N	ipratropium_bromide
LXMSZDCAJNLERA-FRPHNTQYSA-N	spironolactone
NFYYATWFXNPTRM-CLIGSAHWSA-N	gelsemine
IMZMKUWMOSJXDT-UHFFFAOYSA-N	cromoglicic_acid
STECJAGHUSJQJN-QBMZJCKTSA-N	scopolamine
JYGXADMDTFJGBT-JEFZWPMTSA-N	hydrocortisone
OHCQJHSOBUTRHG-UHFFFAOYSA-N	colforsin
REACMANCWHKJSM-UHFFFAOYSA-M	cefsulodin
NCXMLFZGDNKEPB-HTTLVDSYSA-N	natamycin
QAIPRVGONGVQAS-DUXPYHPUSA-N	caffeic_acid
DUSHUSLJJMDGTE-UHFFFAOYSA-N	cyproterone
DQECFVGMGBQCPA-ACQSBRCJSA-N	pivampicillin
MFZWMTSUNYWVBU-UHFFFAOYSA-N	hycanthone
GCYXEGSPUDSZJY-PTNGSMBKSA-N	GW-8510
AZSNMRSAGSSBNP-NDJJZKGWSA-N	ivermectin
MYOKYUGPWHTDOV-OWTQBSOCSA-N	cefoxitin
WYQVAPGDARQUBT-JVGKFWCXSA-N	asiaticoside
DBRXOUCRJQVYJQ-TYPJLXGSSA-N	withaferin_A
GMVPRGQOIOIIMI-DODZYUBVSA-N	alprostadil
XEYBRNLFEZDVAW-ARSRFYASSA-M	dinoprostone
DBEPLOCGEIEOCV-VLYKBWAZSA-N	finasteride
UREBDLICKHMUKA-ZCWWIVCJSA-N	dexamethasone
FPUXKXIZEIDQKW-VKMVSBOZSA-N	ginkgolide_A
GXFZCDMWGMFGFL-KKXMJGKMSA-N	tubocurarine_chloride
MUQNGPZZQDCDFT-JNQJZLCISA-N	halcinonide
ZUXABONWMNSFBN-BJUDXGSMSA-N	clozapine
JAYAGJDXJIDEKI-KQCMAGRXSA-N	lanatoside_C
LTMHDMANZUZIPE-UHFFFAOYSA-N	digoxin
JXDGGKVSZWPQGP-UHFFFAOYSA-N	propylthiouracil
JGSARLDLIJGVTE-MBNYWOFBSA-M	benzylpenicillin
ORVAUBQYJOFWFY-ZHESDOBJSA-N	DL-PPMP
OZVBMTJYIDMWIL-AYFBDAFISA-N	bromocriptine
QTQAWLPCGQOSGP-OJHFENCDSA-N	geldanamycin
MVIPJKVMOKFIEV-DFWYDOINSA-N	canavanine
FCSHDIVRCWTZOX-BZMSYRLXSA-N	clobetasol
XOZLRRYPUKAKMU-UHFFFAOYSA-N	ramifenazone
AELCINSCMGFISI-GKAPJAKFSA-N	tranylcypromine
LTEXAUVYLLADEB-UHFFFAOYSA-N	serotonin
LOUPRKONTZGTKE-FOEVPDMQSA-N	quinidine
FELGMEQIXOGIFQ-CYBMUJFWSA-N	ondansetron
OJIPQOWZZMSBGY-UHFFFAOYSA-N	hyoscyamine
ZGVSETXHNHBTRK-UDJLNJFBSA-N	solanine
NCXMLFZGDNKEPB-ZIEPNCTPSA-N	natamycin
VKHAHZOOUSRJNA-BKGBBYSYSA-N	mifepristone
JFPVXVDWJQMJEE-OCKHKDLRSA-M	cefuroxime
NZUPCNDJBJXXRF-LURJTMIESA-O	bethanechol
SGEWCQFRYRRZDC-YWFAZRBLSA-N	vitexin
SWZMSZQQJRKFBP-WZRBSPASSA-N	securinine
AUNGANRZJHBGPY-UHFFFAOYSA-N	riboflavin
WLOHNSSYAXHWNR-HXCSUVKKSA-N	dirithromycin
POPFMWWJOGLOIF-QYOXGAPUSA-N	fludroxycortide
PVHUJELLJLJGLN-UHFFFAOYSA-N	nitrendipine
AKNNEGZIBPJZJG-QRWMCTBCSA-N	noscapine
YSXKPIUOCJLQIE-UHFFFAOYSA-N	biperiden
VNZJNPIWZYMGAO-UHFFFAOYSA-N	CP-944629
UCSJYZPVAKXKNQ-ZCTIVXDHSA-N	streptomycin
GSDSWSVVBLHKDQ-SNVBAGLBSA-N	ofloxacin
SOYKEARSMXGVTM-OAHLLOKOSA-N	chlorphenamine
RJKFOVLPORLFTN-OYEBDCLDSA-N	progesterone
JRWZLRBJNMZMFE-ZDUSSCGKSA-N	dobutamine
WWXBHTZSYYGCSG-UHFFFAOYSA-N	carbarsone
DKLKMKYDWHYZTD-UHFFFAOYSA-N	hexylcaine
ASUTZQLVASHGKV-HJOYEKEDSA-N	galantamine
VRKHYMXTJQCIND-RNHDWVCBSA-N	bacitracin
PIPZGJSEDRMUAW-ZKKXXTDSSA-N	alpha-yohimbine
UTCPYQMSANLUTE-FCFLTHKLSA-N	spironolactone
QVQPRDWUIKKAPU-UHFFFAOYSA-N	ornidazole
RWBRUCCWZPSBFC-HWSYHKBZSA-N	progesterone
PIMZUZSSNYHVCU-LRQBLGHVSA-N	picrotoxinin
NYKCGQQJNVPOLU-UHFFFAOYSA-N	spiradoline
OPVPGKGADVGKTG-BQBZGAKWSA-N	spaglumic_acid
IBLNMEMSULYOOK-VEHQQRBSSA-N	aztreonam
RYMZZMVNJRMUDD-GQEOVNBMSA-N	simvastatin
IECPWNUMDGFDKC-JHTSFYPJSA-N	fusidic_acid
KKZJGLLVHKMTCM-UHFFFAOYSA-N	mitoxantrone
WCGUUGGRBIKTOS-XUTPQDOASA-N	ursolic_acid
SGEWCQFRYRRZDC-RHFVWNJJSA-N	vitexin
UREBDLICKHMUKA-FGEXTOQASA-N	dexamethasone
VJJPUSNTGOMMGY-XOKDPUQFSA-N	etoposide
GGWBHVILAJZWKJ-UHFFFAOYSA-N	ranitidine
RGCVKNLCSQQDEP-UHFFFAOYSA-N	perphenazine
GMVPRGQOIOIIMI-DQBVBOFASA-N	alprostadil
VHRSUDSXCMQTMA-XDNNKEMQSA-N	methylprednisolone
XEQLFNPSYWZPOW-VVUQEKBHSA-N	butirosin
GUJRSXAPGDDABA-UHFFFAOYSA-N	remoxipride
VOVIALXJUBGFJZ-WZTTZPBOSA-N	budesonide
MUQUYTSLDVKIOF-WRLAVELISA-N	alcuronium_chloride
PNAMDJVUJCJOIX-IUNFJCKHSA-N	simvastatin
ZYLDQHILNOZKIF-CTVRMMIXSA-N	imipenem
BAAVORPTHSKWGJ-UHFFFAOYSA-N	meclozine
VIKNJXKGJWUCNN-NSDIEPNESA-N	norethisterone
RLJFTICUTYVZDG-UHFFFAOYSA-N	metitepine
LOUPRKONTZGTKE-HAOVMRFASA-N	quinidine
DBEPLOCGEIEOCV-WYNQROEXSA-N	finasteride
TYYBFXNZMFNZJT-UHFFFAOYSA-N	ioxaglic_acid
WZPBZJONDBGPKJ-UHFFFAOYSA-N	aztreonam
RZRPTBIGEANTGU-CUIVTXLOSA-N	adrenosterone
QKAZHUGLNKCCGY-UHFFFAOYSA-N	mepacrine
HOOSGZJRQIVJSZ-UHFFFAOYSA-N	clidinium_bromide
JTWOMNBEOCYFNV-IATRGZMQSA-N	azlocillin
QEAOELIJQRYJJS-UHFFFAOYSA-N	riluzole
DNTGGZPQPQTDQF-XBXARRHUSA-N	crotamiton
ATEBXHFBFRCZMA-NEDZDATGSA-N	rifabutin
AGRCPNMCOXLKFO-WNJXEPBRSA-N	streptozocin
AYMYWHCQALZEGT-KTAJNNJTSA-N	butein
KZNIFHPLKGYRTM-UHFFFAOYSA-N	apigenin
MHNSPTUQQIYJOT-UHFFFAOYSA-N	doxepin
KTEXNACQROZXEV-UHFFFAOYSA-N	parthenolide
OVBPIULPVIDEAO-UHFFFAOYSA-N	folic_acid
BGJIAUDTIACQSC-UHFFFAOYSA-M	gibberellic_acid
QVCMHGGNRFRMAD-JLPYEZQHSA-N	monocrotaline
RJKFOVLPORLFTN-HICSXPMDSA-N	progesterone
ASUTZQLVASHGKV-MKQDKFQKSA-N	galantamine
QTENRWWVYAAPBI-UHFFFAOYSA-N	streptomycin
IVBHGBMCVLDMKU-TUPBYDDQSA-N	piperacillin
LTMHDMANZUZIPE-QVYPYPLASA-N	digoxin
POJWUDADGALRAB-UHFFFAOYSA-N	allantoin
BXKDSDJJOVIHMX-UHFFFAOYSA-O	edrophonium_chloride
XFSBVAOIAHNAPC-YQFRWWQMSA-N	aconitine
ORNBQBCIOKFOEO-WPVPORHCSA-N	pregnenolone
HZEQBCVBILBTEP-ZFINNJDLSA-N	estropipate
KTEXNACQROZXEV-QLIGOWBFSA-N	parthenolide
QJJXYPPXXYFBGM-CLAWHKJSSA-N	tacrolimus
YVNAYSHNIILOJS-UHFFFAOYSA-N	amodiaquine
BGDKAVGWHJFAGW-MRXNPFEDSA-N	tropicamide
YXOUVYWIPMJZHD-UHFFFAOYSA-N	propafenone
GAOZTHIDHYLHMS-ICQMGDKASA-N	monensin
WJAJPNHVVFWKKL-RDDDGLTNSA-N	methoxamine
RYMZZMVNJRMUDD-LWNGLWLWSA-N	simvastatin
IKMDFBPHZNJCSN-UHFFFAOYSA-M	myricetin
RUZYUOTYCVRMRZ-UHFFFAOYSA-N	doxazosin
MKXZASYAUGDDCJ-UHFFFAOYSA-N	dextromethorphan
VWPOSFSPZNDTMJ-CFVMTHIKSA-N	nadolol
FBBUXQOAAWCXSK-UHFFFAOYSA-N	bumetanide
ULGZDMOVFRHVEP-YEPXRZJNSA-N	erythromycin
DURULFYMVIFBIR-UHFFFAOYSA-N	practolol
UIFFUZWRFRDZJC-SBOOETFBSA-N	antimycin_A
KNWVMRVOBAFFMH-OAHLLOKOSA-N	scoulerine
SRGKFVAASLQVBO-UHFFFAOYSA-N	brompheniramine
